freq_aligo,strain_aligo,strain_baseline,strain_best
1.63299e+03,1.15453e-24,9.71003e-25,2.04767e-24
1.63432e+03,1.15537e-24,9.69973e-25,2.04040e-24
1.63564e+03,1.15621e-24,9.68941e-25,2.03314e-24
1.63697e+03,1.15705e-24,9.67907e-25,2.02589e-24
1.63830e+03,1.15789e-24,9.66872e-25,2.01865e-24
1.63963e+03,1.15874e-24,9.65836e-25,2.01142e-24
1.64096e+03,1.15958e-24,9.64798e-25,2.00420e-24
1.64229e+03,1.16042e-24,9.63758e-25,1.99699e-24
1.64362e+03,1.16127e-24,9.62717e-25,1.98978e-24
1.64495e+03,1.16211e-24,9.61675e-25,1.98259e-24
1.64629e+03,1.16296e-24,9.60631e-25,1.97540e-24
1.64763e+03,1.16381e-24,9.59586e-25,1.96823e-24
1.64896e+03,1.16465e-24,9.58539e-25,1.96106e-24
1.65030e+03,1.16550e-24,9.57491e-25,1.95390e-24
1.65164e+03,1.16635e-24,9.56441e-25,1.94675e-24
1.65298e+03,1.16720e-24,9.55389e-25,1.93961e-24
1.65432e+03,1.16805e-24,9.54337e-25,1.93248e-24
1.65566e+03,1.16890e-24,9.53282e-25,1.92536e-24
1.65700e+03,1.16975e-24,9.52227e-25,1.91825e-24
1.65835e+03,1.17061e-24,9.51169e-25,1.91115e-24
1.65969e+03,1.17146e-24,9.50111e-25,1.90406e-24
1.66104e+03,1.17232e-24,9.49051e-25,1.89698e-24
1.66239e+03,1.17317e-24,9.47989e-25,1.88991e-24
1.66374e+03,1.17403e-24,9.46926e-25,1.88284e-24
1.66509e+03,1.17488e-24,9.45861e-25,1.87579e-24
1.66644e+03,1.17574e-24,9.44795e-25,1.86874e-24
1.66779e+03,1.17660e-24,9.43727e-25,1.86171e-24
1.66914e+03,1.17746e-24,9.42658e-25,1.85468e-24
1.67050e+03,1.17832e-24,9.41587e-25,1.84767e-24
1.67185e+03,1.17918e-24,9.40515e-25,1.84066e-24
1.67321e+03,1.18004e-24,9.39441e-25,1.83367e-24
1.67457e+03,1.18091e-24,9.38366e-25,1.82668e-24
1.67592e+03,1.18177e-24,9.37289e-25,1.81970e-24
1.67728e+03,1.18263e-24,9.36211e-25,1.81274e-24
1.67864e+03,1.18350e-24,9.35132e-25,1.80578e-24
1.68001e+03,1.18436e-24,9.34050e-25,1.79883e-24
1.68137e+03,1.18523e-24,9.32968e-25,1.79189e-24
1.68273e+03,1.18610e-24,9.31883e-25,1.78497e-24
1.68410e+03,1.18696e-24,9.30798e-25,1.77805e-24
1.68546e+03,1.18783e-24,9.29711e-25,1.77114e-24
1.68683e+03,1.18870e-24,9.28622e-25,1.76424e-24
1.68820e+03,1.18957e-24,9.27532e-25,1.75735e-24
1.68957e+03,1.19044e-24,9.26440e-25,1.75047e-24
1.69094e+03,1.19132e-24,9.25347e-25,1.74361e-24
1.69231e+03,1.19219e-24,9.24252e-25,1.73675e-24
1.69368e+03,1.19306e-24,9.23156e-25,1.72990e-24
1.69506e+03,1.19394e-24,9.22058e-25,1.72306e-24
1.69643e+03,1.19481e-24,9.20958e-25,1.71623e-24
1.69781e+03,1.19569e-24,9.19858e-25,1.70941e-24
1.69919e+03,1.19656e-24,9.18755e-25,1.70261e-24
1.70057e+03,1.19744e-24,9.17651e-25,1.69581e-24
1.70195e+03,1.19832e-24,9.16546e-25,1.68902e-24
1.70333e+03,1.19920e-24,9.15439e-25,1.68224e-24
1.70471e+03,1.20008e-24,9.14331e-25,1.67547e-24
1.70609e+03,1.20096e-24,9.13221e-25,1.66872e-24
1.70748e+03,1.20184e-24,9.12109e-25,1.66197e-24
1.70886e+03,1.20272e-24,9.10996e-25,1.65523e-24
1.71025e+03,1.20361e-24,9.09882e-25,1.64851e-24
1.71163e+03,1.20449e-24,9.08766e-25,1.64179e-24
1.71302e+03,1.20537e-24,9.07648e-25,1.63508e-24
1.71441e+03,1.20626e-24,9.06529e-25,1.62839e-24
1.71580e+03,1.20715e-24,9.05409e-25,1.62170e-24
1.71720e+03,1.20803e-24,9.04287e-25,1.61503e-24
1.71859e+03,1.20892e-24,9.03163e-25,1.60836e-24
1.71998e+03,1.20981e-24,9.02038e-25,1.60171e-24
1.72138e+03,1.21070e-24,9.00911e-25,1.59507e-24
1.72277e+03,1.21159e-24,8.99783e-25,1.58843e-24
1.72417e+03,1.21248e-24,8.98653e-25,1.58181e-24
1.72557e+03,1.21337e-24,8.97522e-25,1.57520e-24
1.72697e+03,1.21427e-24,8.96389e-25,1.56860e-24
1.72837e+03,1.21516e-24,8.95255e-25,1.56201e-24
1.72977e+03,1.21605e-24,8.94119e-25,1.55543e-24
1.73118e+03,1.21695e-24,8.92982e-25,1.54886e-24
1.73258e+03,1.21784e-24,8.91843e-25,1.54230e-24
1.73399e+03,1.21874e-24,8.90703e-25,1.53576e-24
1.73539e+03,1.21964e-24,8.89561e-25,1.52922e-24
1.73680e+03,1.22054e-24,8.88417e-25,1.52269e-24
1.73821e+03,1.22144e-24,8.87272e-25,1.51618e-24
1.73962e+03,1.22234e-24,8.86126e-25,1.50967e-24
1.74103e+03,1.22324e-24,8.84978e-25,1.50318e-24
1.74244e+03,1.22414e-24,8.83828e-25,1.49670e-24
1.74386e+03,1.22504e-24,8.82677e-25,1.49023e-24
1.74527e+03,1.22595e-24,8.81524e-25,1.48377e-24
1.74669e+03,1.22685e-24,8.80370e-25,1.47732e-24
1.74811e+03,1.22775e-24,8.79215e-25,1.47088e-24
1.74952e+03,1.22866e-24,8.78057e-25,1.46445e-24
1.75094e+03,1.22957e-24,8.76899e-25,1.45804e-24
1.75236e+03,1.23047e-24,8.75738e-25,1.45164e-24
1.75379e+03,1.23138e-24,8.74577e-25,1.44524e-24
1.75521e+03,1.23229e-24,8.73413e-25,1.43886e-24
1.75663e+03,1.23320e-24,8.72248e-25,1.43249e-24
1.75806e+03,1.23411e-24,8.71082e-25,1.42613e-24
1.75948e+03,1.23502e-24,8.69914e-25,1.41978e-24
1.76091e+03,1.23594e-24,8.68745e-25,1.41345e-24
1.76234e+03,1.23685e-24,8.67574e-25,1.40712e-24
1.76377e+03,1.23776e-24,8.66401e-25,1.40081e-24
1.76520e+03,1.23868e-24,8.65227e-25,1.39450e-24
1.76663e+03,1.23959e-24,8.64052e-25,1.38821e-24
1.76807e+03,1.24051e-24,8.62874e-25,1.38194e-24
1.76950e+03,1.24143e-24,8.61696e-25,1.37567e-24
1.77093e+03,1.24235e-24,8.60516e-25,1.36941e-24
1.77237e+03,1.24326e-24,8.59334e-25,1.36317e-24
1.77381e+03,1.24418e-24,8.58151e-25,1.35694e-24
1.77525e+03,1.24510e-24,8.56966e-25,1.35071e-24
1.77669e+03,1.24603e-24,8.55780e-25,1.34451e-24
1.77813e+03,1.24695e-24,8.54592e-25,1.33831e-24
1.77957e+03,1.24787e-24,8.53403e-25,1.33212e-24
1.78102e+03,1.24880e-24,8.52212e-25,1.32595e-24
1.78246e+03,1.24972e-24,8.51020e-25,1.31979e-24
1.78391e+03,1.25065e-24,8.49826e-25,1.31364e-24
1.78535e+03,1.25157e-24,8.48630e-25,1.30750e-24
1.78680e+03,1.25250e-24,8.47433e-25,1.30138e-24
1.78825e+03,1.25343e-24,8.46235e-25,1.29526e-24
