freq_aligo,strain_aligo,strain_baseline,strain_best
2.44224e+03,1.67836e-24,8.83611e-25,1.86187e-24
2.44322e+03,1.67900e-24,8.82400e-25,1.85465e-24
2.44420e+03,1.67965e-24,8.81187e-25,1.84745e-24
2.44518e+03,1.68029e-24,8.79974e-25,1.84025e-24
2.44617e+03,1.68094e-24,8.78761e-25,1.83307e-24
2.44715e+03,1.68158e-24,8.77546e-25,1.82590e-24
2.44813e+03,1.68223e-24,8.76331e-25,1.81875e-24
2.44911e+03,1.68287e-24,8.75116e-25,1.81160e-24
2.45010e+03,1.68352e-24,8.73899e-25,1.80446e-24
2.45108e+03,1.68416e-24,8.72682e-25,1.79734e-24
2.45206e+03,1.68481e-24,8.71465e-25,1.79023e-24
2.45305e+03,1.68546e-24,8.70246e-25,1.78313e-24
2.45403e+03,1.68610e-24,8.69027e-25,1.77604e-24
2.45502e+03,1.68675e-24,8.67808e-25,1.76896e-24
2.45600e+03,1.68740e-24,8.66587e-25,1.76189e-24
2.45699e+03,1.68805e-24,8.65366e-25,1.75484e-24
2.45798e+03,1.68869e-24,8.64145e-25,1.74780e-24
2.45896e+03,1.68934e-24,8.62922e-25,1.74077e-24
2.45995e+03,1.68999e-24,8.61699e-25,1.73375e-24
2.46094e+03,1.69064e-24,8.60476e-25,1.72674e-24
2.46192e+03,1.69129e-24,8.59252e-25,1.71974e-24
2.46291e+03,1.69194e-24,8.58027e-25,1.71276e-24
2.46390e+03,1.69259e-24,8.56801e-25,1.70578e-24
2.46489e+03,1.69324e-24,8.55575e-25,1.69882e-24
2.46588e+03,1.69389e-24,8.54348e-25,1.69187e-24
2.46687e+03,1.69454e-24,8.53121e-25,1.68494e-24
2.46786e+03,1.69519e-24,8.51892e-25,1.67801e-24
2.46885e+03,1.69584e-24,8.50664e-25,1.67110e-24
2.46984e+03,1.69649e-24,8.49434e-25,1.66420e-24
2.47083e+03,1.69714e-24,8.48204e-25,1.65731e-24
2.47182e+03,1.69780e-24,8.46974e-25,1.65043e-24
2.47282e+03,1.69845e-24,8.45742e-25,1.64356e-24
2.47381e+03,1.69910e-24,8.44510e-25,1.63671e-24
2.47480e+03,1.69975e-24,8.43278e-25,1.62986e-24
2.47580e+03,1.70041e-24,8.42044e-25,1.62303e-24
2.47679e+03,1.70106e-24,8.40811e-25,1.61622e-24
2.47778e+03,1.70171e-24,8.39576e-25,1.60941e-24
2.47878e+03,1.70237e-24,8.38341e-25,1.60261e-24
2.47977e+03,1.70302e-24,8.37105e-25,1.59583e-24
2.48077e+03,1.70368e-24,8.35869e-25,1.58906e-24
2.48177e+03,1.70433e-24,8.34632e-25,1.58230e-24
2.48276e+03,1.70499e-24,8.33394e-25,1.57556e-24
2.48376e+03,1.70564e-24,8.32156e-25,1.56882e-24
2.48476e+03,1.70630e-24,8.30917e-25,1.56210e-24
2.48575e+03,1.70695e-24,8.29678e-25,1.55539e-24
2.48675e+03,1.70761e-24,8.28438e-25,1.54869e-24
2.48775e+03,1.70827e-24,8.27197e-25,1.54201e-24
2.48875e+03,1.70892e-24,8.25956e-25,1.53534e-24
2.48975e+03,1.70958e-24,8.24714e-25,1.52867e-24
2.49075e+03,1.71024e-24,8.23472e-25,1.52203e-24
2.49175e+03,1.71089e-24,8.22229e-25,1.51539e-24
2.49275e+03,1.71155e-24,8.20985e-25,1.50877e-24
2.49375e+03,1.71221e-24,8.19741e-25,1.50215e-24
2.49475e+03,1.71287e-24,8.18496e-25,1.49555e-24
2.49575e+03,1.71353e-24,8.17250e-25,1.48897e-24
2.49675e+03,1.71419e-24,8.16004e-25,1.48239e-24
2.49775e+03,1.71484e-24,8.14758e-25,1.47583e-24
2.49876e+03,1.71550e-24,8.13510e-25,1.46928e-24
2.49976e+03,1.71616e-24,8.12263e-25,1.46274e-24
2.50076e+03,1.71682e-24,8.11014e-25,1.45622e-24
2.50177e+03,1.71748e-24,8.09765e-25,1.44971e-24
2.50277e+03,1.71814e-24,8.08516e-25,1.44321e-24
2.50377e+03,1.71881e-24,8.07266e-25,1.43672e-24
2.50478e+03,1.71947e-24,8.06015e-25,1.43024e-24
2.50579e+03,1.72013e-24,8.04764e-25,1.42378e-24
2.50679e+03,1.72079e-24,8.03512e-25,1.41733e-24
2.50780e+03,1.72145e-24,8.02259e-25,1.41090e-24
2.50880e+03,1.72211e-24,8.01006e-25,1.40447e-24
2.50981e+03,1.72278e-24,7.99753e-25,1.39806e-24
