freq_aligo,strain_aligo,strain_baseline,strain_best
5.19615e+00,8.18078e-20,8.18078e-20,8.18079e-20
5.23272e+00,7.55749e-20,7.55749e-20,7.55750e-20
5.26955e+00,6.98169e-20,6.98169e-20,6.98170e-20
5.30663e+00,6.44976e-20,6.44976e-20,6.44977e-20
5.34398e+00,5.95836e-20,5.95836e-20,5.95837e-20
5.38159e+00,5.50439e-20,5.50439e-20,5.50440e-20
5.41947e+00,5.08502e-20,5.08502e-20,5.08503e-20
5.45761e+00,4.69759e-20,4.69759e-20,4.69760e-20
5.49602e+00,4.33969e-20,4.33969e-20,4.33970e-20
5.53470e+00,4.00905e-20,4.00905e-20,4.00906e-20
5.57365e+00,3.70360e-20,3.70360e-20,3.70361e-20
5.61287e+00,3.42143e-20,3.42143e-20,3.42144e-20
5.65238e+00,3.16075e-20,3.16075e-20,3.16076e-20
5.69216e+00,2.91994e-20,2.91993e-20,2.91995e-20
5.73222e+00,2.69747e-20,2.69747e-20,2.69748e-20
5.77256e+00,2.49195e-20,2.49195e-20,2.49196e-20
5.81318e+00,2.30209e-20,2.30209e-20,2.30210e-20
5.85409e+00,2.12670e-20,2.12669e-20,2.12671e-20
5.89529e+00,1.96466e-20,1.96466e-20,1.96468e-20
5.93678e+00,1.81498e-20,1.81498e-20,1.81499e-20
5.97857e+00,1.67670e-20,1.67669e-20,1.67671e-20
6.02064e+00,1.54895e-20,1.54895e-20,1.54897e-20
6.06301e+00,1.43094e-20,1.43094e-20,1.43095e-20
6.10568e+00,1.32192e-20,1.32191e-20,1.32193e-20
6.14865e+00,1.22120e-20,1.22120e-20,1.22122e-20
6.19193e+00,1.12816e-20,1.12816e-20,1.12818e-20
6.23550e+00,1.04220e-20,1.04220e-20,1.04223e-20
6.27939e+00,9.62801e-21,9.62799e-21,9.62821e-21
6.32358e+00,8.89446e-21,8.89444e-21,8.89468e-21
6.36808e+00,8.21680e-21,8.21678e-21,8.21703e-21
6.41290e+00,7.59078e-21,7.59075e-21,7.59101e-21
6.45803e+00,7.01245e-21,7.01242e-21,7.01268e-21
6.50348e+00,6.47818e-21,6.47816e-21,6.47843e-21
6.54925e+00,5.98462e-21,5.98459e-21,5.98487e-21
6.59535e+00,5.52866e-21,5.52864e-21,5.52893e-21
6.64176e+00,5.10745e-21,5.10742e-21,5.10772e-21
6.68851e+00,4.71832e-21,4.71829e-21,4.71860e-21
6.73558e+00,4.35885e-21,4.35881e-21,4.35913e-21
6.78298e+00,4.02676e-21,4.02673e-21,4.02705e-21
6.83072e+00,3.71997e-21,3.71994e-21,3.72028e-21
6.87879e+00,3.43656e-21,3.43653e-21,3.43687e-21
6.92720e+00,3.17475e-21,3.17471e-21,3.17507e-21
6.97596e+00,2.93288e-21,2.93283e-21,2.93320e-21
7.02505e+00,2.70944e-21,2.70939e-21,2.70977e-21
7.07449e+00,2.50302e-21,2.50297e-21,2.50336e-21
7.12428e+00,2.31233e-21,2.31228e-21,2.31268e-21
7.17442e+00,2.13617e-21,2.13612e-21,2.13653e-21
7.22491e+00,1.97344e-21,1.97338e-21,1.97380e-21
7.27576e+00,1.82310e-21,1.82304e-21,1.82348e-21
7.32696e+00,1.68422e-21,1.68416e-21,1.68460e-21
7.37853e+00,1.55592e-21,1.55585e-21,1.55631e-21
7.43046e+00,1.43739e-21,1.43733e-21,1.43779e-21
7.48275e+00,1.32790e-21,1.32783e-21,1.32831e-21
7.53541e+00,1.22675e-21,1.22668e-21,1.22717e-21
7.58844e+00,1.13331e-21,1.13323e-21,1.13373e-21
7.64185e+00,1.04699e-21,1.04691e-21,1.04742e-21
7.69563e+00,9.67246e-22,9.67159e-22,9.67684e-22
7.74979e+00,8.93580e-22,8.93488e-22,8.94025e-22
7.80433e+00,8.25529e-22,8.25432e-22,8.25979e-22
7.85926e+00,7.62663e-22,7.62561e-22,7.63120e-22
7.91457e+00,7.04589e-22,7.04482e-22,7.05051e-22
7.97027e+00,6.50941e-22,6.50828e-22,6.51409e-22
8.02636e+00,6.01383e-22,6.01264e-22,6.01855e-22
8.08285e+00,5.55602e-22,5.55477e-22,5.56079e-22
8.13974e+00,5.13312e-22,5.13180e-22,5.13792e-22
8.19702e+00,4.74245e-22,4.74106e-22,4.74729e-22
8.25471e+00,4.38157e-22,4.38011e-22,4.38644e-22
8.31281e+00,4.04821e-22,4.04668e-22,4.05310e-22
8.37131e+00,3.74028e-22,3.73866e-22,3.74518e-22
8.43022e+00,3.45583e-22,3.45413e-22,3.46073e-22
8.48955e+00,3.19308e-22,3.19129e-22,3.19799e-22
8.54930e+00,2.95038e-22,2.94850e-22,2.95528e-22
8.60947e+00,2.72621e-22,2.72422e-22,2.73108e-22
8.67006e+00,2.51914e-22,2.51705e-22,2.52399e-22
8.73108e+00,2.32788e-22,2.32568e-22,2.33269e-22
8.79253e+00,2.15124e-22,2.14892e-22,2.15600e-22
8.85441e+00,1.98808e-22,1.98565e-22,1.99279e-22
8.91672e+00,1.83740e-22,1.83484e-22,1.84204e-22
8.97948e+00,1.69824e-22,1.69554e-22,1.70279e-22
9.04267e+00,1.56973e-22,1.56689e-22,1.57419e-22
9.10631e+00,1.45105e-22,1.44807e-22,1.45540e-22
9.17040e+00,1.34147e-22,1.33833e-22,1.34569e-22
9.23494e+00,1.24028e-22,1.23698e-22,1.24437e-22
9.29993e+00,1.14686e-22,1.14338e-22,1.15079e-22
9.36538e+00,1.06061e-22,1.05695e-22,1.06437e-22
9.43129e+00,9.80992e-23,9.77146e-23,9.84562e-23
9.49767e+00,9.07502e-23,9.03458e-23,9.10864e-23
9.56451e+00,8.39676e-23,8.35424e-23,8.42810e-23
9.63182e+00,7.77086e-23,7.72615e-23,7.79971e-23
9.69961e+00,7.19335e-23,7.14637e-23,7.21951e-23
9.76787e+00,6.66059e-23,6.61122e-23,6.68384e-23
9.83662e+00,6.16920e-23,6.11734e-23,6.18930e-23
9.90585e+00,5.71607e-23,5.66159e-23,5.73277e-23
9.97556e+00,5.29830e-23,5.24111e-23,5.31137e-23
1.00458e+01,4.91325e-23,4.85323e-23,4.92243e-23
1.01165e+01,4.55846e-23,4.49549e-23,4.56347e-23
1.01877e+01,4.23165e-23,4.16562e-23,4.23223e-23
1.02594e+01,3.93073e-23,3.86152e-23,3.92660e-23
1.03316e+01,3.65376e-23,3.58126e-23,3.64463e-23
1.04043e+01,3.39895e-23,3.32305e-23,3.38453e-23
1.04775e+01,3.16463e-23,3.08524e-23,3.14465e-23
1.05512e+01,2.94927e-23,2.86629e-23,2.92344e-23
1.06255e+01,2.75146e-23,2.66480e-23,2.71949e-23
1.07003e+01,2.56987e-23,2.47946e-23,2.53149e-23
1.07756e+01,2.40329e-23,2.30906e-23,2.35823e-23
1.08514e+01,2.25057e-23,2.15249e-23,2.19859e-23
1.09278e+01,2.11067e-23,2.00870e-23,2.05152e-23
1.10047e+01,1.98261e-23,1.87675e-23,1.91608e-23
1.10821e+01,1.86547e-23,1.75573e-23,1.79138e-23
1.11601e+01,1.75840e-23,1.64483e-23,1.67659e-23
1.12387e+01,1.66062e-23,1.54327e-23,1.57096e-23
1.13178e+01,1.57137e-23,1.45035e-23,1.47377e-23
1.13974e+01,1.48996e-23,1.36539e-23,1.38438e-23
1.14776e+01,1.41574e-23,1.28777e-23,1.30218e-23
1.15584e+01,1.34811e-23,1.21691e-23,1.22661e-23
1.16398e+01,1.28650e-23,1.15227e-23,1.15714e-23
1.17217e+01,1.23038e-23,1.09335e-23,1.09330e-23
1.18042e+01,1.17925e-23,1.03966e-23,1.03463e-23
1.18872e+01,1.13266e-23,9.90771e-24,9.80720e-24
1.19709e+01,1.09017e-23,9.46258e-24,9.31179e-24
1.20552e+01,1.05140e-23,9.05735e-24,8.85648e-24
1.21400e+01,1.01597e-23,8.68842e-24,8.43797e-24
1.22254e+01,9.83559e-24,8.35241e-24,8.05312e-24
1.23115e+01,9.53851e-24,8.04621e-24,7.69910e-24
1.23981e+01,9.26567e-24,7.76693e-24,7.37327e-24
1.24854e+01,9.01451e-24,7.51190e-24,7.07317e-24
1.25732e+01,8.78273e-24,7.27867e-24,6.79655e-24
1.26617e+01,8.56824e-24,7.06500e-24,6.54133e-24
1.27508e+01,8.36916e-24,6.86885e-24,6.30560e-24
1.28406e+01,8.18380e-24,6.68836e-24,6.08761e-24
1.29309e+01,8.01067e-24,6.52185e-24,5.88575e-24
1.30220e+01,7.84843e-24,6.36781e-24,5.69856e-24
1.31136e+01,7.69587e-24,6.22487e-24,5.52469e-24
1.32059e+01,7.55195e-24,6.09181e-24,5.36292e-24
1.32988e+01,7.41573e-24,5.96755e-24,5.21215e-24
1.33924e+01,7.28639e-24,5.85112e-24,5.07137e-24
1.34867e+01,7.16320e-24,5.74166e-24,4.93966e-24
1.35816e+01,7.04551e-24,5.63840e-24,4.81620e-24
1.36772e+01,6.93277e-24,5.54067e-24,4.70024e-24
1.37734e+01,6.82448e-24,5.44788e-24,4.59112e-24
1.38704e+01,6.72021e-24,5.35950e-24,4.48822e-24
1.39680e+01,6.61957e-24,5.27508e-24,4.39100e-24
1.40663e+01,6.52224e-24,5.19421e-24,4.29897e-24
1.41653e+01,6.42791e-24,5.11654e-24,4.21168e-24
1.42650e+01,6.33634e-24,5.04175e-24,4.12873e-24
1.43654e+01,6.24730e-24,4.96957e-24,4.04978e-24
1.44665e+01,6.16058e-24,4.89977e-24,3.97448e-24
1.45683e+01,6.07603e-24,4.83212e-24,3.90256e-24
1.46708e+01,5.99347e-24,4.76646e-24,3.83375e-24
1.47741e+01,5.91279e-24,4.70262e-24,3.76782e-24
1.48780e+01,5.83387e-24,4.64045e-24,3.70454e-24
1.49827e+01,5.75659e-24,4.57983e-24,3.64374e-24
1.50882e+01,5.68086e-24,4.52066e-24,3.58524e-24
1.51944e+01,5.60661e-24,4.46284e-24,3.52887e-24
1.53013e+01,5.53377e-24,4.40629e-24,3.47450e-24
1.54090e+01,5.46226e-24,4.35092e-24,3.42200e-24
1.55174e+01,5.39203e-24,4.29668e-24,3.37126e-24
1.56266e+01,5.32302e-24,4.24350e-24,3.32215e-24
1.57366e+01,5.25521e-24,4.19134e-24,3.27459e-24
1.58474e+01,5.18853e-24,4.14014e-24,3.22848e-24
1.59589e+01,5.12295e-24,4.08987e-24,3.18375e-24
1.60712e+01,5.05844e-24,4.04049e-24,3.14032e-24
