freq_aligo,strain_aligo,strain_baseline,strain_best
1.26491e+00,7.51835e-22,1.27743e-21,5.63238e-21
1.27896e+00,7.34974e-22,1.22659e-21,5.39222e-21
1.29316e+00,7.19028e-22,1.17816e-21,5.16400e-21
1.30752e+00,7.02963e-22,1.13170e-21,4.94698e-21
1.32204e+00,6.87512e-22,1.08733e-21,4.74048e-21
1.33672e+00,6.72780e-22,1.04477e-21,4.54385e-21
1.35156e+00,6.58127e-22,1.00420e-21,4.35652e-21
1.36657e+00,6.43699e-22,9.65346e-22,4.17795e-21
1.38174e+00,6.29503e-22,9.28103e-22,4.00763e-21
1.39709e+00,6.16007e-22,8.92350e-22,3.84512e-21
1.41260e+00,6.02316e-22,8.58182e-22,3.68999e-21
1.42828e+00,5.89355e-22,8.25665e-22,3.54184e-21
1.44414e+00,5.76238e-22,7.94359e-22,3.40029e-21
1.46018e+00,5.63560e-22,7.64498e-22,3.26500e-21
1.47639e+00,5.51232e-22,7.35828e-22,3.13566e-21
1.49279e+00,5.39281e-22,7.08369e-22,3.01194e-21
1.50936e+00,5.27494e-22,6.82173e-22,2.89359e-21
1.52612e+00,5.15927e-22,6.57081e-22,2.78032e-21
1.54307e+00,5.04731e-22,6.33051e-22,2.67189e-21
1.56021e+00,4.93630e-22,6.10000e-22,2.56806e-21
1.57753e+00,4.82886e-22,5.87933e-22,2.46862e-21
1.59505e+00,4.72311e-22,5.66748e-22,2.37334e-21
1.61276e+00,4.61970e-22,5.46556e-22,2.28205e-21
1.63067e+00,4.51830e-22,5.27243e-22,2.19454e-21
1.64877e+00,4.41984e-22,5.08581e-22,2.11064e-21
1.66708e+00,4.32305e-22,4.90784e-22,2.03019e-21
1.68559e+00,4.22836e-22,4.73750e-22,1.95303e-21
1.70431e+00,4.13636e-22,4.57418e-22,1.87902e-21
1.72324e+00,4.04594e-22,4.41714e-22,1.80800e-21
1.74237e+00,3.95727e-22,4.26684e-22,1.73985e-21
1.76172e+00,3.87095e-22,4.12278e-22,1.67443e-21
1.78128e+00,3.78619e-22,3.98433e-22,1.61163e-21
1.80106e+00,3.70341e-22,3.85213e-22,1.55134e-21
1.82106e+00,3.62249e-22,3.72510e-22,1.49344e-21
1.84128e+00,3.54359e-22,3.60287e-22,1.43783e-21
1.86173e+00,3.46587e-22,3.48589e-22,1.38442e-21
1.88240e+00,3.39010e-22,3.37333e-22,1.33310e-21
1.90330e+00,3.31619e-22,3.26555e-22,1.28380e-21
1.92444e+00,3.24346e-22,3.16162e-22,1.23642e-21
1.94580e+00,3.17264e-22,3.06231e-22,1.19089e-21
1.96741e+00,3.10337e-22,2.96657e-22,1.14712e-21
1.98926e+00,3.03547e-22,2.87465e-22,1.10505e-21
