freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
1.26491e+00,4.25988e-08,2.72079e-07,2.46978e-10
1.27896e+00,4.16434e-08,2.44829e-07,2.41408e-10
1.29316e+00,4.07399e-08,2.21540e-07,2.36048e-10
1.30752e+00,3.98297e-08,2.01390e-07,2.30886e-10
1.32204e+00,3.89542e-08,1.83852e-07,2.25908e-10
1.33672e+00,3.81195e-08,1.68442e-07,2.21104e-10
1.35156e+00,3.72893e-08,1.54861e-07,2.16465e-10
1.36657e+00,3.64718e-08,1.42794e-07,2.11981e-10
1.38174e+00,3.56675e-08,1.32016e-07,2.07643e-10
1.39709e+00,3.49028e-08,1.22337e-07,2.03444e-10
1.41260e+00,3.41270e-08,1.13630e-07,1.99378e-10
1.42828e+00,3.33927e-08,1.05788e-07,1.95437e-10
1.44414e+00,3.26495e-08,9.86544e-08,1.91615e-10
1.46018e+00,3.19311e-08,9.21791e-08,1.87906e-10
1.47639e+00,3.12326e-08,8.62636e-08,1.84307e-10
1.49279e+00,3.05555e-08,8.08537e-08,1.80810e-10
1.50936e+00,2.98876e-08,7.59045e-08,1.77413e-10
1.52612e+00,2.92322e-08,7.13563e-08,1.74111e-10
1.54307e+00,2.85979e-08,6.71682e-08,1.70899e-10
1.56021e+00,2.79689e-08,6.33010e-08,1.67774e-10
1.57753e+00,2.73601e-08,5.97279e-08,1.64733e-10
1.59505e+00,2.67610e-08,5.64150e-08,1.61771e-10
1.61276e+00,2.61751e-08,5.33532e-08,1.58887e-10
1.63067e+00,2.56005e-08,5.05127e-08,1.56077e-10
1.64877e+00,2.50426e-08,4.78558e-08,1.53337e-10
1.66708e+00,2.44943e-08,4.53894e-08,1.50667e-10
1.68559e+00,2.39577e-08,4.30913e-08,1.48062e-10
1.70431e+00,2.34364e-08,4.09453e-08,1.45520e-10
1.72324e+00,2.29242e-08,3.89348e-08,1.43041e-10
1.74237e+00,2.24218e-08,3.70557e-08,1.40620e-10
1.76172e+00,2.19326e-08,3.52960e-08,1.38256e-10
1.78128e+00,2.14524e-08,3.36429e-08,1.35948e-10
1.80106e+00,2.09833e-08,3.20962e-08,1.33693e-10
1.82106e+00,2.05249e-08,3.06412e-08,1.31489e-10
1.84128e+00,2.00778e-08,2.92698e-08,1.29336e-10
1.86173e+00,1.96375e-08,2.79816e-08,1.27230e-10
1.88240e+00,1.92081e-08,2.67657e-08,1.25172e-10
1.90330e+00,1.87893e-08,2.56214e-08,1.23159e-10
1.92444e+00,1.83773e-08,2.45381e-08,1.21190e-10
1.94580e+00,1.79760e-08,2.35190e-08,1.19264e-10
1.96741e+00,1.75835e-08,2.25532e-08,1.17378e-10
1.98926e+00,1.71988e-08,2.16401e-08,1.15534e-10
2.01135e+00,1.68223e-08,2.07764e-08,1.13729e-10
2.03368e+00,1.64551e-08,1.99570e-08,1.11962e-10
2.05626e+00,1.60955e-08,1.91802e-08,1.10233e-10
2.07910e+00,1.57438e-08,1.84438e-08,1.08541e-10
2.10218e+00,1.53994e-08,1.77448e-08,1.06884e-10
2.12553e+00,1.50633e-08,1.70803e-08,1.05263e-10
2.14913e+00,1.47341e-08,1.64491e-08,1.03676e-10
2.17299e+00,1.44120e-08,1.58483e-08,1.02124e-10
2.19712e+00,1.40971e-08,1.52764e-08,1.00605e-10
2.22152e+00,1.37890e-08,1.47322e-08,9.91202e-11
2.24619e+00,1.34878e-08,1.42134e-08,9.76688e-11
2.27113e+00,1.31928e-08,1.37183e-08,9.62508e-11
2.29635e+00,1.29047e-08,1.32462e-08,9.48664e-11
2.32185e+00,1.26226e-08,1.27954e-08,9.35159e-11
2.34763e+00,1.23469e-08,1.23650e-08,9.21998e-11
2.37370e+00,1.20768e-08,1.19530e-08,9.09186e-11
2.40005e+00,1.18132e-08,1.15596e-08,8.96734e-11
2.42670e+00,1.15550e-08,1.11830e-08,8.84651e-11
2.45365e+00,1.13024e-08,1.08221e-08,8.72951e-11
2.48090e+00,1.10555e-08,1.04771e-08,8.61652e-11
2.50844e+00,1.08139e-08,1.01460e-08,8.50773e-11
2.53630e+00,1.05777e-08,9.82865e-09,8.40340e-11
2.56446e+00,1.03466e-08,9.52414e-09,8.30381e-11
2.59294e+00,1.01205e-08,9.23151e-09,8.20930e-11
2.62173e+00,9.89935e-09,8.95096e-09,8.12029e-11
2.65084e+00,9.68308e-09,8.68124e-09,8.03724e-11
2.68028e+00,9.47151e-09,8.42189e-09,7.96071e-11
2.71004e+00,9.26457e-09,8.17268e-09,7.89135e-11
2.74013e+00,9.06216e-09,7.93277e-09,7.82994e-11
2.77056e+00,8.86415e-09,7.70172e-09,7.77737e-11
2.80132e+00,8.67050e-09,7.47930e-09,7.73470e-11
2.83243e+00,8.48104e-09,7.26500e-09,7.70318e-11
2.86388e+00,8.29576e-09,7.05867e-09,7.68426e-11
2.89568e+00,8.11452e-09,6.85969e-09,7.67968e-11
2.92784e+00,7.93724e-09,6.67605e-09,7.69149e-11
2.96035e+00,7.76384e-09,6.48223e-09,7.72212e-11
2.99322e+00,7.59423e-09,6.30294e-09,7.77451e-11
3.02646e+00,7.42830e-09,6.13026e-09,7.85215e-11
