freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
1.26491e+00,4.25988e-08,2.72079e-07,3.92989e-10
1.27896e+00,4.16434e-08,2.44829e-07,3.91017e-10
1.29316e+00,4.07399e-08,2.21540e-07,3.91551e-10
1.30752e+00,3.98297e-08,2.01390e-07,3.92344e-10
1.32204e+00,3.89542e-08,1.83852e-07,3.90730e-10
1.33672e+00,3.81195e-08,1.68442e-07,3.89788e-10
1.35156e+00,3.72893e-08,1.54861e-07,3.91749e-10
1.36657e+00,3.64718e-08,1.42794e-07,3.89310e-10
1.38174e+00,3.56675e-08,1.32016e-07,3.89842e-10
1.39709e+00,3.49028e-08,1.22337e-07,3.88241e-10
1.41260e+00,3.41270e-08,1.13630e-07,3.88089e-10
1.42828e+00,3.33927e-08,1.05788e-07,3.87860e-10
1.44414e+00,3.26495e-08,9.86544e-08,3.87035e-10
1.46018e+00,3.19311e-08,9.21791e-08,3.86934e-10
1.47639e+00,3.12326e-08,8.62636e-08,3.86277e-10
1.49279e+00,3.05555e-08,8.08537e-08,3.85889e-10
1.50936e+00,2.98876e-08,7.59045e-08,3.84505e-10
1.52612e+00,2.92322e-08,7.13563e-08,3.83977e-10
1.54307e+00,2.85979e-08,6.71682e-08,3.83130e-10
1.56021e+00,2.79689e-08,6.33010e-08,3.82643e-10
1.57753e+00,2.73601e-08,5.97279e-08,3.81881e-10
1.59505e+00,2.67610e-08,5.64150e-08,3.81078e-10
1.61276e+00,2.61751e-08,5.33532e-08,3.81018e-10
1.63067e+00,2.56005e-08,5.05127e-08,3.79557e-10
1.64877e+00,2.50426e-08,4.78558e-08,3.78820e-10
1.66708e+00,2.44943e-08,4.53894e-08,3.78037e-10
1.68559e+00,2.39577e-08,4.30913e-08,3.76451e-10
1.70431e+00,2.34364e-08,4.09453e-08,3.75945e-10
1.72324e+00,2.29242e-08,3.89348e-08,3.74681e-10
1.74237e+00,2.24218e-08,3.70557e-08,3.73287e-10
1.76172e+00,2.19326e-08,3.52960e-08,3.72089e-10
1.78128e+00,2.14524e-08,3.36429e-08,3.70786e-10
1.80106e+00,2.09833e-08,3.20962e-08,3.69266e-10
1.82106e+00,2.05249e-08,3.06412e-08,3.68003e-10
1.84128e+00,2.00778e-08,2.92698e-08,3.66468e-10
1.86173e+00,1.96375e-08,2.79816e-08,3.65173e-10
1.88240e+00,1.92081e-08,2.67657e-08,3.62998e-10
1.90330e+00,1.87893e-08,2.56214e-08,3.61478e-10
1.92444e+00,1.83773e-08,2.45381e-08,3.59947e-10
1.94580e+00,1.79760e-08,2.35190e-08,3.58008e-10
1.96741e+00,1.75835e-08,2.25532e-08,3.56382e-10
1.98926e+00,1.71988e-08,2.16401e-08,3.54131e-10
2.01135e+00,1.68223e-08,2.07764e-08,3.52238e-10
2.03368e+00,1.64551e-08,1.99570e-08,3.50085e-10
2.05626e+00,1.60955e-08,1.91802e-08,3.47895e-10
2.07910e+00,1.57438e-08,1.84438e-08,3.45773e-10
2.10218e+00,1.53994e-08,1.77448e-08,3.43263e-10
2.12553e+00,1.50633e-08,1.70803e-08,3.40964e-10
2.14913e+00,1.47341e-08,1.64491e-08,3.38427e-10
2.17299e+00,1.44120e-08,1.58483e-08,3.36007e-10
2.19712e+00,1.40971e-08,1.52764e-08,3.33153e-10
2.22152e+00,1.37890e-08,1.47322e-08,3.30517e-10
2.24619e+00,1.34878e-08,1.42134e-08,3.27757e-10
2.27113e+00,1.31928e-08,1.37183e-08,3.24819e-10
2.29635e+00,1.29047e-08,1.32462e-08,3.21865e-10
2.32185e+00,1.26226e-08,1.27954e-08,3.18800e-10
2.34763e+00,1.23469e-08,1.23650e-08,3.15610e-10
2.37370e+00,1.20768e-08,1.19530e-08,3.12414e-10
2.40005e+00,1.18132e-08,1.15596e-08,3.09098e-10
2.42670e+00,1.15550e-08,1.11830e-08,3.05721e-10
2.45365e+00,1.13024e-08,1.08221e-08,3.02269e-10
2.48090e+00,1.10555e-08,1.04771e-08,2.98781e-10
2.50844e+00,1.08139e-08,1.01460e-08,2.95166e-10
2.53630e+00,1.05777e-08,9.82865e-09,2.91434e-10
2.56446e+00,1.03466e-08,9.52414e-09,2.87705e-10
2.59294e+00,1.01205e-08,9.23151e-09,2.83881e-10
2.62173e+00,9.89935e-09,8.95096e-09,2.79990e-10
2.65084e+00,9.68308e-09,8.68124e-09,2.76036e-10
2.68028e+00,9.47151e-09,8.42189e-09,2.72045e-10
2.71004e+00,9.26457e-09,8.17268e-09,2.67980e-10
2.74013e+00,9.06216e-09,7.93277e-09,2.63849e-10
2.77056e+00,8.86415e-09,7.70172e-09,2.59697e-10
2.80132e+00,8.67050e-09,7.47930e-09,2.55492e-10
2.83243e+00,8.48104e-09,7.26500e-09,2.51207e-10
2.86388e+00,8.29576e-09,7.05867e-09,2.46924e-10
2.89568e+00,8.11452e-09,6.85969e-09,2.42588e-10
