freq_aligo,strain_aligo,strain_baseline,strain_best
5.36701e+02,4.98642e-25,7.39092e-25,1.22850e-24
5.38122e+02,4.99324e-25,7.38851e-25,1.22423e-24
5.39546e+02,5.00009e-25,7.38608e-25,1.21996e-24
5.40974e+02,5.00697e-25,7.38365e-25,1.21570e-24
5.42406e+02,5.01388e-25,7.38120e-25,1.21146e-24
5.43842e+02,5.02081e-25,7.37874e-25,1.20722e-24
5.45282e+02,5.02778e-25,7.37626e-25,1.20299e-24
5.46725e+02,5.03477e-25,7.37378e-25,1.19877e-24
5.48172e+02,5.04179e-25,7.37128e-25,1.19456e-24
5.49623e+02,5.04883e-25,7.36877e-25,1.19036e-24
5.51078e+02,5.05591e-25,7.36625e-25,1.18617e-24
5.52537e+02,5.06301e-25,7.36371e-25,1.18198e-24
5.53999e+02,5.07014e-25,7.36117e-25,1.17781e-24
5.55466e+02,5.07730e-25,7.35861e-25,1.17365e-24
5.56936e+02,5.08448e-25,7.35604e-25,1.16949e-24
5.58410e+02,5.09170e-25,7.35345e-25,1.16535e-24
5.59888e+02,5.09894e-25,7.35085e-25,1.16121e-24
5.61371e+02,5.10621e-25,7.34824e-25,1.15708e-24
5.62856e+02,5.11351e-25,7.34562e-25,1.15296e-24
5.64346e+02,5.12084e-25,7.34298e-25,1.14885e-24
5.65840e+02,5.12820e-25,7.34033e-25,1.14475e-24
5.67338e+02,5.13559e-25,7.33767e-25,1.14066e-24
5.68840e+02,5.14301e-25,7.33499e-25,1.13658e-24
5.70345e+02,5.15045e-25,7.33231e-25,1.13251e-24
5.71855e+02,5.15793e-25,7.32960e-25,1.12844e-24
5.73369e+02,5.16543e-25,7.32689e-25,1.12439e-24
5.74887e+02,5.17296e-25,7.32416e-25,1.12034e-24
5.76408e+02,5.18052e-25,7.32142e-25,1.11630e-24
5.77934e+02,5.18812e-25,7.31866e-25,1.11227e-24
5.79464e+02,5.19574e-25,7.31589e-25,1.10825e-24
5.80998e+02,5.20339e-25,7.31311e-25,1.10424e-24
5.82536e+02,5.21107e-25,7.31031e-25,1.10024e-24
5.84078e+02,5.21878e-25,7.30750e-25,1.09625e-24
5.85624e+02,5.22652e-25,7.30468e-25,1.09226e-24
5.87174e+02,5.23429e-25,7.30184e-25,1.08829e-24
5.88728e+02,5.24209e-25,7.29899e-25,1.08432e-24
5.90286e+02,5.24992e-25,7.29612e-25,1.08036e-24
5.91849e+02,5.25778e-25,7.29324e-25,1.07641e-24
5.93416e+02,5.26568e-25,7.29035e-25,1.07247e-24
5.94986e+02,5.27360e-25,7.28744e-25,1.06854e-24
5.96561e+02,5.28155e-25,7.28452e-25,1.06462e-24
5.98140e+02,5.28953e-25,7.28158e-25,1.06070e-24
5.99724e+02,5.29755e-25,7.27863e-25,1.05680e-24
6.01311e+02,5.30559e-25,7.27566e-25,1.05290e-24
6.02903e+02,5.31367e-25,7.27268e-25,1.04901e-24
6.04499e+02,5.32177e-25,7.26969e-25,1.04513e-24
6.06099e+02,5.32991e-25,7.26668e-25,1.04126e-24
6.07703e+02,5.33808e-25,7.26365e-25,1.03740e-24
6.09312e+02,5.34628e-25,7.26061e-25,1.03355e-24
6.10925e+02,5.35451e-25,7.25756e-25,1.02970e-24
6.12542e+02,5.36277e-25,7.25449e-25,1.02587e-24
6.14163e+02,5.37106e-25,7.25140e-25,1.02204e-24
6.15789e+02,5.37939e-25,7.24831e-25,1.01822e-24
6.17419e+02,5.38774e-25,7.24519e-25,1.01441e-24
6.19053e+02,5.39613e-25,7.24206e-25,1.01061e-24
6.20692e+02,5.40455e-25,7.23892e-25,1.00682e-24
6.22335e+02,5.41300e-25,7.23576e-25,1.00303e-24
6.23982e+02,5.42149e-25,7.23258e-25,9.99255e-25
6.25634e+02,5.43000e-25,7.22939e-25,9.95488e-25
6.27290e+02,5.43855e-25,7.22618e-25,9.91729e-25
6.28950e+02,5.44713e-25,7.22296e-25,9.87978e-25
6.30615e+02,5.45574e-25,7.21972e-25,9.84236e-25
6.32284e+02,5.46439e-25,7.21647e-25,9.80503e-25
6.33958e+02,5.47306e-25,7.21320e-25,9.76778e-25
6.35636e+02,5.48177e-25,7.20991e-25,9.73062e-25
6.37319e+02,5.49052e-25,7.20661e-25,9.69354e-25
6.39006e+02,5.49929e-25,7.20329e-25,9.65655e-25
6.40697e+02,5.50810e-25,7.19996e-25,9.61964e-25
6.42393e+02,5.51694e-25,7.19661e-25,9.58281e-25
6.44093e+02,5.52581e-25,7.19324e-25,9.54607e-25
6.45798e+02,5.53472e-25,7.18986e-25,9.50942e-25
6.47508e+02,5.54366e-25,7.18646e-25,9.47285e-25
6.49222e+02,5.55264e-25,7.18304e-25,9.43637e-25
6.50940e+02,5.56164e-25,7.17961e-25,9.39997e-25
6.52663e+02,5.57068e-25,7.17616e-25,9.36365e-25
6.54391e+02,5.57976e-25,7.17269e-25,9.32742e-25
6.56123e+02,5.58886e-25,7.16921e-25,9.29127e-25
6.57860e+02,5.59801e-25,7.16571e-25,9.25521e-25
6.59601e+02,5.60718e-25,7.16220e-25,9.21923e-25
6.61347e+02,5.61639e-25,7.15866e-25,9.18334e-25
6.63098e+02,5.62563e-25,7.15511e-25,9.14753e-25
6.64853e+02,5.63491e-25,7.15154e-25,9.11181e-25
6.66613e+02,5.64422e-25,7.14796e-25,9.07617e-25
6.68377e+02,5.65357e-25,7.14436e-25,9.04061e-25
6.70147e+02,5.66295e-25,7.14074e-25,9.00514e-25
6.71920e+02,5.67236e-25,7.13710e-25,8.96975e-25
6.73699e+02,5.68181e-25,7.13345e-25,8.93445e-25
6.75482e+02,5.69130e-25,7.12977e-25,8.89923e-25
6.77270e+02,5.70081e-25,7.12608e-25,8.86410e-25
6.79063e+02,5.71037e-25,7.12238e-25,8.82905e-25
6.80861e+02,5.71996e-25,7.11865e-25,8.79409e-25
6.82663e+02,5.72958e-25,7.11491e-25,8.75921e-25
6.84470e+02,5.73924e-25,7.11115e-25,8.72442e-25
6.86282e+02,5.74893e-25,7.10737e-25,8.68971e-25
6.88098e+02,5.75866e-25,7.10357e-25,8.65508e-25
6.89920e+02,5.76842e-25,7.09976e-25,8.62054e-25
6.91746e+02,5.77822e-25,7.09592e-25,8.58608e-25
6.93577e+02,5.78806e-25,7.09207e-25,8.55171e-25
6.95413e+02,5.79793e-25,7.08820e-25,8.51743e-25
6.97254e+02,5.80784e-25,7.08431e-25,8.48323e-25
6.99099e+02,5.81778e-25,7.08040e-25,8.44911e-25
7.00950e+02,5.82776e-25,7.07648e-25,8.41508e-25
7.02805e+02,5.83777e-25,7.07253e-25,8.38114e-25
7.04665e+02,5.84782e-25,7.06857e-25,8.34728e-25
7.06531e+02,5.85791e-25,7.06459e-25,8.31350e-25
7.08401e+02,5.86803e-25,7.06058e-25,8.27981e-25
7.10276e+02,5.87819e-25,7.05656e-25,8.24621e-25
7.12156e+02,5.88839e-25,7.05252e-25,8.21269e-25
7.14041e+02,5.89862e-25,7.04847e-25,8.17926e-25
7.15931e+02,5.90889e-25,7.04439e-25,8.14591e-25
7.17826e+02,5.91920e-25,7.04029e-25,8.11265e-25
7.19726e+02,5.92954e-25,7.03617e-25,8.07948e-25
7.21632e+02,5.93992e-25,7.03204e-25,8.04639e-25
7.23542e+02,5.95034e-25,7.02788e-25,8.01339e-25
7.25457e+02,5.96080e-25,7.02371e-25,7.98048e-25
7.27377e+02,5.97129e-25,7.01951e-25,7.94765e-25
7.29303e+02,5.98182e-25,7.01530e-25,7.91491e-25
7.31233e+02,5.99238e-25,7.01106e-25,7.88226e-25
7.33169e+02,6.00299e-25,7.00681e-25,7.84970e-25
7.35109e+02,6.01363e-25,7.00253e-25,7.81722e-25
7.37055e+02,6.02431e-25,6.99824e-25,7.78483e-25
7.39006e+02,6.03503e-25,6.99392e-25,7.75253e-25
7.40962e+02,6.04579e-25,6.98959e-25,7.72031e-25
7.42924e+02,6.05658e-25,6.98523e-25,7.68819e-25
7.44890e+02,6.06741e-25,6.98086e-25,7.65615e-25
7.46862e+02,6.07828e-25,6.97646e-25,7.62420e-25
7.48839e+02,6.08919e-25,6.97205e-25,7.59234e-25
7.50821e+02,6.10014e-25,6.96761e-25,7.56057e-25
7.52809e+02,6.11112e-25,6.96315e-25,7.52889e-25
7.54801e+02,6.12215e-25,6.95867e-25,7.49730e-25
7.56799e+02,6.13321e-25,6.95417e-25,7.46579e-25
7.58802e+02,6.14431e-25,6.94965e-25,7.43438e-25
7.60811e+02,6.15546e-25,6.94511e-25,7.40306e-25
7.62825e+02,6.16664e-25,6.94055e-25,7.37183e-25
7.64844e+02,6.17786e-25,6.93597e-25,7.34069e-25
7.66869e+02,6.18911e-25,6.93136e-25,7.30964e-25
7.68899e+02,6.20041e-25,6.92673e-25,7.27869e-25
7.70934e+02,6.21175e-25,6.92209e-25,7.24782e-25
7.72975e+02,6.22313e-25,6.91742e-25,7.21705e-25
7.75021e+02,6.23454e-25,6.91273e-25,7.18637e-25
7.77072e+02,6.24600e-25,6.90802e-25,7.15578e-25
7.79129e+02,6.25750e-25,6.90328e-25,7.12529e-25
7.81191e+02,6.26903e-25,6.89853e-25,7.09489e-25
7.83259e+02,6.28061e-25,6.89375e-25,7.06458e-25
7.85332e+02,6.29223e-25,6.88895e-25,7.03437e-25
7.87411e+02,6.30388e-25,6.88413e-25,7.00425e-25
7.89496e+02,6.31558e-25,6.87929e-25,6.97423e-25
7.91585e+02,6.32732e-25,6.87442e-25,6.94430e-25
7.93681e+02,6.33910e-25,6.86953e-25,6.91447e-25
7.95782e+02,6.35092e-25,6.86462e-25,6.88473e-25
7.97888e+02,6.36278e-25,6.85969e-25,6.85509e-25
8.00000e+02,6.37468e-25,6.85474e-25,6.82555e-25
8.02118e+02,6.38662e-25,6.84976e-25,6.79611e-25
8.04241e+02,6.39860e-25,6.84476e-25,6.76676e-25
8.06370e+02,6.41063e-25,6.83974e-25,6.73751e-25
8.08504e+02,6.42269e-25,6.83470e-25,6.70836e-25
8.10644e+02,6.43480e-25,6.82963e-25,6.67932e-25
8.12790e+02,6.44695e-25,6.82454e-25,6.65037e-25
8.14941e+02,6.45914e-25,6.81943e-25,6.62152e-25
8.17099e+02,6.47137e-25,6.81429e-25,6.59277e-25
8.19262e+02,6.48365e-25,6.80913e-25,6.56412e-25
8.21430e+02,6.49596e-25,6.80395e-25,6.53557e-25
8.23604e+02,6.50832e-25,6.79874e-25,6.50713e-25
8.25785e+02,6.52072e-25,6.79351e-25,6.47879e-25
8.27970e+02,6.53316e-25,6.78826e-25,6.45055e-25
8.30162e+02,6.54565e-25,6.78299e-25,6.42242e-25
8.32359e+02,6.55817e-25,6.77769e-25,6.39439e-25
8.34563e+02,6.57074e-25,6.77237e-25,6.36647e-25
8.36772e+02,6.58336e-25,6.76702e-25,6.33865e-25
8.38987e+02,6.59601e-25,6.76165e-25,6.31094e-25
8.41208e+02,6.60871e-25,6.75626e-25,6.28334e-25
8.43434e+02,6.62145e-25,6.75084e-25,6.25584e-25
8.45667e+02,6.63424e-25,6.74540e-25,6.22845e-25
8.47905e+02,6.64706e-25,6.73994e-25,6.20118e-25
8.50150e+02,6.65993e-25,6.73445e-25,6.17401e-25
8.52400e+02,6.67285e-25,6.72894e-25,6.14695e-25
8.54656e+02,6.68581e-25,6.72340e-25,6.12000e-25
8.56919e+02,6.69881e-25,6.71784e-25,6.09317e-25
8.59187e+02,6.71185e-25,6.71225e-25,6.06645e-25
8.61461e+02,6.72494e-25,6.70665e-25,6.03984e-25
8.63742e+02,6.73808e-25,6.70101e-25,6.01334e-25
8.66028e+02,6.75125e-25,6.69535e-25,5.98696e-25
8.68320e+02,6.76448e-25,6.68967e-25,5.96070e-25
8.70619e+02,6.77774e-25,6.68397e-25,5.93455e-25
8.72923e+02,6.79105e-25,6.67823e-25,5.90852e-25
8.75234e+02,6.80441e-25,6.67248e-25,5.88261e-25
8.77551e+02,6.81781e-25,6.66670e-25,5.85681e-25
8.79874e+02,6.83125e-25,6.66089e-25,5.83114e-25
8.82203e+02,6.84474e-25,6.65506e-25,5.80559e-25
8.84538e+02,6.85828e-25,6.64921e-25,5.78016e-25
8.86879e+02,6.87186e-25,6.64333e-25,5.75485e-25
8.89227e+02,6.88548e-25,6.63742e-25,5.72966e-25
8.91580e+02,6.89915e-25,6.63149e-25,5.70460e-25
