freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
1.26491e+00,4.25988e-08,2.36681e-09,8.07831e-12
1.27896e+00,4.16434e-08,2.33113e-09,8.72525e-12
1.29316e+00,4.07399e-08,2.29575e-09,9.45051e-12
1.30752e+00,3.98297e-08,2.26068e-09,1.02694e-11
1.32204e+00,3.89542e-08,2.22591e-09,1.11982e-11
1.33672e+00,3.81195e-08,2.19145e-09,1.22609e-11
1.35156e+00,3.72893e-08,2.15731e-09,1.34861e-11
1.36657e+00,3.64718e-08,2.12349e-09,1.49100e-11
1.38174e+00,3.56675e-08,2.08999e-09,1.65863e-11
1.39709e+00,3.49028e-08,2.05682e-09,1.85854e-11
1.41260e+00,3.41270e-08,2.02398e-09,2.10016e-11
1.42828e+00,3.33927e-08,1.99147e-09,2.39784e-11
1.44414e+00,3.26495e-08,1.95930e-09,2.77222e-11
1.46018e+00,3.19311e-08,1.92747e-09,3.25772e-11
1.47639e+00,3.12326e-08,1.89598e-09,3.90935e-11
1.49279e+00,3.05555e-08,1.86483e-09,4.82865e-11
1.50936e+00,2.98876e-08,1.83402e-09,6.21775e-11
1.52612e+00,2.92322e-08,1.80356e-09,8.55192e-11
1.54307e+00,2.85979e-08,1.77345e-09,1.32689e-10
1.56021e+00,2.79689e-08,1.74369e-09,2.75589e-10
1.57753e+00,2.73601e-08,1.71428e-09,1.30379e-09
1.59505e+00,2.67610e-08,1.68522e-09,2.64695e-10
1.61276e+00,2.61751e-08,1.65651e-09,1.41614e-10
1.63067e+00,2.56005e-08,1.62815e-09,9.83564e-11
1.64877e+00,2.50426e-08,1.60015e-09,7.64350e-11
1.66708e+00,2.44943e-08,1.57250e-09,6.32542e-11
1.68559e+00,2.39577e-08,1.54520e-09,5.44876e-11
1.70431e+00,2.34364e-08,1.51826e-09,4.82861e-11
1.72324e+00,2.29242e-08,1.49166e-09,4.36868e-11
1.74237e+00,2.24218e-08,1.46542e-09,4.01766e-11
1.76172e+00,2.19326e-08,1.43953e-09,3.74258e-11
1.78128e+00,2.14524e-08,1.41399e-09,3.52367e-11
1.80106e+00,2.09833e-08,1.38880e-09,3.34784e-11
1.82106e+00,2.05249e-08,1.36396e-09,3.20618e-11
1.84128e+00,2.00778e-08,1.33947e-09,3.09136e-11
1.86173e+00,1.96375e-08,1.31532e-09,2.99908e-11
1.88240e+00,1.92081e-08,1.29152e-09,2.92605e-11
1.90330e+00,1.87893e-08,1.26805e-09,2.86954e-11
1.92444e+00,1.83773e-08,1.24493e-09,2.82782e-11
1.94580e+00,1.79760e-08,1.22215e-09,2.79966e-11
1.96741e+00,1.75835e-08,1.19971e-09,2.78458e-11
1.98926e+00,1.71988e-08,1.17760e-09,2.78139e-11
2.01135e+00,1.68223e-08,1.15582e-09,2.79019e-11
2.03368e+00,1.64551e-08,1.13437e-09,2.81206e-11
2.05626e+00,1.60955e-08,1.11325e-09,2.84701e-11
2.07910e+00,1.57438e-08,1.09246e-09,2.89586e-11
2.10218e+00,1.53994e-08,1.07199e-09,2.96010e-11
2.12553e+00,1.50633e-08,1.05184e-09,3.04236e-11
2.14913e+00,1.47341e-08,1.03201e-09,3.14521e-11
2.17299e+00,1.44120e-08,1.01250e-09,3.27188e-11
2.19712e+00,1.40971e-08,9.93292e-10,3.42945e-11
2.22152e+00,1.37890e-08,9.74398e-10,3.62362e-11
2.24619e+00,1.34878e-08,9.55810e-10,3.86671e-11
2.27113e+00,1.31928e-08,9.37526e-10,4.17348e-11
2.29635e+00,1.29047e-08,9.19543e-10,4.56816e-11
2.32185e+00,1.26226e-08,9.01857e-10,5.08871e-11
2.34763e+00,1.23469e-08,8.84466e-10,5.80002e-11
2.37370e+00,1.20768e-08,8.67365e-10,6.81628e-11
2.40005e+00,1.18132e-08,8.50553e-10,8.37066e-11
2.42670e+00,1.15550e-08,8.34026e-10,1.09773e-10
2.45365e+00,1.13024e-08,8.17780e-10,1.59264e-10
2.48090e+00,1.10555e-08,8.01813e-10,2.51394e-10
2.50844e+00,1.08139e-08,7.86120e-10,2.47637e-10
2.53630e+00,1.05777e-08,7.70700e-10,1.48425e-10
2.56446e+00,1.03466e-08,7.55547e-10,9.62080e-11
2.59294e+00,1.01205e-08,7.40660e-10,6.90701e-11
2.62173e+00,9.89935e-09,7.26034e-10,5.29997e-11
2.65084e+00,9.68308e-09,7.11667e-10,4.25010e-11
2.68028e+00,9.47151e-09,6.97554e-10,3.51538e-11
