freq_aligo,strain_aligo,strain_baseline,strain_best
1.26491e+00,7.51835e-22,4.76338e-22,6.96513e-21
1.27896e+00,7.34974e-22,4.65960e-22,7.35840e-21
1.29316e+00,7.19028e-22,4.55808e-22,7.79575e-21
1.30752e+00,7.02963e-22,4.45876e-22,8.28600e-21
1.32204e+00,6.87512e-22,4.36159e-22,8.83785e-21
1.33672e+00,6.72780e-22,4.26654e-22,9.46490e-21
1.35156e+00,6.58127e-22,4.17356e-22,1.01831e-20
1.36657e+00,6.43699e-22,4.08260e-22,1.10121e-20
1.38174e+00,6.29503e-22,3.99361e-22,1.19822e-20
1.39709e+00,6.16007e-22,3.90656e-22,1.31328e-20
1.41260e+00,6.02316e-22,3.82140e-22,1.45156e-20
1.42828e+00,5.89355e-22,3.73810e-22,1.62107e-20
1.44414e+00,5.76238e-22,3.65660e-22,1.83318e-20
1.46018e+00,5.63560e-22,3.57688e-22,2.10712e-20
1.47639e+00,5.51232e-22,3.49889e-22,2.47329e-20
1.49279e+00,5.39281e-22,3.42260e-22,2.98806e-20
1.50936e+00,5.27494e-22,3.34797e-22,3.76346e-20
1.52612e+00,5.15927e-22,3.27497e-22,5.06293e-20
1.54307e+00,5.04731e-22,3.20355e-22,7.68320e-20
1.56021e+00,4.93630e-22,3.13368e-22,1.56049e-19
1.57753e+00,4.82886e-22,3.06534e-22,7.22086e-19
1.59505e+00,4.72311e-22,2.99849e-22,1.43517e-19
1.61276e+00,4.61970e-22,2.93309e-22,7.50925e-20
1.63067e+00,4.51830e-22,2.86911e-22,5.10116e-20
1.64877e+00,4.41984e-22,2.80652e-22,3.87745e-20
1.66708e+00,4.32305e-22,2.74530e-22,3.13860e-20
1.68559e+00,4.22836e-22,2.68542e-22,2.64448e-20
1.70431e+00,4.13636e-22,2.62683e-22,2.29225e-20
1.72324e+00,4.04594e-22,2.56952e-22,2.02857e-20
1.74237e+00,3.95727e-22,2.51346e-22,1.82479e-20
1.76172e+00,3.87095e-22,2.45862e-22,1.66269e-20
1.78128e+00,3.78619e-22,2.40498e-22,1.53121e-20
1.80106e+00,3.70341e-22,2.35250e-22,1.42300e-20
1.82106e+00,3.62249e-22,2.30117e-22,1.33300e-20
1.84128e+00,3.54359e-22,2.25095e-22,1.25717e-20
1.86173e+00,3.46587e-22,2.20183e-22,1.19298e-20
1.88240e+00,3.39010e-22,2.15378e-22,1.13849e-20
1.90330e+00,3.31619e-22,2.10678e-22,1.09210e-20
1.92444e+00,3.24346e-22,2.06080e-22,1.05270e-20
1.94580e+00,3.17264e-22,2.01582e-22,1.01944e-20
1.96741e+00,3.10337e-22,1.97183e-22,9.91785e-21
1.98926e+00,3.03547e-22,1.92879e-22,9.68998e-21
2.01135e+00,2.96902e-22,1.88669e-22,9.50818e-21
2.03368e+00,2.90421e-22,1.84551e-22,9.37328e-21
2.05626e+00,2.84075e-22,1.80522e-22,9.28237e-21
2.07910e+00,2.77867e-22,1.76581e-22,9.23531e-21
2.10218e+00,2.71789e-22,1.72727e-22,9.23388e-21
2.12553e+00,2.65858e-22,1.68956e-22,9.28308e-21
2.14913e+00,2.60047e-22,1.65267e-22,9.38716e-21
2.17299e+00,2.54362e-22,1.61659e-22,9.55182e-21
2.19712e+00,2.48805e-22,1.58130e-22,9.79303e-21
2.22152e+00,2.43366e-22,1.54677e-22,1.01214e-20
2.24619e+00,2.38050e-22,1.51300e-22,1.05644e-20
2.27113e+00,2.32844e-22,1.47996e-22,1.11533e-20
2.29635e+00,2.27760e-22,1.44765e-22,1.19413e-20
2.32185e+00,2.22781e-22,1.41604e-22,1.30114e-20
2.34763e+00,2.17915e-22,1.38512e-22,1.45061e-20
2.37370e+00,2.13148e-22,1.35487e-22,1.66753e-20
2.40005e+00,2.08495e-22,1.32528e-22,2.00303e-20
2.42670e+00,2.03939e-22,1.29634e-22,2.56935e-20
2.45365e+00,1.99481e-22,1.26803e-22,3.64597e-20
2.48090e+00,1.95123e-22,1.24034e-22,5.62722e-20
2.50844e+00,1.90859e-22,1.21325e-22,5.42033e-20
2.53630e+00,1.86690e-22,1.18675e-22,3.17886e-20
2.56446e+00,1.82610e-22,1.16083e-22,2.01581e-20
2.59294e+00,1.78620e-22,1.13547e-22,1.41568e-20
2.62173e+00,1.74718e-22,1.11067e-22,1.06260e-20
2.65084e+00,1.70900e-22,1.08641e-22,8.33508e-21
2.68028e+00,1.67166e-22,1.06268e-22,6.74363e-21
2.71004e+00,1.63514e-22,1.03946e-22,5.58067e-21
2.74013e+00,1.59942e-22,1.01676e-22,4.69796e-21
2.77056e+00,1.56447e-22,9.94546e-23,4.00987e-21
