freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
1.63299e+03,1.69546e+13,2.35294e+13,2.39688e+14
1.63432e+03,1.69421e+13,2.35553e+13,2.42216e+14
1.63564e+03,1.69296e+13,2.35813e+13,2.44774e+14
1.63697e+03,1.69170e+13,2.36074e+13,2.47362e+14
1.63830e+03,1.69045e+13,2.36336e+13,2.49980e+14
1.63963e+03,1.68920e+13,2.36599e+13,2.52628e+14
1.64096e+03,1.68795e+13,2.36863e+13,2.55305e+14
1.64229e+03,1.68671e+13,2.37128e+13,2.58012e+14
1.64362e+03,1.68546e+13,2.37394e+13,2.60749e+14
1.64495e+03,1.68421e+13,2.37661e+13,2.63514e+14
1.64629e+03,1.68297e+13,2.37929e+13,2.66308e+14
1.64763e+03,1.68172e+13,2.38198e+13,2.69130e+14
1.64896e+03,1.68047e+13,2.38468e+13,2.71980e+14
1.65030e+03,1.67923e+13,2.38740e+13,2.74856e+14
1.65164e+03,1.67799e+13,2.39012e+13,2.77759e+14
1.65298e+03,1.67675e+13,2.39285e+13,2.80688e+14
1.65432e+03,1.67550e+13,2.39559e+13,2.83642e+14
1.65566e+03,1.67426e+13,2.39834e+13,2.86620e+14
1.65700e+03,1.67302e+13,2.40110e+13,2.89621e+14
1.65835e+03,1.67178e+13,2.40387e+13,2.92644e+14
1.65969e+03,1.67054e+13,2.40666e+13,2.95689e+14
1.66104e+03,1.66931e+13,2.40945e+13,2.98753e+14
1.66239e+03,1.66807e+13,2.41225e+13,3.01835e+14
1.66374e+03,1.66683e+13,2.41507e+13,3.04935e+14
1.66509e+03,1.66560e+13,2.41789e+13,3.08050e+14
1.66644e+03,1.66436e+13,2.42073e+13,3.11179e+14
1.66779e+03,1.66313e+13,2.42358e+13,3.14320e+14
1.66914e+03,1.66189e+13,2.42644e+13,3.17471e+14
1.67050e+03,1.66066e+13,2.42931e+13,3.20631e+14
1.67185e+03,1.65943e+13,2.43219e+13,3.23797e+14
1.67321e+03,1.65820e+13,2.43508e+13,3.26967e+14
1.67457e+03,1.65697e+13,2.43798e+13,3.30139e+14
1.67592e+03,1.65574e+13,2.44089e+13,3.33310e+14
1.67728e+03,1.65451e+13,2.44382e+13,3.36477e+14
1.67864e+03,1.65328e+13,2.44675e+13,3.39639e+14
1.68001e+03,1.65205e+13,2.44970e+13,3.42792e+14
1.68137e+03,1.65082e+13,2.45266e+13,3.45933e+14
1.68273e+03,1.64960e+13,2.45563e+13,3.49059e+14
1.68410e+03,1.64837e+13,2.45861e+13,3.52167e+14
1.68546e+03,1.64715e+13,2.46161e+13,3.55254e+14
1.68683e+03,1.64592e+13,2.46461e+13,3.58316e+14
1.68820e+03,1.64470e+13,2.46763e+13,3.61350e+14
1.68957e+03,1.64348e+13,2.47066e+13,3.64353e+14
1.69094e+03,1.64226e+13,2.47370e+13,3.67320e+14
1.69231e+03,1.64103e+13,2.47675e+13,3.70248e+14
1.69368e+03,1.63981e+13,2.47982e+13,3.73134e+14
1.69506e+03,1.63859e+13,2.48289e+13,3.75974e+14
1.69643e+03,1.63738e+13,2.48598e+13,3.78763e+14
1.69781e+03,1.63616e+13,2.48908e+13,3.81498e+14
1.69919e+03,1.63494e+13,2.49220e+13,3.84175e+14
1.70057e+03,1.63372e+13,2.49532e+13,3.86791e+14
1.70195e+03,1.63251e+13,2.49846e+13,3.89341e+14
1.70333e+03,1.63129e+13,2.50161e+13,3.91822e+14
1.70471e+03,1.63008e+13,2.50477e+13,3.94230e+14
