freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
1.26491e+00,4.25988e-08,2.36681e-09,1.89372e-12
1.27896e+00,4.16434e-08,2.33113e-09,1.89157e-12
1.29316e+00,4.07399e-08,2.29575e-09,1.88948e-12
1.30752e+00,3.98297e-08,2.26068e-09,1.88746e-12
1.32204e+00,3.89542e-08,2.22591e-09,1.88551e-12
1.33672e+00,3.81195e-08,2.19145e-09,1.88363e-12
1.35156e+00,3.72893e-08,2.15731e-09,1.88180e-12
1.36657e+00,3.64718e-08,2.12349e-09,1.88004e-12
1.38174e+00,3.56675e-08,2.08999e-09,1.87833e-12
1.39709e+00,3.49028e-08,2.05682e-09,1.87668e-12
1.41260e+00,3.41270e-08,2.02398e-09,1.87508e-12
1.42828e+00,3.33927e-08,1.99147e-09,1.87354e-12
1.44414e+00,3.26495e-08,1.95930e-09,1.87206e-12
1.46018e+00,3.19311e-08,1.92747e-09,1.87062e-12
1.47639e+00,3.12326e-08,1.89598e-09,1.86922e-12
1.49279e+00,3.05555e-08,1.86483e-09,1.86789e-12
1.50936e+00,2.98876e-08,1.83402e-09,1.86659e-12
1.52612e+00,2.92322e-08,1.80356e-09,1.86534e-12
1.54307e+00,2.85979e-08,1.77345e-09,1.86413e-12
1.56021e+00,2.79689e-08,1.74369e-09,1.86297e-12
1.57753e+00,2.73601e-08,1.71428e-09,1.86185e-12
1.59505e+00,2.67610e-08,1.68522e-09,1.86076e-12
1.61276e+00,2.61751e-08,1.65651e-09,1.85972e-12
1.63067e+00,2.56005e-08,1.62815e-09,1.85871e-12
1.64877e+00,2.50426e-08,1.60015e-09,1.85773e-12
1.66708e+00,2.44943e-08,1.57250e-09,1.85680e-12
1.68559e+00,2.39577e-08,1.54520e-09,1.85589e-12
1.70431e+00,2.34364e-08,1.51826e-09,1.85503e-12
1.72324e+00,2.29242e-08,1.49166e-09,1.85419e-12
1.74237e+00,2.24218e-08,1.46542e-09,1.85339e-12
1.76172e+00,2.19326e-08,1.43953e-09,1.85261e-12
1.78128e+00,2.14524e-08,1.41399e-09,1.85186e-12
1.80106e+00,2.09833e-08,1.38880e-09,1.85114e-12
1.82106e+00,2.05249e-08,1.36396e-09,1.85045e-12
1.84128e+00,2.00778e-08,1.33947e-09,1.84980e-12
1.86173e+00,1.96375e-08,1.31532e-09,1.84915e-12
1.88240e+00,1.92081e-08,1.29152e-09,1.84854e-12
1.90330e+00,1.87893e-08,1.26805e-09,1.84795e-12
1.92444e+00,1.83773e-08,1.24493e-09,1.84739e-12
1.94580e+00,1.79760e-08,1.22215e-09,1.84685e-12
1.96741e+00,1.75835e-08,1.19971e-09,1.84633e-12
1.98926e+00,1.71988e-08,1.17760e-09,1.84584e-12
2.01135e+00,1.68223e-08,1.15582e-09,1.84536e-12
2.03368e+00,1.64551e-08,1.13437e-09,1.84491e-12
2.05626e+00,1.60955e-08,1.11325e-09,1.84447e-12
2.07910e+00,1.57438e-08,1.09246e-09,1.84406e-12
2.10218e+00,1.53994e-08,1.07199e-09,1.84366e-12
2.12553e+00,1.50633e-08,1.05184e-09,1.84329e-12
2.14913e+00,1.47341e-08,1.03201e-09,1.84292e-12
2.17299e+00,1.44120e-08,1.01250e-09,1.84259e-12
2.19712e+00,1.40971e-08,9.93292e-10,1.84226e-12
2.22152e+00,1.37890e-08,9.74398e-10,1.84196e-12
2.24619e+00,1.34878e-08,9.55810e-10,1.84166e-12
2.27113e+00,1.31928e-08,9.37526e-10,1.84139e-12
2.29635e+00,1.29047e-08,9.19543e-10,1.84113e-12
2.32185e+00,1.26226e-08,9.01857e-10,1.84088e-12
2.34763e+00,1.23469e-08,8.84466e-10,1.84066e-12
2.37370e+00,1.20768e-08,8.67365e-10,1.84043e-12
2.40005e+00,1.18132e-08,8.50553e-10,1.84023e-12
2.42670e+00,1.15550e-08,8.34026e-10,1.84005e-12
2.45365e+00,1.13024e-08,8.17780e-10,1.83987e-12
2.48090e+00,1.10555e-08,8.01813e-10,1.83970e-12
2.50844e+00,1.08139e-08,7.86120e-10,1.83955e-12
2.53630e+00,1.05777e-08,7.70700e-10,1.83942e-12
2.56446e+00,1.03466e-08,7.55547e-10,1.83929e-12
2.59294e+00,1.01205e-08,7.40660e-10,1.83918e-12
2.62173e+00,9.89935e-09,7.26034e-10,1.83908e-12
2.65084e+00,9.68308e-09,7.11667e-10,1.83898e-12
2.68028e+00,9.47151e-09,6.97554e-10,1.83890e-12
2.71004e+00,9.26457e-09,6.83694e-10,1.83883e-12
2.74013e+00,9.06216e-09,6.70081e-10,1.83877e-12
2.77056e+00,8.86415e-09,6.56713e-10,1.83872e-12
2.80132e+00,8.67050e-09,6.43586e-10,1.83868e-12
2.83243e+00,8.48104e-09,6.30698e-10,1.83865e-12
2.86388e+00,8.29576e-09,6.18044e-10,1.83864e-12
2.89568e+00,8.11452e-09,6.05622e-10,1.83863e-12
2.92784e+00,7.93724e-09,5.93428e-10,1.83862e-12
2.96035e+00,7.76384e-09,5.81458e-10,1.83863e-12
2.99322e+00,7.59423e-09,5.69710e-10,1.83865e-12
3.02646e+00,7.42830e-09,5.58179e-10,1.83867e-12
3.06006e+00,7.26602e-09,5.46864e-10,1.83871e-12
3.09404e+00,7.10729e-09,5.35760e-10,1.83875e-12
3.12840e+00,6.95203e-09,5.24864e-10,1.83880e-12
3.16314e+00,6.80015e-09,5.14174e-10,1.83886e-12
3.19826e+00,6.65159e-09,5.03685e-10,1.83891e-12
3.23377e+00,6.50629e-09,4.93395e-10,1.83899e-12
3.26968e+00,6.36416e-09,4.83301e-10,1.83906e-12
3.30599e+00,6.22513e-09,4.73399e-10,1.83916e-12
3.34270e+00,6.08915e-09,4.63686e-10,1.83925e-12
3.37982e+00,5.95614e-09,4.54160e-10,1.83935e-12
3.41735e+00,5.82602e-09,4.44816e-10,1.83945e-12
3.45529e+00,5.69876e-09,4.35653e-10,1.83957e-12
3.49366e+00,5.57428e-09,4.26667e-10,1.83969e-12
3.53246e+00,5.45252e-09,4.17855e-10,1.83980e-12
3.57168e+00,5.33341e-09,4.09215e-10,1.83993e-12
3.61134e+00,5.21691e-09,4.00743e-10,1.84007e-12
3.65144e+00,5.10296e-09,3.92436e-10,1.84021e-12
3.69199e+00,4.99150e-09,3.84292e-10,1.84036e-12
3.73298e+00,4.88247e-09,3.76308e-10,1.84050e-12
3.77444e+00,4.77582e-09,3.68481e-10,1.84065e-12
3.81635e+00,4.67151e-09,3.60809e-10,1.84081e-12
3.85873e+00,4.56947e-09,3.53288e-10,1.84097e-12
3.90157e+00,4.46966e-09,3.45916e-10,1.84114e-12
3.94490e+00,4.37204e-09,3.38690e-10,1.84131e-12
3.98870e+00,4.27655e-09,3.31609e-10,1.84147e-12
4.03299e+00,4.18314e-09,3.24668e-10,1.84164e-12
4.07778e+00,4.09178e-09,3.17866e-10,1.84182e-12
4.12306e+00,4.00241e-09,3.11200e-10,1.84200e-12
4.16884e+00,3.91500e-09,3.04668e-10,1.84218e-12
4.21513e+00,3.82949e-09,2.98267e-10,1.84235e-12
4.26193e+00,3.74585e-09,2.91995e-10,1.84253e-12
4.30926e+00,3.66405e-09,2.85849e-10,1.84271e-12
4.35711e+00,3.58402e-09,2.79828e-10,1.84289e-12
4.40549e+00,3.50575e-09,2.73928e-10,1.84307e-12
4.45441e+00,3.42919e-09,2.68148e-10,1.84325e-12
4.50387e+00,3.35430e-09,2.62485e-10,1.84343e-12
4.55389e+00,3.28105e-09,2.56937e-10,1.84360e-12
4.60445e+00,3.20939e-09,2.51503e-10,1.84377e-12
4.65558e+00,3.13931e-09,2.46179e-10,1.84392e-12
4.70728e+00,3.07075e-09,2.40964e-10,1.84410e-12
4.75955e+00,3.00369e-09,2.35856e-10,1.84426e-12
4.81240e+00,2.93810e-09,2.30852e-10,1.84441e-12
4.86583e+00,2.87394e-09,2.25951e-10,1.84457e-12
4.91987e+00,2.81118e-09,2.21151e-10,1.84470e-12
4.97450e+00,2.74980e-09,2.16449e-10,1.84484e-12
5.02973e+00,2.68975e-09,2.11844e-10,1.84496e-12
5.08558e+00,2.63102e-09,2.07334e-10,1.84508e-12
5.14206e+00,2.57357e-09,2.02918e-10,1.84519e-12
5.19915e+00,2.51737e-09,1.98593e-10,1.84529e-12
5.25689e+00,2.46241e-09,1.94357e-10,1.84536e-12
5.31526e+00,2.40864e-09,1.90209e-10,1.84543e-12
5.37428e+00,2.35605e-09,1.86147e-10,1.84551e-12
5.43396e+00,2.30461e-09,1.82170e-10,1.84555e-12
5.49430e+00,2.25429e-09,1.78275e-10,1.84558e-12
5.55531e+00,2.20507e-09,1.74461e-10,1.84559e-12
5.61699e+00,2.15693e-09,1.70727e-10,1.84558e-12
5.67936e+00,2.10984e-09,1.67071e-10,1.84557e-12
5.74243e+00,2.06378e-09,1.63491e-10,1.84553e-12
5.80619e+00,2.01872e-09,1.59986e-10,1.84545e-12
5.87067e+00,1.97465e-09,1.56555e-10,1.84537e-12
5.93585e+00,1.93154e-09,1.53195e-10,1.84526e-12
6.00177e+00,1.88937e-09,1.49906e-10,1.84513e-12
6.06841e+00,1.84813e-09,1.46685e-10,1.84498e-12
6.13579e+00,1.80779e-09,1.43533e-10,1.84478e-12
6.20393e+00,1.76832e-09,1.40446e-10,1.84457e-12
6.27282e+00,1.72972e-09,1.37425e-10,1.84432e-12
6.34247e+00,1.69197e-09,1.34467e-10,1.84404e-12
6.41290e+00,1.65504e-09,1.31572e-10,1.84374e-12
6.48411e+00,1.61891e-09,1.28738e-10,1.84340e-12
6.55611e+00,1.58358e-09,1.25963e-10,1.84301e-12
6.62891e+00,1.54901e-09,1.23247e-10,1.84259e-12
6.70252e+00,1.51520e-09,1.20589e-10,1.84213e-12
6.77694e+00,1.48214e-09,1.17987e-10,1.84163e-12
6.85219e+00,1.44979e-09,1.15440e-10,1.84110e-12
6.92828e+00,1.41815e-09,1.12947e-10,1.84052e-12
7.00521e+00,1.38720e-09,1.10507e-10,1.83989e-12
7.08300e+00,1.35693e-09,1.08118e-10,1.83922e-12
7.16165e+00,1.32732e-09,1.05781e-10,1.83850e-12
7.24117e+00,1.29835e-09,1.03493e-10,1.83772e-12
7.32158e+00,1.27002e-09,1.01254e-10,1.83691e-12
7.40288e+00,1.24231e-09,9.90619e-11,1.83603e-12
7.48508e+00,1.21521e-09,9.69170e-11,1.83510e-12
7.56820e+00,1.18869e-09,9.48178e-11,1.83413e-12
7.65224e+00,1.16276e-09,9.27634e-11,1.83308e-12
7.73721e+00,1.13739e-09,9.07528e-11,1.83200e-12
7.82312e+00,1.11258e-09,8.87851e-11,1.83084e-12
7.90999e+00,1.08831e-09,8.68594e-11,1.82963e-12
7.99783e+00,1.06457e-09,8.49750e-11,1.82837e-12
8.08663e+00,1.04135e-09,8.31308e-11,1.82704e-12
8.17643e+00,1.01863e-09,8.13261e-11,1.82565e-12
8.26722e+00,9.96417e-10,7.95601e-11,1.82420e-12
8.35902e+00,9.74685e-10,7.78319e-11,1.82268e-12
8.45184e+00,9.53428e-10,7.61407e-11,1.82111e-12
8.54569e+00,9.32636e-10,7.44859e-11,1.81946e-12
8.64058e+00,9.12299e-10,7.28665e-11,1.81776e-12
8.73653e+00,8.92406e-10,7.12819e-11,1.81599e-12
8.83354e+00,8.72948e-10,6.97314e-11,1.81417e-12
8.93163e+00,8.53915e-10,6.82142e-11,1.81227e-12
9.03081e+00,8.35299e-10,6.67296e-11,1.81032e-12
9.13109e+00,8.17089e-10,6.52770e-11,1.80831e-12
9.23248e+00,7.99277e-10,6.38556e-11,1.80623e-12
9.33500e+00,7.81855e-10,6.24649e-11,1.80409e-12
9.43866e+00,7.64814e-10,6.11042e-11,1.80189e-12
9.54346e+00,7.48146e-10,5.97727e-11,1.79963e-12
9.64944e+00,7.31842e-10,5.84700e-11,1.79731e-12
9.75658e+00,7.15894e-10,5.71955e-11,1.79494e-12
9.86492e+00,7.00295e-10,5.59484e-11,1.79251e-12
9.97446e+00,6.85038e-10,5.47283e-11,1.79002e-12
1.00852e+01,6.70114e-10,5.35346e-11,1.78748e-12
1.01972e+01,6.55516e-10,5.23667e-11,1.78489e-12
1.03104e+01,6.41238e-10,5.12240e-11,1.78225e-12
1.04249e+01,6.27272e-10,5.01061e-11,1.77955e-12
1.05407e+01,6.13612e-10,4.90124e-11,1.77681e-12
1.06577e+01,6.00250e-10,4.79424e-11,1.77402e-12
1.07761e+01,5.87181e-10,4.68956e-11,1.77119e-12
1.08957e+01,5.74398e-10,4.58715e-11,1.76831e-12
1.10167e+01,5.61894e-10,4.48696e-11,1.76539e-12
1.11391e+01,5.49664e-10,4.38894e-11,1.76242e-12
1.12627e+01,5.37702e-10,4.29306e-11,1.75942e-12
1.13878e+01,5.26002e-10,4.19926e-11,1.75637e-12
1.15143e+01,5.14557e-10,4.10750e-11,1.75329e-12
1.16421e+01,5.03363e-10,4.01773e-11,1.75017e-12
1.17714e+01,4.92415e-10,3.92992e-11,1.74702e-12
1.19021e+01,4.81706e-10,3.84402e-11,1.74383e-12
1.20343e+01,4.71231e-10,3.75999e-11,1.74060e-12
1.21679e+01,4.60986e-10,3.67779e-11,1.73735e-12
1.23030e+01,4.50965e-10,3.59738e-11,1.73406e-12
1.24396e+01,4.41164e-10,3.51873e-11,1.73073e-12
1.25778e+01,4.31577e-10,3.44180e-11,1.72738e-12
1.27174e+01,4.22201e-10,3.36654e-11,1.72399e-12
1.28586e+01,4.13030e-10,3.29293e-11,1.72057e-12
1.30014e+01,4.04059e-10,3.22093e-11,1.71712e-12
1.31458e+01,3.95286e-10,3.15051e-11,1.71364e-12
1.32918e+01,3.86705e-10,3.08163e-11,1.71013e-12
1.34394e+01,3.78312e-10,3.01426e-11,1.70659e-12
1.35886e+01,3.70103e-10,2.94836e-11,1.70302e-12
1.37395e+01,3.62074e-10,2.88391e-11,1.69942e-12
1.38920e+01,3.54221e-10,2.82088e-11,1.69579e-12
1.40463e+01,3.46541e-10,2.75923e-11,1.69213e-12
1.42023e+01,3.39029e-10,2.69893e-11,1.68844e-12
1.43600e+01,3.31682e-10,2.63997e-11,1.68472e-12
1.45194e+01,3.24497e-10,2.58230e-11,1.68097e-12
1.46807e+01,3.17469e-10,2.52590e-11,1.67719e-12
1.48437e+01,3.10595e-10,2.47075e-11,1.67339e-12
1.50085e+01,3.03873e-10,2.41681e-11,1.66955e-12
1.51752e+01,2.97298e-10,2.36407e-11,1.66569e-12
1.53437e+01,2.90868e-10,2.31249e-11,1.66180e-12
1.55140e+01,2.84579e-10,2.26206e-11,1.65788e-12
1.56863e+01,2.78429e-10,2.21274e-11,1.65395e-12
1.58605e+01,2.72414e-10,2.16452e-11,1.64998e-12
1.60366e+01,2.66531e-10,2.11737e-11,1.64600e-12
1.62147e+01,2.60778e-10,2.07127e-11,1.64199e-12
1.63947e+01,2.55151e-10,2.02620e-11,1.63797e-12
1.65768e+01,2.49649e-10,1.98213e-11,1.63393e-12
1.67608e+01,2.44268e-10,1.93904e-11,1.62987e-12
1.69470e+01,2.39005e-10,1.89692e-11,1.62581e-12
1.71351e+01,2.33859e-10,1.85574e-11,1.62173e-12
1.73254e+01,2.28826e-10,1.81549e-11,1.61765e-12
1.75178e+01,2.23904e-10,1.77614e-11,1.61357e-12
1.77123e+01,2.19092e-10,1.73767e-11,1.60948e-12
1.79090e+01,2.14385e-10,1.70007e-11,1.60541e-12
1.81079e+01,2.09783e-10,1.66332e-11,1.60134e-12
1.83089e+01,2.05282e-10,1.62740e-11,1.59729e-12
1.85122e+01,2.00881e-10,1.59230e-11,1.59326e-12
1.87178e+01,1.96578e-10,1.55799e-11,1.58925e-12
1.89256e+01,1.92369e-10,1.52446e-11,1.58528e-12
1.91358e+01,1.88255e-10,1.49169e-11,1.58134e-12
1.93483e+01,1.84231e-10,1.45968e-11,1.57744e-12
1.95631e+01,1.80297e-10,1.42839e-11,1.57360e-12
1.97804e+01,1.76451e-10,1.39783e-11,1.56982e-12
2.00000e+01,1.72690e-10,1.36797e-11,1.56610e-12
2.02221e+01,1.69013e-10,1.33879e-11,1.56246e-12
2.04466e+01,1.65417e-10,1.31029e-11,1.55890e-12
2.06737e+01,1.61902e-10,1.28245e-11,1.55544e-12
2.09032e+01,1.58466e-10,1.25526e-11,1.55208e-12
2.11353e+01,1.55106e-10,1.22870e-11,1.54883e-12
2.13700e+01,1.51821e-10,1.20276e-11,1.54572e-12
2.16073e+01,1.48610e-10,1.17743e-11,1.54273e-12
2.18473e+01,1.45471e-10,1.15270e-11,1.53990e-12
2.20899e+01,1.42402e-10,1.12855e-11,1.53723e-12
2.23351e+01,1.39402e-10,1.10498e-11,1.53473e-12
2.25832e+01,1.36470e-10,1.08196e-11,1.53242e-12
2.28339e+01,1.33604e-10,1.05949e-11,1.53031e-12
2.30875e+01,1.30802e-10,1.03756e-11,1.52842e-12
2.33438e+01,1.28064e-10,1.01616e-11,1.52675e-12
2.36031e+01,1.25388e-10,9.95277e-12,1.52533e-12
2.38651e+01,1.22772e-10,9.74899e-12,1.52417e-12
2.41301e+01,1.20215e-10,9.55018e-12,1.52329e-12
2.43981e+01,1.17717e-10,9.35623e-12,1.52269e-12
2.46690e+01,1.15276e-10,9.16706e-12,1.52240e-12
2.49429e+01,1.12890e-10,8.98256e-12,1.52244e-12
2.52199e+01,1.10558e-10,8.80264e-12,1.52281e-12
2.55000e+01,1.08280e-10,8.62722e-12,1.52354e-12
2.57831e+01,1.06055e-10,8.45620e-12,1.52463e-12
2.60694e+01,1.03880e-10,8.28950e-12,1.52611e-12
2.63589e+01,1.01755e-10,8.12703e-12,1.52800e-12
2.66516e+01,9.96796e-11,7.96871e-12,1.53029e-12
2.69475e+01,9.76519e-11,7.81445e-12,1.53303e-12
2.72467e+01,9.56712e-11,7.66419e-12,1.53621e-12
2.75493e+01,9.37365e-11,7.51784e-12,1.53986e-12
2.78552e+01,9.18468e-11,7.37532e-12,1.54399e-12
