freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
1.26491e+00,5.66597e+13,4.96875e+12,7.96336e+09
1.27896e+00,5.66597e+13,5.00285e+12,8.12340e+09
1.29316e+00,5.66597e+13,5.03667e+12,8.28702e+09
1.30752e+00,5.66597e+13,5.07019e+12,8.45429e+09
1.32204e+00,5.66597e+13,5.10343e+12,8.62530e+09
1.33672e+00,5.66597e+13,5.13636e+12,8.80012e+09
1.35156e+00,5.66597e+13,5.16900e+12,8.97886e+09
1.36657e+00,5.66597e+13,5.20132e+12,9.16159e+09
1.38174e+00,5.66597e+13,5.23334e+12,9.34840e+09
1.39709e+00,5.66597e+13,5.26505e+12,9.53938e+09
1.41260e+00,5.66597e+13,5.29644e+12,9.73464e+09
1.42828e+00,5.66597e+13,5.32751e+12,9.93425e+09
1.44414e+00,5.66597e+13,5.35826e+12,1.01383e+10
1.46018e+00,5.66597e+13,5.38869e+12,1.03470e+10
1.47639e+00,5.66597e+13,5.41879e+12,1.05603e+10
1.49279e+00,5.66597e+13,5.44856e+12,1.07783e+10
1.50936e+00,5.66597e+13,5.47800e+12,1.10012e+10
1.52612e+00,5.66597e+13,5.50712e+12,1.12292e+10
1.54307e+00,5.66597e+13,5.53589e+12,1.14622e+10
1.56021e+00,5.66597e+13,5.56434e+12,1.17004e+10
1.57753e+00,5.66597e+13,5.59245e+12,1.19439e+10
1.59505e+00,5.66596e+13,5.62023e+12,1.21929e+10
1.61276e+00,5.66596e+13,5.64766e+12,1.24474e+10
1.63067e+00,5.66596e+13,5.67477e+12,1.27076e+10
1.64877e+00,5.66596e+13,5.70153e+12,1.29737e+10
1.66708e+00,5.66596e+13,5.72796e+12,1.32457e+10
1.68559e+00,5.66596e+13,5.75405e+12,1.35237e+10
1.70431e+00,5.66596e+13,5.77980e+12,1.38080e+10
1.72324e+00,5.66596e+13,5.80521e+12,1.40986e+10
1.74237e+00,5.66596e+13,5.83029e+12,1.43957e+10
1.76172e+00,5.66596e+13,5.85504e+12,1.46995e+10
1.78128e+00,5.66596e+13,5.87944e+12,1.50100e+10
1.80106e+00,5.66596e+13,5.90352e+12,1.53275e+10
1.82106e+00,5.66596e+13,5.92726e+12,1.56520e+10
1.84128e+00,5.66596e+13,5.95067e+12,1.59838e+10
1.86173e+00,5.66595e+13,5.97375e+12,1.63231e+10
1.88240e+00,5.66595e+13,5.99650e+12,1.66699e+10
1.90330e+00,5.66595e+13,6.01892e+12,1.70244e+10
1.92444e+00,5.66595e+13,6.04102e+12,1.73869e+10
1.94580e+00,5.66595e+13,6.06279e+12,1.77575e+10
1.96741e+00,5.66595e+13,6.08424e+12,1.81364e+10
1.98926e+00,5.66595e+13,6.10537e+12,1.85237e+10
2.01135e+00,5.66595e+13,6.12618e+12,1.89197e+10
2.03368e+00,5.66595e+13,6.14668e+12,1.93245e+10
2.05626e+00,5.66595e+13,6.16686e+12,1.97384e+10
2.07910e+00,5.66595e+13,6.18673e+12,2.01615e+10
2.10218e+00,5.66594e+13,6.20629e+12,2.05940e+10
2.12553e+00,5.66594e+13,6.22555e+12,2.10363e+10
2.14913e+00,5.66594e+13,6.24450e+12,2.14884e+10
2.17299e+00,5.66594e+13,6.26315e+12,2.19506e+10
2.19712e+00,5.66594e+13,6.28150e+12,2.24232e+10
2.22152e+00,5.66594e+13,6.29956e+12,2.29063e+10
2.24619e+00,5.66594e+13,6.31732e+12,2.34002e+10
2.27113e+00,5.66594e+13,6.33479e+12,2.39051e+10
2.29635e+00,5.66593e+13,6.35198e+12,2.44213e+10
2.32185e+00,5.66593e+13,6.36888e+12,2.49491e+10
2.34763e+00,5.66593e+13,6.38550e+12,2.54886e+10
2.37370e+00,5.66593e+13,6.40184e+12,2.60402e+10
2.40005e+00,5.66593e+13,6.41791e+12,2.66041e+10
2.42670e+00,5.66593e+13,6.43370e+12,2.71807e+10
2.45365e+00,5.66593e+13,6.44923e+12,2.77701e+10
2.48090e+00,5.66593e+13,6.46448e+12,2.83727e+10
2.50844e+00,5.66592e+13,6.47948e+12,2.89887e+10
2.53630e+00,5.66592e+13,6.49422e+12,2.96185e+10
2.56446e+00,5.66592e+13,6.50870e+12,3.02624e+10
2.59294e+00,5.66592e+13,6.52292e+12,3.09207e+10
2.62173e+00,5.66592e+13,6.53690e+12,3.15937e+10
2.65084e+00,5.66592e+13,6.55063e+12,3.22817e+10
2.68028e+00,5.66591e+13,6.56411e+12,3.29851e+10
2.71004e+00,5.66591e+13,6.57736e+12,3.37042e+10
2.74013e+00,5.66591e+13,6.59037e+12,3.44394e+10
2.77056e+00,5.66591e+13,6.60314e+12,3.51911e+10
2.80132e+00,5.66591e+13,6.61569e+12,3.59595e+10
2.83243e+00,5.66591e+13,6.62800e+12,3.67451e+10
2.86388e+00,5.66590e+13,6.64009e+12,3.75483e+10
2.89568e+00,5.66590e+13,6.65196e+12,3.83694e+10
2.92784e+00,5.66590e+13,6.66362e+12,3.92089e+10
2.96035e+00,5.66590e+13,6.67506e+12,4.00671e+10
2.99322e+00,5.66590e+13,6.68628e+12,4.09445e+10
3.02646e+00,5.66589e+13,6.69730e+12,4.18415e+10
3.06006e+00,5.66589e+13,6.70811e+12,4.27586e+10
3.09404e+00,5.66589e+13,6.71872e+12,4.36962e+10
3.12840e+00,5.66589e+13,6.72913e+12,4.46547e+10
3.16314e+00,5.66588e+13,6.73935e+12,4.56347e+10
3.19826e+00,5.66588e+13,6.74937e+12,4.66366e+10
3.23377e+00,5.66588e+13,6.75920e+12,4.76608e+10
3.26968e+00,5.66588e+13,6.76885e+12,4.87080e+10
3.30599e+00,5.66587e+13,6.77831e+12,4.97786e+10
3.34270e+00,5.66587e+13,6.78759e+12,5.08731e+10
3.37982e+00,5.66587e+13,6.79670e+12,5.19921e+10
3.41735e+00,5.66587e+13,6.80562e+12,5.31361e+10
3.45529e+00,5.66586e+13,6.81438e+12,5.43057e+10
3.49366e+00,5.66586e+13,6.82297e+12,5.55014e+10
3.53246e+00,5.66586e+13,6.83139e+12,5.67239e+10
3.57168e+00,5.66585e+13,6.83964e+12,5.79737e+10
3.61134e+00,5.66585e+13,6.84774e+12,5.92515e+10
3.65144e+00,5.66585e+13,6.85568e+12,6.05578e+10
3.69199e+00,5.66584e+13,6.86346e+12,6.18933e+10
3.73298e+00,5.66584e+13,6.87109e+12,6.32587e+10
3.77444e+00,5.66584e+13,6.87856e+12,6.46547e+10
3.81635e+00,5.66583e+13,6.88590e+12,6.60818e+10
3.85873e+00,5.66583e+13,6.89308e+12,6.75409e+10
3.90157e+00,5.66583e+13,6.90013e+12,6.90326e+10
3.94490e+00,5.66582e+13,6.90703e+12,7.05577e+10
3.98870e+00,5.66582e+13,6.91380e+12,7.21169e+10
4.03299e+00,5.66582e+13,6.92043e+12,7.37109e+10
4.07778e+00,5.66581e+13,6.92693e+12,7.53407e+10
4.12306e+00,5.66581e+13,6.93330e+12,7.70068e+10
4.16884e+00,5.66580e+13,6.93954e+12,7.87103e+10
4.21513e+00,5.66580e+13,6.94565e+12,8.04518e+10
4.26193e+00,5.66580e+13,6.95165e+12,8.22324e+10
4.30926e+00,5.66579e+13,6.95752e+12,8.40527e+10
4.35711e+00,5.66579e+13,6.96327e+12,8.59138e+10
4.40549e+00,5.66578e+13,6.96891e+12,8.78165e+10
4.45441e+00,5.66578e+13,6.97443e+12,8.97618e+10
4.50387e+00,5.66577e+13,6.97984e+12,9.17506e+10
4.55389e+00,5.66577e+13,6.98514e+12,9.37840e+10
4.60445e+00,5.66576e+13,6.99033e+12,9.58628e+10
4.65558e+00,5.66576e+13,6.99542e+12,9.79882e+10
4.70728e+00,5.66575e+13,7.00040e+12,1.00161e+11
4.75955e+00,5.66575e+13,7.00528e+12,1.02383e+11
4.81240e+00,5.66574e+13,7.01006e+12,1.04654e+11
4.86583e+00,5.66574e+13,7.01475e+12,1.06976e+11
4.91987e+00,5.66573e+13,7.01933e+12,1.09350e+11
4.97450e+00,5.66572e+13,7.02382e+12,1.11777e+11
5.02973e+00,5.66572e+13,7.02822e+12,1.14259e+11
5.08558e+00,5.66571e+13,7.03253e+12,1.16796e+11
5.14206e+00,5.66571e+13,7.03675e+12,1.19390e+11
5.19915e+00,5.66570e+13,7.04088e+12,1.22042e+11
5.25689e+00,5.66569e+13,7.04493e+12,1.24753e+11
5.31526e+00,5.66569e+13,7.04889e+12,1.27526e+11
5.37428e+00,5.66568e+13,7.05277e+12,1.30360e+11
5.43396e+00,5.66567e+13,7.05657e+12,1.33257e+11
5.49430e+00,5.66567e+13,7.06029e+12,1.36220e+11
5.55531e+00,5.66566e+13,7.06393e+12,1.39249e+11
5.61699e+00,5.66565e+13,7.06750e+12,1.42346e+11
5.67936e+00,5.66564e+13,7.07099e+12,1.45512e+11
5.74243e+00,5.66564e+13,7.07441e+12,1.48749e+11
5.80619e+00,5.66563e+13,7.07776e+12,1.52058e+11
5.87067e+00,5.66562e+13,7.08104e+12,1.55442e+11
5.93585e+00,5.66561e+13,7.08425e+12,1.58901e+11
6.00177e+00,5.66560e+13,7.08739e+12,1.62439e+11
6.06841e+00,5.66559e+13,7.09047e+12,1.66055e+11
6.13579e+00,5.66559e+13,7.09348e+12,1.69752e+11
6.20393e+00,5.66558e+13,7.09642e+12,1.73532e+11
6.27282e+00,5.66557e+13,7.09931e+12,1.77397e+11
6.34247e+00,5.66556e+13,7.10213e+12,1.81349e+11
6.41290e+00,5.66555e+13,7.10490e+12,1.85389e+11
6.48411e+00,5.66554e+13,7.10761e+12,1.89520e+11
6.55611e+00,5.66553e+13,7.11026e+12,1.93743e+11
6.62891e+00,5.66552e+13,7.11285e+12,1.98061e+11
6.70252e+00,5.66551e+13,7.11539e+12,2.02476e+11
6.77694e+00,5.66550e+13,7.11787e+12,2.06990e+11
6.85219e+00,5.66549e+13,7.12031e+12,2.11605e+11
6.92828e+00,5.66547e+13,7.12269e+12,2.16323e+11
7.00521e+00,5.66546e+13,7.12502e+12,2.21148e+11
7.08300e+00,5.66545e+13,7.12730e+12,2.26080e+11
7.16165e+00,5.66544e+13,7.12953e+12,2.31124e+11
7.24117e+00,5.66543e+13,7.13171e+12,2.36280e+11
7.32158e+00,5.66541e+13,7.13385e+12,2.41552e+11
7.40288e+00,5.66540e+13,7.13594e+12,2.46943e+11
7.48508e+00,5.66539e+13,7.13799e+12,2.52454e+11
