freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
1.26491e+00,4.25988e-08,4.50524e-08,1.30722e-11
1.27896e+00,4.16434e-08,4.17837e-08,1.24353e-11
1.29316e+00,4.07399e-08,3.82061e-08,1.20196e-11
1.30752e+00,3.98297e-08,3.53317e-08,1.16297e-11
1.32204e+00,3.89542e-08,3.26608e-08,1.12865e-11
1.33672e+00,3.81195e-08,2.99637e-08,1.09358e-11
1.35156e+00,3.72893e-08,2.77632e-08,1.05392e-11
1.36657e+00,3.64718e-08,2.56613e-08,1.03522e-11
1.38174e+00,3.56675e-08,2.38693e-08,1.00876e-11
1.39709e+00,3.49028e-08,2.20661e-08,9.98081e-12
1.41260e+00,3.41270e-08,2.03535e-08,9.79969e-12
1.42828e+00,3.33927e-08,1.88342e-08,9.67232e-12
1.44414e+00,3.26495e-08,1.75160e-08,9.47456e-12
1.46018e+00,3.19311e-08,1.62096e-08,9.36558e-12
1.47639e+00,3.12326e-08,1.49785e-08,9.26352e-12
1.49279e+00,3.05555e-08,1.40064e-08,9.22713e-12
1.50936e+00,2.98876e-08,1.29469e-08,9.12162e-12
1.52612e+00,2.92322e-08,1.20190e-08,9.09247e-12
1.54307e+00,2.85979e-08,1.11650e-08,9.03152e-12
1.56021e+00,2.79689e-08,1.04066e-08,9.04986e-12
1.57753e+00,2.73601e-08,9.71628e-09,9.02085e-12
1.59505e+00,2.67610e-08,9.07176e-09,9.05392e-12
1.61276e+00,2.61751e-08,8.39233e-09,9.14253e-12
1.63067e+00,2.56005e-08,7.87557e-09,9.17295e-12
1.64877e+00,2.50426e-08,7.34505e-09,9.24786e-12
1.66708e+00,2.44943e-08,6.84754e-09,9.33034e-12
1.68559e+00,2.39577e-08,6.39882e-09,9.41495e-12
1.70431e+00,2.34364e-08,6.00661e-09,9.57259e-12
1.72324e+00,2.29242e-08,5.62927e-09,9.71476e-12
1.74237e+00,2.24218e-08,5.27987e-09,9.87163e-12
1.76172e+00,2.19326e-08,4.96111e-09,1.01250e-11
1.78128e+00,2.14524e-08,4.65735e-09,1.03767e-11
1.80106e+00,2.09833e-08,4.37470e-09,1.06259e-11
1.82106e+00,2.05249e-08,4.11366e-09,1.09416e-11
1.84128e+00,2.00778e-08,3.88183e-09,1.13828e-11
1.86173e+00,1.96375e-08,3.64909e-09,1.17980e-11
1.88240e+00,1.92081e-08,3.44887e-09,1.22904e-11
1.90330e+00,1.87893e-08,3.26241e-09,1.29161e-11
1.92444e+00,1.83773e-08,3.08581e-09,1.35987e-11
1.94580e+00,1.79760e-08,2.92341e-09,1.43934e-11
1.96741e+00,1.75835e-08,2.77734e-09,1.54507e-11
1.98926e+00,1.71988e-08,2.63184e-09,1.67740e-11
2.01135e+00,1.68223e-08,2.50379e-09,1.83897e-11
2.03368e+00,1.64551e-08,2.38398e-09,2.04035e-11
2.05626e+00,1.60955e-08,2.27111e-09,2.30400e-11
2.07910e+00,1.57438e-08,2.16807e-09,2.67174e-11
2.10218e+00,1.53994e-08,2.07290e-09,3.19596e-11
2.12553e+00,1.50633e-08,1.98177e-09,4.00272e-11
2.14913e+00,1.47341e-08,1.89553e-09,5.36447e-11
2.17299e+00,1.44120e-08,1.81802e-09,7.64148e-11
2.19712e+00,1.40971e-08,1.74445e-09,9.57032e-11
2.22152e+00,1.37890e-08,1.67542e-09,7.52973e-11
2.24619e+00,1.34878e-08,1.61140e-09,5.05876e-11
2.27113e+00,1.31928e-08,1.55146e-09,3.59624e-11
2.29635e+00,1.29047e-08,1.49411e-09,2.72080e-11
2.32185e+00,1.26226e-08,1.44108e-09,2.17154e-11
2.34763e+00,1.23469e-08,1.39003e-09,1.78551e-11
2.37370e+00,1.20768e-08,1.34278e-09,1.50110e-11
2.40005e+00,1.18132e-08,1.29805e-09,1.29321e-11
2.42670e+00,1.15550e-08,1.25576e-09,1.12333e-11
2.45365e+00,1.13024e-08,1.21526e-09,9.92872e-12
2.48090e+00,1.10555e-08,1.17703e-09,8.84587e-12
2.50844e+00,1.08139e-08,1.14103e-09,7.92663e-12
2.53630e+00,1.05777e-08,1.10646e-09,7.16997e-12
2.56446e+00,1.03466e-08,1.07344e-09,6.50577e-12
2.59294e+00,1.01205e-08,1.04189e-09,5.98212e-12
2.62173e+00,9.89935e-09,1.01196e-09,5.48688e-12
2.65084e+00,9.68308e-09,9.83230e-10,5.06310e-12
2.68028e+00,9.47151e-09,9.55677e-10,4.68000e-12
2.71004e+00,9.26457e-09,9.29208e-10,4.35017e-12
2.74013e+00,9.06216e-09,9.03850e-10,4.05206e-12
2.77056e+00,8.86415e-09,8.79345e-10,3.77562e-12
2.80132e+00,8.67050e-09,8.55806e-10,3.54083e-12
2.83243e+00,8.48104e-09,8.33136e-10,3.31263e-12
2.86388e+00,8.29576e-09,8.11345e-10,3.11552e-12
2.89568e+00,8.11452e-09,7.90222e-10,2.93686e-12
2.92784e+00,7.93724e-09,7.69865e-10,2.76728e-12
2.96035e+00,7.76384e-09,7.50173e-10,2.62248e-12
2.99322e+00,7.59423e-09,7.31123e-10,2.48097e-12
3.02646e+00,7.42830e-09,7.12669e-10,2.35037e-12
3.06006e+00,7.26602e-09,6.94813e-10,2.22351e-12
3.09404e+00,7.10729e-09,6.77525e-10,2.12237e-12
3.12840e+00,6.95203e-09,6.60749e-10,2.01001e-12
3.16314e+00,6.80015e-09,6.44474e-10,1.92162e-12
3.19826e+00,6.65159e-09,6.28660e-10,1.83354e-12
3.23377e+00,6.50629e-09,6.13309e-10,1.74996e-12
3.26968e+00,6.36416e-09,5.98390e-10,1.67171e-12
3.30599e+00,6.22513e-09,5.83917e-10,1.60127e-12
3.34270e+00,6.08915e-09,5.69828e-10,1.53510e-12
3.37982e+00,5.95614e-09,5.56136e-10,1.47394e-12
3.41735e+00,5.82602e-09,5.42817e-10,1.41101e-12
3.45529e+00,5.69876e-09,5.29866e-10,1.35616e-12
3.49366e+00,5.57428e-09,5.17245e-10,1.30746e-12
3.53246e+00,5.45252e-09,5.04963e-10,1.25596e-12
3.57168e+00,5.33341e-09,4.93005e-10,1.21163e-12
3.61134e+00,5.21691e-09,4.81365e-10,1.16696e-12
3.65144e+00,5.10296e-09,4.70018e-10,1.12717e-12
3.69199e+00,4.99150e-09,4.58971e-10,1.09141e-12
3.73298e+00,4.88247e-09,4.48198e-10,1.05530e-12
3.77444e+00,4.77582e-09,4.37709e-10,1.02085e-12
3.81635e+00,4.67151e-09,4.27482e-10,9.90897e-13
3.85873e+00,4.56947e-09,4.17509e-10,9.61733e-13
3.90157e+00,4.46966e-09,4.07789e-10,9.32176e-13
3.94490e+00,4.37204e-09,3.98310e-10,9.05634e-13
3.98870e+00,4.27655e-09,3.89067e-10,8.79848e-13
4.03299e+00,4.18314e-09,3.80052e-10,8.56054e-13
4.07778e+00,4.09178e-09,3.71261e-10,8.35740e-13
4.12306e+00,4.00241e-09,3.62680e-10,8.14731e-13
4.16884e+00,3.91500e-09,3.54316e-10,7.94899e-13
4.21513e+00,3.82949e-09,3.46150e-10,7.76288e-13
4.26193e+00,3.74585e-09,3.38185e-10,7.58220e-13
4.30926e+00,3.66405e-09,3.30411e-10,7.42345e-13
4.35711e+00,3.58402e-09,3.22827e-10,7.26488e-13
4.40549e+00,3.50575e-09,3.15424e-10,7.11768e-13
4.45441e+00,3.42919e-09,3.08199e-10,6.97706e-13
4.50387e+00,3.35430e-09,3.01148e-10,6.85285e-13
4.55389e+00,3.28105e-09,2.94265e-10,6.72828e-13
4.60445e+00,3.20939e-09,2.87545e-10,6.61821e-13
4.65558e+00,3.13931e-09,2.80986e-10,6.50533e-13
4.70728e+00,3.07075e-09,2.74583e-10,6.40857e-13
4.75955e+00,3.00369e-09,2.68332e-10,6.31403e-13
4.81240e+00,2.93810e-09,2.62227e-10,6.22370e-13
4.86583e+00,2.87394e-09,2.56268e-10,6.14161e-13
4.91987e+00,2.81118e-09,2.50448e-10,6.06314e-13
4.97450e+00,2.74980e-09,2.44766e-10,5.98738e-13
5.02973e+00,2.68975e-09,2.39218e-10,5.92020e-13
5.08558e+00,2.63102e-09,2.33799e-10,5.85461e-13
5.14206e+00,2.57357e-09,2.28507e-10,5.79582e-13
5.19915e+00,2.51737e-09,2.23339e-10,5.73834e-13
5.25689e+00,2.46241e-09,2.18291e-10,5.68607e-13
5.31526e+00,2.40864e-09,2.13361e-10,5.63689e-13
5.37428e+00,2.35605e-09,2.08546e-10,5.59264e-13
5.43396e+00,2.30461e-09,2.03843e-10,5.54899e-13
5.49430e+00,2.25429e-09,1.99249e-10,5.50870e-13
5.55531e+00,2.20507e-09,1.94761e-10,5.47171e-13
5.61699e+00,2.15693e-09,1.90377e-10,5.43823e-13
5.67936e+00,2.10984e-09,1.86095e-10,5.40614e-13
5.74243e+00,2.06378e-09,1.81912e-10,5.37819e-13
5.80619e+00,2.01872e-09,1.77825e-10,5.35147e-13
5.87067e+00,1.97465e-09,1.73832e-10,5.32637e-13
5.93585e+00,1.93154e-09,1.69932e-10,5.30466e-13
6.00177e+00,1.88937e-09,1.66121e-10,5.28401e-13
6.06841e+00,1.84813e-09,1.62397e-10,5.26546e-13
6.13579e+00,1.80779e-09,1.58759e-10,5.24916e-13
6.20393e+00,1.76832e-09,1.55205e-10,5.23401e-13
6.27282e+00,1.72972e-09,1.51731e-10,5.22078e-13
6.34247e+00,1.69197e-09,1.48338e-10,5.20894e-13
6.41290e+00,1.65504e-09,1.45022e-10,5.19872e-13
6.48411e+00,1.61891e-09,1.41781e-10,5.19000e-13
6.55611e+00,1.58358e-09,1.38615e-10,5.18270e-13
6.62891e+00,1.54901e-09,1.35521e-10,5.17690e-13
6.70252e+00,1.51520e-09,1.32497e-10,5.17242e-13
6.77694e+00,1.48214e-09,1.29542e-10,5.16922e-13
6.85219e+00,1.44979e-09,1.26654e-10,5.16725e-13
6.92828e+00,1.41815e-09,1.23832e-10,5.16666e-13
7.00521e+00,1.38720e-09,1.21074e-10,5.16737e-13
7.08300e+00,1.35693e-09,1.18379e-10,5.16903e-13
7.16165e+00,1.32732e-09,1.15745e-10,5.17207e-13
7.24117e+00,1.29835e-09,1.13170e-10,5.17617e-13
7.32158e+00,1.27002e-09,1.10654e-10,5.18151e-13
7.40288e+00,1.24231e-09,1.08194e-10,5.18805e-13
7.48508e+00,1.21521e-09,1.05791e-10,5.19566e-13
7.56820e+00,1.18869e-09,1.03441e-10,5.20451e-13
7.65224e+00,1.16276e-09,1.01145e-10,5.21461e-13
7.73721e+00,1.13739e-09,9.89005e-11,5.22586e-13
7.82312e+00,1.11258e-09,9.67067e-11,5.23837e-13
7.90999e+00,1.08831e-09,9.45623e-11,5.25216e-13
7.99783e+00,1.06457e-09,9.24662e-11,5.26712e-13
8.08663e+00,1.04135e-09,9.04173e-11,5.28341e-13
8.17643e+00,1.01863e-09,8.84146e-11,5.30112e-13
8.26722e+00,9.96417e-10,8.64569e-11,5.32022e-13
8.35902e+00,9.74685e-10,8.45432e-11,5.34074e-13
