freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
5.77350e+00,5.66563e+13,4.90927e+12,1.43892e+12
5.78620e+00,5.66563e+13,4.91925e+12,1.44427e+12
5.79893e+00,5.66563e+13,4.92923e+12,1.44963e+12
5.81169e+00,5.66563e+13,4.93920e+12,1.45502e+12
5.82447e+00,5.66563e+13,4.94918e+12,1.46042e+12
5.83728e+00,5.66562e+13,4.95915e+12,1.46585e+12
5.85012e+00,5.66562e+13,4.96913e+12,1.47130e+12
5.86299e+00,5.66562e+13,4.97910e+12,1.47677e+12
5.87589e+00,5.66562e+13,4.98907e+12,1.48227e+12
5.88881e+00,5.66562e+13,4.99904e+12,1.48778e+12
5.90176e+00,5.66562e+13,5.00901e+12,1.49332e+12
5.91475e+00,5.66561e+13,5.01898e+12,1.49888e+12
5.92776e+00,5.66561e+13,5.02895e+12,1.50447e+12
5.94079e+00,5.66561e+13,5.03891e+12,1.51007e+12
5.95386e+00,5.66561e+13,5.04888e+12,1.51570e+12
5.96696e+00,5.66561e+13,5.05884e+12,1.52135e+12
5.98008e+00,5.66561e+13,5.06880e+12,1.52702e+12
5.99324e+00,5.66560e+13,5.07876e+12,1.53272e+12
6.00642e+00,5.66560e+13,5.08872e+12,1.53843e+12
6.01963e+00,5.66560e+13,5.09868e+12,1.54418e+12
6.03287e+00,5.66560e+13,5.10864e+12,1.54994e+12
6.04614e+00,5.66560e+13,5.11859e+12,1.55573e+12
6.05944e+00,5.66560e+13,5.12854e+12,1.56154e+12
6.07277e+00,5.66559e+13,5.13849e+12,1.56737e+12
6.08613e+00,5.66559e+13,5.14844e+12,1.57322e+12
6.09952e+00,5.66559e+13,5.15839e+12,1.57910e+12
6.11293e+00,5.66559e+13,5.16833e+12,1.58501e+12
6.12638e+00,5.66559e+13,5.17828e+12,1.59093e+12
6.13986e+00,5.66559e+13,5.18822e+12,1.59688e+12
6.15336e+00,5.66558e+13,5.19816e+12,1.60286e+12
6.16690e+00,5.66558e+13,5.20809e+12,1.60885e+12
6.18046e+00,5.66558e+13,5.21803e+12,1.61488e+12
6.19406e+00,5.66558e+13,5.22796e+12,1.62092e+12
6.20768e+00,5.66558e+13,5.23789e+12,1.62699e+12
6.22134e+00,5.66557e+13,5.24781e+12,1.63308e+12
6.23502e+00,5.66557e+13,5.25774e+12,1.63920e+12
6.24873e+00,5.66557e+13,5.26766e+12,1.64534e+12
6.26248e+00,5.66557e+13,5.27758e+12,1.65151e+12
6.27626e+00,5.66557e+13,5.28750e+12,1.65770e+12
6.29006e+00,5.66556e+13,5.29741e+12,1.66391e+12
6.30390e+00,5.66556e+13,5.30732e+12,1.67015e+12
6.31776e+00,5.66556e+13,5.31723e+12,1.67642e+12
6.33166e+00,5.66556e+13,5.32714e+12,1.68271e+12
6.34559e+00,5.66556e+13,5.33704e+12,1.68902e+12
6.35954e+00,5.66556e+13,5.34694e+12,1.69536e+12
6.37353e+00,5.66555e+13,5.35684e+12,1.70173e+12
6.38755e+00,5.66555e+13,5.36673e+12,1.70812e+12
6.40160e+00,5.66555e+13,5.37662e+12,1.71453e+12
6.41568e+00,5.66555e+13,5.38651e+12,1.72097e+12
6.42980e+00,5.66555e+13,5.39640e+12,1.72744e+12
6.44394e+00,5.66554e+13,5.40628e+12,1.73393e+12
6.45811e+00,5.66554e+13,5.41616e+12,1.74044e+12
6.47232e+00,5.66554e+13,5.42603e+12,1.74699e+12
6.48656e+00,5.66554e+13,5.43591e+12,1.75355e+12
6.50082e+00,5.66554e+13,5.44577e+12,1.76015e+12
6.51512e+00,5.66553e+13,5.45564e+12,1.76677e+12
6.52946e+00,5.66553e+13,5.46550e+12,1.77341e+12
6.54382e+00,5.66553e+13,5.47536e+12,1.78008e+12
6.55821e+00,5.66553e+13,5.48522e+12,1.78678e+12
6.57264e+00,5.66553e+13,5.49507e+12,1.79351e+12
6.58709e+00,5.66552e+13,5.50492e+12,1.80026e+12
6.60158e+00,5.66552e+13,5.51476e+12,1.80704e+12
6.61611e+00,5.66552e+13,5.52460e+12,1.81384e+12
6.63066e+00,5.66552e+13,5.53444e+12,1.82067e+12
6.64524e+00,5.66552e+13,5.54427e+12,1.82753e+12
6.65986e+00,5.66551e+13,5.55410e+12,1.83441e+12
6.67451e+00,5.66551e+13,5.56393e+12,1.84132e+12
6.68919e+00,5.66551e+13,5.57375e+12,1.84826e+12
6.70391e+00,5.66551e+13,5.58357e+12,1.85523e+12
6.71865e+00,5.66550e+13,5.59338e+12,1.86222e+12
6.73343e+00,5.66550e+13,5.60319e+12,1.86924e+12
6.74824e+00,5.66550e+13,5.61300e+12,1.87629e+12
6.76308e+00,5.66550e+13,5.62280e+12,1.88336e+12
6.77796e+00,5.66550e+13,5.63260e+12,1.89047e+12
6.79287e+00,5.66549e+13,5.64239e+12,1.89760e+12
6.80781e+00,5.66549e+13,5.65218e+12,1.90476e+12
6.82279e+00,5.66549e+13,5.66197e+12,1.91194e+12
