freq_aligo,strain_aligo,strain_baseline,strain_best
5.77350e+00,3.60354e-23,1.52891e-23,2.32437e-23
5.78620e+00,3.58775e-23,1.52016e-23,2.29895e-23
5.79893e+00,3.57203e-23,1.51145e-23,2.27384e-23
5.81169e+00,3.55637e-23,1.50277e-23,2.24896e-23
5.82447e+00,3.54079e-23,1.49414e-23,2.22436e-23
5.83728e+00,3.52527e-23,1.48555e-23,2.20012e-23
5.85012e+00,3.50983e-23,1.47700e-23,2.17612e-23
5.86299e+00,3.49445e-23,1.46849e-23,2.15231e-23
5.87589e+00,3.47913e-23,1.46002e-23,2.12888e-23
5.88881e+00,3.46389e-23,1.45158e-23,2.10568e-23
5.90176e+00,3.44871e-23,1.44319e-23,2.08278e-23
5.91475e+00,3.43360e-23,1.43484e-23,2.06013e-23
5.92776e+00,3.41855e-23,1.42652e-23,2.03762e-23
5.94079e+00,3.40357e-23,1.41824e-23,2.01556e-23
5.95386e+00,3.38866e-23,1.41000e-23,1.99349e-23
5.96696e+00,3.37381e-23,1.40180e-23,1.97197e-23
5.98008e+00,3.35903e-23,1.39364e-23,1.95049e-23
5.99324e+00,3.34431e-23,1.38552e-23,1.92927e-23
6.00642e+00,3.32965e-23,1.37743e-23,1.90835e-23
6.01963e+00,3.31506e-23,1.36939e-23,1.88772e-23
6.03287e+00,3.30054e-23,1.36137e-23,1.86722e-23
6.04614e+00,3.28608e-23,1.35340e-23,1.84695e-23
6.05944e+00,3.27168e-23,1.34547e-23,1.82697e-23
6.07277e+00,3.25734e-23,1.33757e-23,1.80716e-23
6.08613e+00,3.24307e-23,1.32971e-23,1.78763e-23
6.09952e+00,3.22886e-23,1.32188e-23,1.76824e-23
6.11293e+00,3.21471e-23,1.31409e-23,1.74914e-23
6.12638e+00,3.20063e-23,1.30634e-23,1.73028e-23
6.13986e+00,3.18660e-23,1.29863e-23,1.71159e-23
6.15336e+00,3.17264e-23,1.29095e-23,1.69313e-23
6.16690e+00,3.15874e-23,1.28331e-23,1.67490e-23
6.18046e+00,3.14490e-23,1.27570e-23,1.65684e-23
6.19406e+00,3.13112e-23,1.26813e-23,1.63896e-23
6.20768e+00,3.11740e-23,1.26059e-23,1.62133e-23
6.22134e+00,3.10374e-23,1.25309e-23,1.60387e-23
6.23502e+00,3.09014e-23,1.24563e-23,1.58662e-23
6.24873e+00,3.07660e-23,1.23820e-23,1.56959e-23
6.26248e+00,3.06312e-23,1.23081e-23,1.55270e-23
6.27626e+00,3.04970e-23,1.22345e-23,1.53603e-23
6.29006e+00,3.03634e-23,1.21613e-23,1.51956e-23
6.30390e+00,3.02304e-23,1.20884e-23,1.50327e-23
6.31776e+00,3.00979e-23,1.20158e-23,1.48710e-23
6.33166e+00,2.99661e-23,1.19436e-23,1.47118e-23
6.34559e+00,2.98348e-23,1.18718e-23,1.45542e-23
6.35954e+00,2.97041e-23,1.18003e-23,1.43987e-23
6.37353e+00,2.95739e-23,1.17291e-23,1.42448e-23
6.38755e+00,2.94444e-23,1.16583e-23,1.40922e-23
6.40160e+00,2.93154e-23,1.15878e-23,1.39417e-23
6.41568e+00,2.91869e-23,1.15176e-23,1.37930e-23
6.42980e+00,2.90590e-23,1.14478e-23,1.36462e-23
6.44394e+00,2.89317e-23,1.13783e-23,1.35005e-23
6.45811e+00,2.88050e-23,1.13091e-23,1.33567e-23
6.47232e+00,2.86788e-23,1.12403e-23,1.32142e-23
6.48656e+00,2.85531e-23,1.11718e-23,1.30736e-23
6.50082e+00,2.84281e-23,1.11037e-23,1.29347e-23
6.51512e+00,2.83035e-23,1.10358e-23,1.27972e-23
6.52946e+00,2.81795e-23,1.09683e-23,1.26612e-23
6.54382e+00,2.80561e-23,1.09011e-23,1.25269e-23
6.55821e+00,2.79331e-23,1.08342e-23,1.23939e-23
6.57264e+00,2.78108e-23,1.07677e-23,1.22627e-23
6.58709e+00,2.76889e-23,1.07015e-23,1.21325e-23
6.60158e+00,2.75676e-23,1.06356e-23,1.20044e-23
6.61611e+00,2.74469e-23,1.05700e-23,1.18773e-23
6.63066e+00,2.73266e-23,1.05047e-23,1.17518e-23
6.64524e+00,2.72069e-23,1.04398e-23,1.16278e-23
6.65986e+00,2.70877e-23,1.03752e-23,1.15050e-23
6.67451e+00,2.69691e-23,1.03108e-23,1.13835e-23
6.68919e+00,2.68509e-23,1.02468e-23,1.12635e-23
6.70391e+00,2.67333e-23,1.01832e-23,1.11449e-23
6.71865e+00,2.66162e-23,1.01198e-23,1.10276e-23
6.73343e+00,2.64996e-23,1.00567e-23,1.09117e-23
6.74824e+00,2.63835e-23,9.99393e-24,1.07968e-23
6.76308e+00,2.62679e-23,9.93147e-24,1.06835e-23
