freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
8.94427e+01,2.34135e-11,3.33196e-11,4.28963e-12
8.97311e+01,2.33807e-11,3.28573e-11,4.28827e-12
9.00204e+01,2.33481e-11,3.24058e-11,4.28694e-12
9.03106e+01,2.33157e-11,3.19649e-11,4.28562e-12
9.06018e+01,2.32837e-11,3.15344e-11,4.28433e-12
9.08939e+01,2.32519e-11,3.11141e-11,4.28307e-12
9.11869e+01,2.32204e-11,3.07038e-11,4.28182e-12
9.14809e+01,2.31891e-11,3.03032e-11,4.28060e-12
9.17759e+01,2.31581e-11,2.99123e-11,4.27939e-12
9.20718e+01,2.31273e-11,2.95307e-11,4.27821e-12
9.23686e+01,2.30968e-11,2.91584e-11,4.27705e-12
9.26664e+01,2.30666e-11,2.87950e-11,4.27591e-12
9.29652e+01,2.30366e-11,2.84406e-11,4.27478e-12
9.32649e+01,2.30068e-11,2.80948e-11,4.27368e-12
9.35656e+01,2.29773e-11,2.77574e-11,4.27260e-12
9.38672e+01,2.29481e-11,2.74284e-11,4.27154e-12
9.41699e+01,2.29191e-11,2.71076e-11,4.27049e-12
9.44735e+01,2.28903e-11,2.67947e-11,4.26947e-12
9.47781e+01,2.28618e-11,2.64896e-11,4.26846e-12
9.50837e+01,2.28335e-11,2.61921e-11,4.26747e-12
9.53902e+01,2.28055e-11,2.59021e-11,4.26650e-12
9.56978e+01,2.27776e-11,2.56195e-11,4.26554e-12
9.60063e+01,2.27501e-11,2.53440e-11,4.26461e-12
9.63158e+01,2.27227e-11,2.50755e-11,4.26369e-12
9.66263e+01,2.26956e-11,2.48139e-11,4.26278e-12
9.69379e+01,2.26687e-11,2.45590e-11,4.26190e-12
9.72504e+01,2.26420e-11,2.43106e-11,4.26103e-12
9.75639e+01,2.26156e-11,2.40687e-11,4.26017e-12
9.78785e+01,2.25894e-11,2.38331e-11,4.25934e-12
9.81941e+01,2.25634e-11,2.36036e-11,4.25851e-12
9.85107e+01,2.25376e-11,2.33801e-11,4.25771e-12
9.88283e+01,2.25120e-11,2.31624e-11,4.25692e-12
9.91469e+01,2.24867e-11,2.29505e-11,4.25614e-12
9.94665e+01,2.24615e-11,2.27442e-11,4.25538e-12
9.97872e+01,2.24366e-11,2.25434e-11,4.25463e-12
1.00109e+02,2.24119e-11,2.23480e-11,4.25390e-12
1.00432e+02,2.23874e-11,2.21577e-11,4.25318e-12
1.00756e+02,2.23631e-11,2.19726e-11,4.25248e-12
1.01080e+02,2.23390e-11,2.17925e-11,4.25179e-12
1.01406e+02,2.23151e-11,2.16172e-11,4.25111e-12
1.01733e+02,2.22915e-11,2.14467e-11,4.25045e-12
1.02061e+02,2.22680e-11,2.12808e-11,4.24980e-12
1.02390e+02,2.22447e-11,2.11195e-11,4.24916e-12
1.02720e+02,2.22216e-11,2.09626e-11,4.24854e-12
1.03052e+02,2.21987e-11,2.08100e-11,4.24793e-12
1.03384e+02,2.21760e-11,2.06617e-11,4.24733e-12
1.03717e+02,2.21535e-11,2.05174e-11,4.24674e-12
1.04051e+02,2.21312e-11,2.03771e-11,4.24617e-12
1.04387e+02,2.21091e-11,2.02408e-11,4.24561e-12
1.04723e+02,2.20871e-11,2.01082e-11,4.24506e-12
1.05061e+02,2.20654e-11,1.99794e-11,4.24452e-12
1.05400e+02,2.20438e-11,1.98542e-11,4.24400e-12
1.05740e+02,2.20225e-11,1.97325e-11,4.24348e-12
1.06081e+02,2.20013e-11,1.96143e-11,4.24298e-12
1.06423e+02,2.19802e-11,1.94994e-11,4.24249e-12
1.06766e+02,2.19594e-11,1.93878e-11,4.24201e-12
1.07110e+02,2.19387e-11,1.92794e-11,4.24154e-12
1.07455e+02,2.19183e-11,1.91741e-11,4.24108e-12
1.07802e+02,2.18980e-11,1.90718e-11,4.24063e-12
1.08149e+02,2.18778e-11,1.89724e-11,4.24019e-12
1.08498e+02,2.18579e-11,1.88759e-11,4.23976e-12
1.08848e+02,2.18381e-11,1.87821e-11,4.23934e-12
1.09199e+02,2.18184e-11,1.86911e-11,4.23894e-12
1.09551e+02,2.17990e-11,1.86028e-11,4.23854e-12
1.09904e+02,2.17797e-11,1.85170e-11,4.23815e-12
1.10258e+02,2.17606e-11,1.84336e-11,4.23777e-12
1.10614e+02,2.17416e-11,1.83528e-11,4.23740e-12
1.10970e+02,2.17228e-11,1.82742e-11,4.23704e-12
1.11328e+02,2.17042e-11,1.81980e-11,4.23669e-12
1.11687e+02,2.16857e-11,1.81241e-11,4.23635e-12
1.12047e+02,2.16674e-11,1.80522e-11,4.23602e-12
1.12408e+02,2.16492e-11,1.79826e-11,4.23570e-12
1.12771e+02,2.16312e-11,1.79149e-11,4.23538e-12
1.13134e+02,2.16134e-11,1.78493e-11,4.23508e-12
1.13499e+02,2.15957e-11,1.77856e-11,4.23478e-12
1.13865e+02,2.15781e-11,1.77238e-11,4.23449e-12
1.14232e+02,2.15607e-11,1.76638e-11,4.23421e-12
1.14600e+02,2.15435e-11,1.76056e-11,4.23394e-12
1.14970e+02,2.15264e-11,1.75491e-11,4.23368e-12
1.15341e+02,2.15094e-11,1.74943e-11,4.23342e-12
1.15712e+02,2.14926e-11,1.74412e-11,4.23318e-12
1.16086e+02,2.14760e-11,1.73896e-11,4.23294e-12
1.16460e+02,2.14595e-11,1.73396e-11,4.23271e-12
1.16835e+02,2.14431e-11,1.72911e-11,4.23248e-12
1.17212e+02,2.14268e-11,1.72440e-11,4.23227e-12
1.17590e+02,2.14107e-11,1.71983e-11,4.23206e-12
1.17969e+02,2.13948e-11,1.71540e-11,4.23186e-12
1.18349e+02,2.13790e-11,1.71111e-11,4.23166e-12
1.18731e+02,2.13633e-11,1.70694e-11,4.23148e-12
