freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
1.63299e+03,1.69546e+13,2.35294e+13,4.57867e+12
1.63432e+03,1.69421e+13,2.35553e+13,4.59528e+12
1.63564e+03,1.69296e+13,2.35813e+13,4.61201e+12
1.63697e+03,1.69170e+13,2.36074e+13,4.62886e+12
1.63830e+03,1.69045e+13,2.36336e+13,4.64583e+12
1.63963e+03,1.68920e+13,2.36599e+13,4.66292e+12
1.64096e+03,1.68795e+13,2.36863e+13,4.68012e+12
1.64229e+03,1.68671e+13,2.37128e+13,4.69745e+12
1.64362e+03,1.68546e+13,2.37394e+13,4.71491e+12
1.64495e+03,1.68421e+13,2.37661e+13,4.73248e+12
1.64629e+03,1.68297e+13,2.37929e+13,4.75018e+12
1.64763e+03,1.68172e+13,2.38198e+13,4.76800e+12
1.64896e+03,1.68047e+13,2.38468e+13,4.78595e+12
1.65030e+03,1.67923e+13,2.38740e+13,4.80403e+12
1.65164e+03,1.67799e+13,2.39012e+13,4.82224e+12
1.65298e+03,1.67675e+13,2.39285e+13,4.84057e+12
1.65432e+03,1.67550e+13,2.39559e+13,4.85904e+12
1.65566e+03,1.67426e+13,2.39834e+13,4.87763e+12
1.65700e+03,1.67302e+13,2.40110e+13,4.89636e+12
1.65835e+03,1.67178e+13,2.40387e+13,4.91522e+12
1.65969e+03,1.67054e+13,2.40666e+13,4.93422e+12
1.66104e+03,1.66931e+13,2.40945e+13,4.95335e+12
1.66239e+03,1.66807e+13,2.41225e+13,4.97261e+12
1.66374e+03,1.66683e+13,2.41507e+13,4.99202e+12
1.66509e+03,1.66560e+13,2.41789e+13,5.01156e+12
1.66644e+03,1.66436e+13,2.42073e+13,5.03124e+12
1.66779e+03,1.66313e+13,2.42358e+13,5.05106e+12
1.66914e+03,1.66189e+13,2.42644e+13,5.07102e+12
1.67050e+03,1.66066e+13,2.42931e+13,5.09112e+12
1.67185e+03,1.65943e+13,2.43219e+13,5.11137e+12
1.67321e+03,1.65820e+13,2.43508e+13,5.13176e+12
1.67457e+03,1.65697e+13,2.43798e+13,5.15229e+12
1.67592e+03,1.65574e+13,2.44089e+13,5.17297e+12
1.67728e+03,1.65451e+13,2.44382e+13,5.19380e+12
1.67864e+03,1.65328e+13,2.44675e+13,5.21478e+12
1.68001e+03,1.65205e+13,2.44970e+13,5.23590e+12
1.68137e+03,1.65082e+13,2.45266e+13,5.25718e+12
1.68273e+03,1.64960e+13,2.45563e+13,5.27861e+12
1.68410e+03,1.64837e+13,2.45861e+13,5.30019e+12
1.68546e+03,1.64715e+13,2.46161e+13,5.32192e+12
1.68683e+03,1.64592e+13,2.46461e+13,5.34381e+12
1.68820e+03,1.64470e+13,2.46763e+13,5.36585e+12
1.68957e+03,1.64348e+13,2.47066e+13,5.38805e+12
1.69094e+03,1.64226e+13,2.47370e+13,5.41041e+12
1.69231e+03,1.64103e+13,2.47675e+13,5.43293e+12
1.69368e+03,1.63981e+13,2.47982e+13,5.45560e+12
