freq_aligo,strain_aligo,strain_baseline,strain_best
2.44224e+03,1.67836e-24,8.83611e-25,1.99350e-24
2.44322e+03,1.67900e-24,8.82400e-25,1.98448e-24
2.44420e+03,1.67965e-24,8.81187e-25,1.97550e-24
2.44518e+03,1.68029e-24,8.79974e-25,1.96657e-24
2.44617e+03,1.68094e-24,8.78761e-25,1.95767e-24
2.44715e+03,1.68158e-24,8.77546e-25,1.94881e-24
2.44813e+03,1.68223e-24,8.76331e-25,1.93998e-24
2.44911e+03,1.68287e-24,8.75116e-25,1.93120e-24
2.45010e+03,1.68352e-24,8.73899e-25,1.92245e-24
2.45108e+03,1.68416e-24,8.72682e-25,1.91374e-24
2.45206e+03,1.68481e-24,8.71465e-25,1.90507e-24
2.45305e+03,1.68546e-24,8.70246e-25,1.89643e-24
2.45403e+03,1.68610e-24,8.69027e-25,1.88782e-24
2.45502e+03,1.68675e-24,8.67808e-25,1.87926e-24
2.45600e+03,1.68740e-24,8.66587e-25,1.87073e-24
2.45699e+03,1.68805e-24,8.65366e-25,1.86223e-24
2.45798e+03,1.68869e-24,8.64145e-25,1.85377e-24
2.45896e+03,1.68934e-24,8.62922e-25,1.84534e-24
2.45995e+03,1.68999e-24,8.61699e-25,1.83694e-24
2.46094e+03,1.69064e-24,8.60476e-25,1.82858e-24
2.46192e+03,1.69129e-24,8.59252e-25,1.82025e-24
2.46291e+03,1.69194e-24,8.58027e-25,1.81196e-24
2.46390e+03,1.69259e-24,8.56801e-25,1.80370e-24
2.46489e+03,1.69324e-24,8.55575e-25,1.79547e-24
2.46588e+03,1.69389e-24,8.54348e-25,1.78727e-24
2.46687e+03,1.69454e-24,8.53121e-25,1.77911e-24
2.46786e+03,1.69519e-24,8.51892e-25,1.77097e-24
2.46885e+03,1.69584e-24,8.50664e-25,1.76287e-24
2.46984e+03,1.69649e-24,8.49434e-25,1.75480e-24
2.47083e+03,1.69714e-24,8.48204e-25,1.74676e-24
2.47182e+03,1.69780e-24,8.46974e-25,1.73875e-24
2.47282e+03,1.69845e-24,8.45742e-25,1.73077e-24
2.47381e+03,1.69910e-24,8.44510e-25,1.72282e-24
2.47480e+03,1.69975e-24,8.43278e-25,1.71490e-24
2.47580e+03,1.70041e-24,8.42044e-25,1.70701e-24
2.47679e+03,1.70106e-24,8.40811e-25,1.69915e-24
2.47778e+03,1.70171e-24,8.39576e-25,1.69132e-24
2.47878e+03,1.70237e-24,8.38341e-25,1.68351e-24
2.47977e+03,1.70302e-24,8.37105e-25,1.67574e-24
2.48077e+03,1.70368e-24,8.35869e-25,1.66799e-24
2.48177e+03,1.70433e-24,8.34632e-25,1.66027e-24
2.48276e+03,1.70499e-24,8.33394e-25,1.65258e-24
2.48376e+03,1.70564e-24,8.32156e-25,1.64492e-24
2.48476e+03,1.70630e-24,8.30917e-25,1.63728e-24
2.48575e+03,1.70695e-24,8.29678e-25,1.62967e-24
2.48675e+03,1.70761e-24,8.28438e-25,1.62209e-24
2.48775e+03,1.70827e-24,8.27197e-25,1.61454e-24
2.48875e+03,1.70892e-24,8.25956e-25,1.60701e-24
2.48975e+03,1.70958e-24,8.24714e-25,1.59951e-24
2.49075e+03,1.71024e-24,8.23472e-25,1.59203e-24
2.49175e+03,1.71089e-24,8.22229e-25,1.58458e-24
2.49275e+03,1.71155e-24,8.20985e-25,1.57716e-24
2.49375e+03,1.71221e-24,8.19741e-25,1.56976e-24
2.49475e+03,1.71287e-24,8.18496e-25,1.56239e-24
2.49575e+03,1.71353e-24,8.17250e-25,1.55504e-24
