freq_aligo,strain_aligo,strain_baseline,strain_best
8.94427e+01,7.94419e-25,1.12880e-24,4.67006e-24
8.97311e+01,7.93024e-25,1.11792e-24,4.63460e-24
9.00204e+01,7.91634e-25,1.10731e-24,4.59937e-24
9.03106e+01,7.90248e-25,1.09697e-24,4.56438e-24
9.06018e+01,7.88867e-25,1.08689e-24,4.52963e-24
9.08939e+01,7.87491e-25,1.07707e-24,4.49510e-24
9.11869e+01,7.86120e-25,1.06749e-24,4.46081e-24
9.14809e+01,7.84754e-25,1.05816e-24,4.42675e-24
9.17759e+01,7.83392e-25,1.04907e-24,4.39291e-24
9.20718e+01,7.82035e-25,1.04020e-24,4.35931e-24
9.23686e+01,7.80683e-25,1.03156e-24,4.32592e-24
9.26664e+01,7.79335e-25,1.02314e-24,4.29277e-24
9.29652e+01,7.77992e-25,1.01494e-24,4.25983e-24
9.32649e+01,7.76653e-25,1.00694e-24,4.22712e-24
9.35656e+01,7.75320e-25,9.99148e-25,4.19463e-24
9.38672e+01,7.73990e-25,9.91552e-25,4.16235e-24
9.41699e+01,7.72666e-25,9.84148e-25,4.13030e-24
9.44735e+01,7.71346e-25,9.76932e-25,4.09846e-24
9.47781e+01,7.70030e-25,9.69898e-25,4.06683e-24
9.50837e+01,7.68719e-25,9.63042e-25,4.03542e-24
9.53902e+01,7.67413e-25,9.56359e-25,4.00422e-24
9.56978e+01,7.66111e-25,9.49844e-25,3.97323e-24
9.60063e+01,7.64813e-25,9.43493e-25,3.94245e-24
9.63158e+01,7.63520e-25,9.37302e-25,3.91188e-24
9.66263e+01,7.62231e-25,9.31265e-25,3.88151e-24
9.69379e+01,7.60947e-25,9.25379e-25,3.85135e-24
9.72504e+01,7.59667e-25,9.19639e-25,3.82139e-24
9.75639e+01,7.58392e-25,9.14043e-25,3.79164e-24
9.78785e+01,7.57121e-25,9.08584e-25,3.76209e-24
9.81941e+01,7.55854e-25,9.03261e-25,3.73274e-24
9.85107e+01,7.54592e-25,8.98068e-25,3.70358e-24
9.88283e+01,7.53334e-25,8.93003e-25,3.67463e-24
9.91469e+01,7.52080e-25,8.88061e-25,3.64587e-24
9.94665e+01,7.50831e-25,8.83240e-25,3.61731e-24
9.97872e+01,7.49586e-25,8.78536e-25,3.58894e-24
1.00109e+02,7.48345e-25,8.73945e-25,3.56077e-24
1.00432e+02,7.47108e-25,8.69464e-25,3.53279e-24
1.00756e+02,7.45876e-25,8.65090e-25,3.50499e-24
1.01080e+02,7.44648e-25,8.60821e-25,3.47739e-24
1.01406e+02,7.43424e-25,8.56652e-25,3.44998e-24
1.01733e+02,7.42204e-25,8.52582e-25,3.42275e-24
1.02061e+02,7.40989e-25,8.48607e-25,3.39571e-24
1.02390e+02,7.39777e-25,8.44725e-25,3.36885e-24
1.02720e+02,7.38570e-25,8.40932e-25,3.34218e-24
1.03052e+02,7.37367e-25,8.37227e-25,3.31569e-24
1.03384e+02,7.36168e-25,8.33606e-25,3.28938e-24
1.03717e+02,7.34973e-25,8.30067e-25,3.26326e-24
1.04051e+02,7.33782e-25,8.26609e-25,3.23731e-24
1.04387e+02,7.32595e-25,8.23228e-25,3.21154e-24
1.04723e+02,7.31413e-25,8.19922e-25,3.18594e-24
1.05061e+02,7.30234e-25,8.16689e-25,3.16053e-24
1.05400e+02,7.29059e-25,8.13527e-25,3.13529e-24
1.05740e+02,7.27889e-25,8.10434e-25,3.11022e-24
1.06081e+02,7.26722e-25,8.07407e-25,3.08532e-24
1.06423e+02,7.25559e-25,8.04445e-25,3.06060e-24
1.06766e+02,7.24401e-25,8.01547e-25,3.03605e-24
1.07110e+02,7.23246e-25,7.98709e-25,3.01166e-24
1.07455e+02,7.22095e-25,7.95930e-25,2.98745e-24
1.07802e+02,7.20949e-25,7.93209e-25,2.96340e-24
1.08149e+02,7.19806e-25,7.90544e-25,2.93952e-24
1.08498e+02,7.18667e-25,7.87932e-25,2.91581e-24
1.08848e+02,7.17532e-25,7.85374e-25,2.89226e-24
1.09199e+02,7.16401e-25,7.82866e-25,2.86887e-24
1.09551e+02,7.15274e-25,7.80407e-25,2.84565e-24
1.09904e+02,7.14150e-25,7.77997e-25,2.82259e-24
1.10258e+02,7.13031e-25,7.75633e-25,2.79968e-24
1.10614e+02,7.11915e-25,7.73314e-25,2.77694e-24
1.10970e+02,7.10803e-25,7.71040e-25,2.75436e-24
1.11328e+02,7.09695e-25,7.68807e-25,2.73193e-24
1.11687e+02,7.08591e-25,7.66616e-25,2.70967e-24
1.12047e+02,7.07490e-25,7.64465e-25,2.68755e-24
1.12408e+02,7.06393e-25,7.62353e-25,2.66560e-24
1.12771e+02,7.05300e-25,7.60279e-25,2.64379e-24
1.13134e+02,7.04211e-25,7.58242e-25,2.62214e-24
1.13499e+02,7.03126e-25,7.56239e-25,2.60065e-24
1.13865e+02,7.02044e-25,7.54272e-25,2.57930e-24
1.14232e+02,7.00966e-25,7.52338e-25,2.55810e-24
1.14600e+02,6.99892e-25,7.50436e-25,2.53706e-24
1.14970e+02,6.98821e-25,7.48566e-25,2.51616e-24
1.15341e+02,6.97754e-25,7.46727e-25,2.49541e-24
1.15712e+02,6.96691e-25,7.44917e-25,2.47481e-24
1.16086e+02,6.95631e-25,7.43136e-25,2.45435e-24
1.16460e+02,6.94575e-25,7.41383e-25,2.43404e-24
1.16835e+02,6.93523e-25,7.39658e-25,2.41387e-24
1.17212e+02,6.92474e-25,7.37959e-25,2.39384e-24
1.17590e+02,6.91429e-25,7.36285e-25,2.37396e-24
