freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
8.94427e+01,2.34135e-11,3.33196e-11,9.84183e-12
8.97311e+01,2.33807e-11,3.28573e-11,9.83953e-12
9.00204e+01,2.33481e-11,3.24058e-11,9.83722e-12
9.03106e+01,2.33157e-11,3.19649e-11,9.83490e-12
9.06018e+01,2.32837e-11,3.15344e-11,9.83257e-12
9.08939e+01,2.32519e-11,3.11141e-11,9.83023e-12
9.11869e+01,2.32204e-11,3.07038e-11,9.82788e-12
9.14809e+01,2.31891e-11,3.03032e-11,9.82551e-12
9.17759e+01,2.31581e-11,2.99123e-11,9.82314e-12
9.20718e+01,2.31273e-11,2.95307e-11,9.82075e-12
9.23686e+01,2.30968e-11,2.91584e-11,9.81836e-12
9.26664e+01,2.30666e-11,2.87950e-11,9.81595e-12
9.29652e+01,2.30366e-11,2.84406e-11,9.81353e-12
9.32649e+01,2.30068e-11,2.80948e-11,9.81110e-12
9.35656e+01,2.29773e-11,2.77574e-11,9.80866e-12
9.38672e+01,2.29481e-11,2.74284e-11,9.80620e-12
9.41699e+01,2.29191e-11,2.71076e-11,9.80374e-12
9.44735e+01,2.28903e-11,2.67947e-11,9.80127e-12
9.47781e+01,2.28618e-11,2.64896e-11,9.79878e-12
9.50837e+01,2.28335e-11,2.61921e-11,9.79628e-12
9.53902e+01,2.28055e-11,2.59021e-11,9.79377e-12
9.56978e+01,2.27776e-11,2.56195e-11,9.79125e-12
9.60063e+01,2.27501e-11,2.53440e-11,9.78872e-12
9.63158e+01,2.27227e-11,2.50755e-11,9.78618e-12
9.66263e+01,2.26956e-11,2.48139e-11,9.78362e-12
9.69379e+01,2.26687e-11,2.45590e-11,9.78106e-12
9.72504e+01,2.26420e-11,2.43106e-11,9.77848e-12
9.75639e+01,2.26156e-11,2.40687e-11,9.77589e-12
9.78785e+01,2.25894e-11,2.38331e-11,9.77329e-12
9.81941e+01,2.25634e-11,2.36036e-11,9.77067e-12
9.85107e+01,2.25376e-11,2.33801e-11,9.76805e-12
9.88283e+01,2.25120e-11,2.31624e-11,9.76541e-12
9.91469e+01,2.24867e-11,2.29505e-11,9.76276e-12
9.94665e+01,2.24615e-11,2.27442e-11,9.76010e-12
9.97872e+01,2.24366e-11,2.25434e-11,9.75743e-12
1.00109e+02,2.24119e-11,2.23480e-11,9.75475e-12
1.00432e+02,2.23874e-11,2.21577e-11,9.75205e-12
1.00756e+02,2.23631e-11,2.19726e-11,9.74935e-12
1.01080e+02,2.23390e-11,2.17925e-11,9.74663e-12
1.01406e+02,2.23151e-11,2.16172e-11,9.74390e-12
1.01733e+02,2.22915e-11,2.14467e-11,9.74115e-12
1.02061e+02,2.22680e-11,2.12808e-11,9.73840e-12
1.02390e+02,2.22447e-11,2.11195e-11,9.73563e-12
1.02720e+02,2.22216e-11,2.09626e-11,9.73285e-12
1.03052e+02,2.21987e-11,2.08100e-11,9.73006e-12
1.03384e+02,2.21760e-11,2.06617e-11,9.72726e-12
1.03717e+02,2.21535e-11,2.05174e-11,9.72445e-12
1.04051e+02,2.21312e-11,2.03771e-11,9.72162e-12
1.04387e+02,2.21091e-11,2.02408e-11,9.71878e-12
