freq_aligo,strain_aligo,strain_baseline,strain_best
4.13118e+02,4.43361e-25,7.57977e-25,1.85653e-24
4.14212e+02,4.43809e-25,7.57828e-25,1.85084e-24
4.15308e+02,4.44260e-25,7.57678e-25,1.84516e-24
4.16407e+02,4.44712e-25,7.57527e-25,1.83948e-24
4.17510e+02,4.45167e-25,7.57376e-25,1.83380e-24
4.18615e+02,4.45623e-25,7.57224e-25,1.82813e-24
4.19723e+02,4.46082e-25,7.57071e-25,1.82247e-24
4.20834e+02,4.46542e-25,7.56917e-25,1.81681e-24
4.21948e+02,4.47005e-25,7.56763e-25,1.81115e-24
4.23065e+02,4.47470e-25,7.56608e-25,1.80550e-24
4.24185e+02,4.47937e-25,7.56453e-25,1.79986e-24
4.25307e+02,4.48406e-25,7.56296e-25,1.79422e-24
4.26433e+02,4.48877e-25,7.56139e-25,1.78858e-24
4.27562e+02,4.49350e-25,7.55981e-25,1.78295e-24
4.28694e+02,4.49825e-25,7.55822e-25,1.77733e-24
4.29829e+02,4.50303e-25,7.55663e-25,1.77170e-24
4.30966e+02,4.50782e-25,7.55503e-25,1.76609e-24
4.32107e+02,4.51264e-25,7.55342e-25,1.76048e-24
4.33251e+02,4.51747e-25,7.55180e-25,1.75487e-24
4.34398e+02,4.52233e-25,7.55018e-25,1.74927e-24
4.35548e+02,4.52721e-25,7.54854e-25,1.74368e-24
4.36700e+02,4.53212e-25,7.54690e-25,1.73809e-24
4.37856e+02,4.53704e-25,7.54525e-25,1.73250e-24
4.39015e+02,4.54198e-25,7.54360e-25,1.72692e-24
4.40178e+02,4.54695e-25,7.54193e-25,1.72135e-24
4.41343e+02,4.55194e-25,7.54026e-25,1.71578e-24
4.42511e+02,4.55695e-25,7.53858e-25,1.71022e-24
4.43682e+02,4.56198e-25,7.53689e-25,1.70466e-24
4.44857e+02,4.56703e-25,7.53519e-25,1.69910e-24
4.46034e+02,4.57211e-25,7.53349e-25,1.69356e-24
4.47215e+02,4.57721e-25,7.53178e-25,1.68801e-24
4.48399e+02,4.58233e-25,7.53006e-25,1.68248e-24
4.49586e+02,4.58747e-25,7.52833e-25,1.67694e-24
4.50776e+02,4.59263e-25,7.52659e-25,1.67142e-24
4.51969e+02,4.59782e-25,7.52484e-25,1.66590e-24
4.53165e+02,4.60303e-25,7.52309e-25,1.66038e-24
4.54365e+02,4.60826e-25,7.52132e-25,1.65487e-24
4.55567e+02,4.61352e-25,7.51955e-25,1.64937e-24
4.56773e+02,4.61879e-25,7.51777e-25,1.64387e-24
4.57982e+02,4.62409e-25,7.51598e-25,1.63837e-24
4.59195e+02,4.62942e-25,7.51418e-25,1.63289e-24
4.60410e+02,4.63476e-25,7.51238e-25,1.62740e-24
4.61629e+02,4.64013e-25,7.51056e-25,1.62193e-24
4.62851e+02,4.64552e-25,7.50874e-25,1.61646e-24
4.64076e+02,4.65094e-25,7.50690e-25,1.61099e-24
4.65304e+02,4.65637e-25,7.50506e-25,1.60553e-24
4.66536e+02,4.66184e-25,7.50321e-25,1.60008e-24
4.67771e+02,4.66732e-25,7.50135e-25,1.59463e-24
4.69009e+02,4.67283e-25,7.49948e-25,1.58919e-24
4.70251e+02,4.67836e-25,7.49760e-25,1.58375e-24
4.71495e+02,4.68391e-25,7.49572e-25,1.57832e-24
4.72743e+02,4.68949e-25,7.49382e-25,1.57289e-24
4.73995e+02,4.69509e-25,7.49191e-25,1.56747e-24
4.75249e+02,4.70072e-25,7.49000e-25,1.56206e-24
4.76507e+02,4.70637e-25,7.48807e-25,1.55665e-24
4.77769e+02,4.71204e-25,7.48614e-25,1.55125e-24
4.79033e+02,4.71774e-25,7.48420e-25,1.54585e-24
4.80301e+02,4.72346e-25,7.48224e-25,1.54046e-24
4.81573e+02,4.72920e-25,7.48028e-25,1.53508e-24
4.82848e+02,4.73497e-25,7.47831e-25,1.52970e-24
4.84126e+02,4.74077e-25,7.47633e-25,1.52433e-24
4.85407e+02,4.74659e-25,7.47433e-25,1.51896e-24
4.86692e+02,4.75243e-25,7.47233e-25,1.51360e-24
4.87980e+02,4.75829e-25,7.47032e-25,1.50825e-24
4.89272e+02,4.76419e-25,7.46830e-25,1.50290e-24
4.90567e+02,4.77010e-25,7.46627e-25,1.49756e-24
4.91866e+02,4.77604e-25,7.46423e-25,1.49222e-24
4.93168e+02,4.78201e-25,7.46218e-25,1.48689e-24
4.94473e+02,4.78800e-25,7.46012e-25,1.48156e-24
4.95782e+02,4.79401e-25,7.45804e-25,1.47625e-24
4.97094e+02,4.80005e-25,7.45596e-25,1.47093e-24
4.98410e+02,4.80612e-25,7.45387e-25,1.46563e-24
4.99729e+02,4.81221e-25,7.45177e-25,1.46033e-24
5.01052e+02,4.81832e-25,7.44966e-25,1.45504e-24
5.02378e+02,4.82446e-25,7.44753e-25,1.44975e-24
5.03708e+02,4.83063e-25,7.44540e-25,1.44447e-24
5.05042e+02,4.83682e-25,7.44326e-25,1.43919e-24
5.06378e+02,4.84304e-25,7.44110e-25,1.43393e-24
5.07719e+02,4.84928e-25,7.43894e-25,1.42867e-24
5.09063e+02,4.85555e-25,7.43676e-25,1.42341e-24
5.10410e+02,4.86184e-25,7.43457e-25,1.41816e-24
5.11761e+02,4.86816e-25,7.43238e-25,1.41292e-24
5.13116e+02,4.87451e-25,7.43017e-25,1.40768e-24
5.14474e+02,4.88088e-25,7.42795e-25,1.40245e-24
5.15836e+02,4.88728e-25,7.42572e-25,1.39723e-24
5.17201e+02,4.89370e-25,7.42348e-25,1.39201e-24
5.18570e+02,4.90015e-25,7.42123e-25,1.38680e-24
5.19943e+02,4.90663e-25,7.41896e-25,1.38160e-24
5.21319e+02,4.91313e-25,7.41669e-25,1.37640e-24
5.22699e+02,4.91966e-25,7.41440e-25,1.37121e-24
5.24083e+02,4.92621e-25,7.41211e-25,1.36602e-24
5.25470e+02,4.93279e-25,7.40980e-25,1.36085e-24
5.26861e+02,4.93940e-25,7.40748e-25,1.35568e-24
5.28256e+02,4.94604e-25,7.40515e-25,1.35051e-24
5.29654e+02,4.95270e-25,7.40281e-25,1.34535e-24
5.31056e+02,4.95939e-25,7.40045e-25,1.34020e-24
5.32462e+02,4.96611e-25,7.39809e-25,1.33506e-24
5.33871e+02,4.97285e-25,7.39571e-25,1.32992e-24
5.35284e+02,4.97962e-25,7.39332e-25,1.32479e-24
5.36701e+02,4.98642e-25,7.39092e-25,1.31967e-24
5.38122e+02,4.99324e-25,7.38851e-25,1.31455e-24
5.39546e+02,5.00009e-25,7.38608e-25,1.30944e-24
5.40974e+02,5.00697e-25,7.38365e-25,1.30433e-24
5.42406e+02,5.01388e-25,7.38120e-25,1.29924e-24
5.43842e+02,5.02081e-25,7.37874e-25,1.29415e-24
5.45282e+02,5.02778e-25,7.37626e-25,1.28906e-24
5.46725e+02,5.03477e-25,7.37378e-25,1.28399e-24
5.48172e+02,5.04179e-25,7.37128e-25,1.27892e-24
5.49623e+02,5.04883e-25,7.36877e-25,1.27386e-24
5.51078e+02,5.05591e-25,7.36625e-25,1.26880e-24
5.52537e+02,5.06301e-25,7.36371e-25,1.26375e-24
5.53999e+02,5.07014e-25,7.36117e-25,1.25871e-24
5.55466e+02,5.07730e-25,7.35861e-25,1.25368e-24
5.56936e+02,5.08448e-25,7.35604e-25,1.24865e-24
5.58410e+02,5.09170e-25,7.35345e-25,1.24363e-24
5.59888e+02,5.09894e-25,7.35085e-25,1.23862e-24
5.61371e+02,5.10621e-25,7.34824e-25,1.23361e-24
5.62856e+02,5.11351e-25,7.34562e-25,1.22862e-24
5.64346e+02,5.12084e-25,7.34298e-25,1.22363e-24
5.65840e+02,5.12820e-25,7.34033e-25,1.21864e-24
5.67338e+02,5.13559e-25,7.33767e-25,1.21367e-24
5.68840e+02,5.14301e-25,7.33499e-25,1.20870e-24
5.70345e+02,5.15045e-25,7.33231e-25,1.20374e-24
5.71855e+02,5.15793e-25,7.32960e-25,1.19878e-24
5.73369e+02,5.16543e-25,7.32689e-25,1.19383e-24
5.74887e+02,5.17296e-25,7.32416e-25,1.18889e-24
5.76408e+02,5.18052e-25,7.32142e-25,1.18396e-24
5.77934e+02,5.18812e-25,7.31866e-25,1.17904e-24
5.79464e+02,5.19574e-25,7.31589e-25,1.17412e-24
5.80998e+02,5.20339e-25,7.31311e-25,1.16921e-24
5.82536e+02,5.21107e-25,7.31031e-25,1.16431e-24
5.84078e+02,5.21878e-25,7.30750e-25,1.15941e-24
5.85624e+02,5.22652e-25,7.30468e-25,1.15453e-24
5.87174e+02,5.23429e-25,7.30184e-25,1.14965e-24
5.88728e+02,5.24209e-25,7.29899e-25,1.14478e-24
5.90286e+02,5.24992e-25,7.29612e-25,1.13991e-24
5.91849e+02,5.25778e-25,7.29324e-25,1.13506e-24
5.93416e+02,5.26568e-25,7.29035e-25,1.13021e-24
5.94986e+02,5.27360e-25,7.28744e-25,1.12537e-24
5.96561e+02,5.28155e-25,7.28452e-25,1.12054e-24
5.98140e+02,5.28953e-25,7.28158e-25,1.11571e-24
5.99724e+02,5.29755e-25,7.27863e-25,1.11090e-24
6.01311e+02,5.30559e-25,7.27566e-25,1.10609e-24
6.02903e+02,5.31367e-25,7.27268e-25,1.10129e-24
6.04499e+02,5.32177e-25,7.26969e-25,1.09650e-24
6.06099e+02,5.32991e-25,7.26668e-25,1.09171e-24
6.07703e+02,5.33808e-25,7.26365e-25,1.08693e-24
6.09312e+02,5.34628e-25,7.26061e-25,1.08217e-24
6.10925e+02,5.35451e-25,7.25756e-25,1.07741e-24
6.12542e+02,5.36277e-25,7.25449e-25,1.07265e-24
