freq_aligo,strain_aligo,strain_baseline,strain_best
5.77350e+00,3.60354e-23,1.52891e-23,1.22202e-23
5.78620e+00,3.58775e-23,1.52016e-23,1.21669e-23
5.79893e+00,3.57203e-23,1.51145e-23,1.21138e-23
5.81169e+00,3.55637e-23,1.50277e-23,1.20609e-23
5.82447e+00,3.54079e-23,1.49414e-23,1.20083e-23
5.83728e+00,3.52527e-23,1.48555e-23,1.19559e-23
5.85012e+00,3.50983e-23,1.47700e-23,1.19037e-23
5.86299e+00,3.49445e-23,1.46849e-23,1.18517e-23
5.87589e+00,3.47913e-23,1.46002e-23,1.18000e-23
5.88881e+00,3.46389e-23,1.45158e-23,1.17485e-23
5.90176e+00,3.44871e-23,1.44319e-23,1.16972e-23
5.91475e+00,3.43360e-23,1.43484e-23,1.16461e-23
5.92776e+00,3.41855e-23,1.42652e-23,1.15952e-23
5.94079e+00,3.40357e-23,1.41824e-23,1.15446e-23
5.95386e+00,3.38866e-23,1.41000e-23,1.14941e-23
5.96696e+00,3.37381e-23,1.40180e-23,1.14439e-23
5.98008e+00,3.35903e-23,1.39364e-23,1.13939e-23
5.99324e+00,3.34431e-23,1.38552e-23,1.13440e-23
6.00642e+00,3.32965e-23,1.37743e-23,1.12944e-23
6.01963e+00,3.31506e-23,1.36939e-23,1.12450e-23
6.03287e+00,3.30054e-23,1.36137e-23,1.11958e-23
6.04614e+00,3.28608e-23,1.35340e-23,1.11469e-23
6.05944e+00,3.27168e-23,1.34547e-23,1.10981e-23
6.07277e+00,3.25734e-23,1.33757e-23,1.10495e-23
6.08613e+00,3.24307e-23,1.32971e-23,1.10012e-23
6.09952e+00,3.22886e-23,1.32188e-23,1.09530e-23
6.11293e+00,3.21471e-23,1.31409e-23,1.09050e-23
6.12638e+00,3.20063e-23,1.30634e-23,1.08572e-23
6.13986e+00,3.18660e-23,1.29863e-23,1.08097e-23
6.15336e+00,3.17264e-23,1.29095e-23,1.07623e-23
6.16690e+00,3.15874e-23,1.28331e-23,1.07151e-23
6.18046e+00,3.14490e-23,1.27570e-23,1.06682e-23
6.19406e+00,3.13112e-23,1.26813e-23,1.06214e-23
6.20768e+00,3.11740e-23,1.26059e-23,1.05748e-23
6.22134e+00,3.10374e-23,1.25309e-23,1.05285e-23
6.23502e+00,3.09014e-23,1.24563e-23,1.04822e-23
6.24873e+00,3.07660e-23,1.23820e-23,1.04363e-23
6.26248e+00,3.06312e-23,1.23081e-23,1.03905e-23
6.27626e+00,3.04970e-23,1.22345e-23,1.03449e-23
6.29006e+00,3.03634e-23,1.21613e-23,1.02995e-23
6.30390e+00,3.02304e-23,1.20884e-23,1.02543e-23
6.31776e+00,3.00979e-23,1.20158e-23,1.02092e-23
6.33166e+00,2.99661e-23,1.19436e-23,1.01644e-23
6.34559e+00,2.98348e-23,1.18718e-23,1.01197e-23
6.35954e+00,2.97041e-23,1.18003e-23,1.00752e-23
6.37353e+00,2.95739e-23,1.17291e-23,1.00309e-23
6.38755e+00,2.94444e-23,1.16583e-23,9.98685e-24
6.40160e+00,2.93154e-23,1.15878e-23,9.94290e-24
6.41568e+00,2.91869e-23,1.15176e-23,9.89919e-24
6.42980e+00,2.90590e-23,1.14478e-23,9.85571e-24
6.44394e+00,2.89317e-23,1.13783e-23,9.81229e-24
6.45811e+00,2.88050e-23,1.13091e-23,9.76913e-24
6.47232e+00,2.86788e-23,1.12403e-23,9.72609e-24
6.48656e+00,2.85531e-23,1.11718e-23,9.68330e-24
6.50082e+00,2.84281e-23,1.11037e-23,9.64068e-24
6.51512e+00,2.83035e-23,1.10358e-23,9.59819e-24
6.52946e+00,2.81795e-23,1.09683e-23,9.55589e-24
6.54382e+00,2.80561e-23,1.09011e-23,9.51377e-24
6.55821e+00,2.79331e-23,1.08342e-23,9.47187e-24
6.57264e+00,2.78108e-23,1.07677e-23,9.43005e-24
6.58709e+00,2.76889e-23,1.07015e-23,9.38847e-24
6.60158e+00,2.75676e-23,1.06356e-23,9.34707e-24
6.61611e+00,2.74469e-23,1.05700e-23,9.30583e-24
6.63066e+00,2.73266e-23,1.05047e-23,9.26477e-24
6.64524e+00,2.72069e-23,1.04398e-23,9.22388e-24
6.65986e+00,2.70877e-23,1.03752e-23,9.18315e-24
6.67451e+00,2.69691e-23,1.03108e-23,9.14254e-24
6.68919e+00,2.68509e-23,1.02468e-23,9.10218e-24
6.70391e+00,2.67333e-23,1.01832e-23,9.06199e-24
6.71865e+00,2.66162e-23,1.01198e-23,9.02195e-24
6.73343e+00,2.64996e-23,1.00567e-23,8.98209e-24
6.74824e+00,2.63835e-23,9.99393e-24,8.94234e-24
6.76308e+00,2.62679e-23,9.93147e-24,8.90280e-24
6.77796e+00,2.61529e-23,9.86932e-24,8.86340e-24
6.79287e+00,2.60383e-23,9.80747e-24,8.82418e-24
6.80781e+00,2.59242e-23,9.74593e-24,8.78513e-24
6.82279e+00,2.58107e-23,9.68469e-24,8.74623e-24
6.83779e+00,2.56976e-23,9.62375e-24,8.70750e-24
6.85284e+00,2.55851e-23,9.56311e-24,8.66897e-24
6.86791e+00,2.54730e-23,9.50277e-24,8.63055e-24
6.88302e+00,2.53614e-23,9.44273e-24,8.59230e-24
6.89816e+00,2.52503e-23,9.38298e-24,8.55416e-24
6.91333e+00,2.51397e-23,9.32353e-24,8.51624e-24
6.92854e+00,2.50296e-23,9.26438e-24,8.47848e-24
