freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
1.26491e+00,5.66597e+13,2.12990e+14,1.85852e+09
1.27896e+00,5.66597e+13,1.99601e+14,1.66634e+09
1.29316e+00,5.66597e+13,1.88038e+14,1.48167e+09
1.30752e+00,5.66597e+13,1.77954e+14,1.31557e+09
1.32204e+00,5.66597e+13,1.69086e+14,1.18576e+09
1.33672e+00,5.66597e+13,1.61224e+14,1.11694e+09
1.35156e+00,5.66597e+13,1.54213e+14,1.13347e+09
1.36657e+00,5.66597e+13,1.47920e+14,1.24528e+09
1.38174e+00,5.66597e+13,1.42243e+14,1.44310e+09
1.39709e+00,5.66597e+13,1.37096e+14,1.70931e+09
1.41260e+00,5.66597e+13,1.32408e+14,2.02847e+09
1.42828e+00,5.66597e+13,1.28124e+14,2.39022e+09
1.44414e+00,5.66597e+13,1.24194e+14,2.78835e+09
1.46018e+00,5.66597e+13,1.20575e+14,3.21934e+09
1.47639e+00,5.66597e+13,1.17233e+14,3.68136e+09
1.49279e+00,5.66597e+13,1.14141e+14,4.17365e+09
1.50936e+00,5.66597e+13,1.11269e+14,4.69607e+09
1.52612e+00,5.66597e+13,1.08596e+14,5.24897e+09
1.54307e+00,5.66597e+13,1.06102e+14,5.83298e+09
1.56021e+00,5.66597e+13,1.03772e+14,6.44899e+09
1.57753e+00,5.66597e+13,1.01590e+14,7.09805e+09
1.59505e+00,5.66596e+13,9.95417e+13,7.78136e+09
1.61276e+00,5.66596e+13,9.76171e+13,8.50024e+09
1.63067e+00,5.66596e+13,9.58053e+13,9.25614e+09
1.64877e+00,5.66596e+13,9.40967e+13,1.00506e+10
1.66708e+00,5.66596e+13,9.24834e+13,1.08852e+10
1.68559e+00,5.66596e+13,9.09579e+13,1.17618e+10
1.70431e+00,5.66596e+13,8.95141e+13,1.26821e+10
1.72324e+00,5.66596e+13,8.81450e+13,1.36481e+10
1.74237e+00,5.66596e+13,8.68459e+13,1.46618e+10
1.76172e+00,5.66596e+13,8.56119e+13,1.57253e+10
1.78128e+00,5.66596e+13,8.44381e+13,1.68409e+10
1.80106e+00,5.66596e+13,8.33206e+13,1.80107e+10
1.82106e+00,5.66596e+13,8.22559e+13,1.92374e+10
1.84128e+00,5.66596e+13,8.12403e+13,2.05233e+10
1.86173e+00,5.66595e+13,8.02711e+13,2.18711e+10
1.88240e+00,5.66595e+13,7.93450e+13,2.32837e+10
1.90330e+00,5.66595e+13,7.84598e+13,2.47638e+10
1.92444e+00,5.66595e+13,7.76126e+13,2.63145e+10
1.94580e+00,5.66595e+13,7.68016e+13,2.79389e+10
1.96741e+00,5.66595e+13,7.60244e+13,2.96403e+10
1.98926e+00,5.66595e+13,7.52792e+13,3.14221e+10
2.01135e+00,5.66595e+13,7.45644e+13,3.32878e+10
2.03368e+00,5.66595e+13,7.38781e+13,3.52412e+10
2.05626e+00,5.66595e+13,7.32191e+13,3.72861e+10
2.07910e+00,5.66595e+13,7.25857e+13,3.94265e+10
2.10218e+00,5.66594e+13,7.19766e+13,4.16667e+10
2.12553e+00,5.66594e+13,7.13906e+13,4.40109e+10
2.14913e+00,5.66594e+13,7.08265e+13,4.64638e+10
2.17299e+00,5.66594e+13,7.02835e+13,4.90301e+10
2.19712e+00,5.66594e+13,6.97602e+13,5.17148e+10
2.22152e+00,5.66594e+13,6.92558e+13,5.45229e+10
2.24619e+00,5.66594e+13,6.87696e+13,5.74599e+10
2.27113e+00,5.66594e+13,6.83004e+13,6.05312e+10
2.29635e+00,5.66593e+13,6.78476e+13,6.37428e+10
2.32185e+00,5.66593e+13,6.74106e+13,6.71006e+10
2.34763e+00,5.66593e+13,6.69885e+13,7.06110e+10
2.37370e+00,5.66593e+13,6.65806e+13,7.42804e+10
2.40005e+00,5.66593e+13,6.61864e+13,7.81157e+10
2.42670e+00,5.66593e+13,6.58055e+13,8.21239e+10
2.45365e+00,5.66593e+13,6.54369e+13,8.63124e+10
2.48090e+00,5.66593e+13,6.50805e+13,9.06889e+10
2.50844e+00,5.66592e+13,6.47355e+13,9.52612e+10
2.53630e+00,5.66592e+13,6.44016e+13,1.00038e+11
2.56446e+00,5.66592e+13,6.40784e+13,1.05027e+11
2.59294e+00,5.66592e+13,6.37652e+13,1.10238e+11
2.62173e+00,5.66592e+13,6.34620e+13,1.15679e+11
2.65084e+00,5.66592e+13,6.31680e+13,1.21362e+11
2.68028e+00,5.66591e+13,6.28832e+13,1.27294e+11
2.71004e+00,5.66591e+13,6.26069e+13,1.33488e+11
2.74013e+00,5.66591e+13,6.23391e+13,1.39953e+11
2.77056e+00,5.66591e+13,6.20794e+13,1.46701e+11
2.80132e+00,5.66591e+13,6.18274e+13,1.53742e+11
2.83243e+00,5.66591e+13,6.15829e+13,1.61090e+11
2.86388e+00,5.66590e+13,6.13456e+13,1.68756e+11
2.89568e+00,5.66590e+13,6.11152e+13,1.76753e+11
2.92784e+00,5.66590e+13,6.08903e+13,1.85094e+11
2.96035e+00,5.66590e+13,6.06748e+13,1.93792e+11
2.99322e+00,5.66590e+13,6.04635e+13,2.02861e+11
3.02646e+00,5.66589e+13,6.02584e+13,2.12315e+11
3.06006e+00,5.66589e+13,6.00594e+13,2.22167e+11
3.09404e+00,5.66589e+13,5.98659e+13,2.32432e+11
3.12840e+00,5.66589e+13,5.96778e+13,2.43122e+11
3.16314e+00,5.66588e+13,5.94950e+13,2.54248e+11
3.19826e+00,5.66588e+13,5.93172e+13,2.65820e+11
3.23377e+00,5.66588e+13,5.91444e+13,2.77839e+11
3.26968e+00,5.66588e+13,5.89763e+13,2.90293e+11
3.30599e+00,5.66587e+13,5.88128e+13,3.03133e+11
3.34270e+00,5.66587e+13,5.86537e+13,3.16199e+11
3.37982e+00,5.66587e+13,5.84989e+13,3.28818e+11
3.41735e+00,5.66587e+13,5.83484e+13,3.33809e+11
3.45529e+00,5.66586e+13,5.82018e+13,3.74125e+11
3.49366e+00,5.66586e+13,5.80592e+13,3.83675e+11
3.53246e+00,5.66586e+13,5.79203e+13,3.99079e+11
3.57168e+00,5.66585e+13,5.77852e+13,4.16008e+11
3.61134e+00,5.66585e+13,5.76535e+13,4.33943e+11
3.65144e+00,5.66585e+13,5.75254e+13,4.52753e+11
3.69199e+00,5.66584e+13,5.74006e+13,4.72407e+11
3.73298e+00,5.66584e+13,5.72790e+13,4.92901e+11
3.77444e+00,5.66584e+13,5.71606e+13,5.14251e+11
3.81635e+00,5.66583e+13,5.70453e+13,5.36475e+11
3.85873e+00,5.66583e+13,5.69329e+13,5.59599e+11
3.90157e+00,5.66583e+13,5.68234e+13,5.83648e+11
3.94490e+00,5.66582e+13,5.67167e+13,6.08651e+11
3.98870e+00,5.66582e+13,5.66127e+13,6.34638e+11
4.03299e+00,5.66582e+13,5.65114e+13,6.61639e+11
4.07778e+00,5.66581e+13,5.64126e+13,6.89687e+11
4.12306e+00,5.66581e+13,5.63163e+13,7.18811e+11
4.16884e+00,5.66580e+13,5.62224e+13,7.49046e+11
4.21513e+00,5.66580e+13,5.61309e+13,7.80424e+11
4.26193e+00,5.66580e+13,5.60417e+13,8.12977e+11
4.30926e+00,5.66579e+13,5.59547e+13,8.46739e+11
4.35711e+00,5.66579e+13,5.58698e+13,8.81741e+11
4.40549e+00,5.66578e+13,5.57871e+13,9.18017e+11
4.45441e+00,5.66578e+13,5.57064e+13,9.55597e+11
4.50387e+00,5.66577e+13,5.56277e+13,9.94513e+11
4.55389e+00,5.66577e+13,5.55509e+13,1.03479e+12
4.60445e+00,5.66576e+13,5.54760e+13,1.07647e+12
4.65558e+00,5.66576e+13,5.54029e+13,1.11956e+12
4.70728e+00,5.66575e+13,5.53316e+13,1.16410e+12
4.75955e+00,5.66575e+13,5.52621e+13,1.21010e+12
4.81240e+00,5.66574e+13,5.51942e+13,1.25758e+12
4.86583e+00,5.66574e+13,5.51280e+13,1.30656e+12
4.91987e+00,5.66573e+13,5.50634e+13,1.35706e+12
4.97450e+00,5.66572e+13,5.50003e+13,1.40907e+12
5.02973e+00,5.66572e+13,5.49388e+13,1.46259e+12
5.08558e+00,5.66571e+13,5.48787e+13,1.51763e+12
5.14206e+00,5.66571e+13,5.48201e+13,1.57418e+12
5.19915e+00,5.66570e+13,5.47629e+13,1.63221e+12
5.25689e+00,5.66569e+13,5.47070e+13,1.69170e+12
5.31526e+00,5.66569e+13,5.46525e+13,1.75262e+12
5.37428e+00,5.66568e+13,5.45992e+13,1.81493e+12
5.43396e+00,5.66567e+13,5.45472e+13,1.87858e+12
5.49430e+00,5.66567e+13,5.44965e+13,1.94353e+12
5.55531e+00,5.66566e+13,5.44469e+13,2.00969e+12
5.61699e+00,5.66565e+13,5.43986e+13,2.07701e+12
5.67936e+00,5.66564e+13,5.43513e+13,2.14542e+12
5.74243e+00,5.66564e+13,5.43052e+13,2.21483e+12
5.80619e+00,5.66563e+13,5.42602e+13,2.28517e+12
5.87067e+00,5.66562e+13,5.42162e+13,2.35635e+12
5.93585e+00,5.66561e+13,5.41732e+13,2.42830e+12
6.00177e+00,5.66560e+13,5.41313e+13,2.50097e+12
6.06841e+00,5.66559e+13,5.40903e+13,2.57427e+12
6.13579e+00,5.66559e+13,5.40502e+13,2.64818e+12
6.20393e+00,5.66558e+13,5.40112e+13,2.72265e+12
6.27282e+00,5.66557e+13,5.39730e+13,2.79768e+12
6.34247e+00,5.66556e+13,5.39357e+13,2.87327e+12
6.41290e+00,5.66555e+13,5.38992e+13,2.94945e+12
6.48411e+00,5.66554e+13,5.38636e+13,3.02626e+12
6.55611e+00,5.66553e+13,5.38289e+13,3.10377e+12
6.62891e+00,5.66552e+13,5.37949e+13,3.18207e+12
6.70252e+00,5.66551e+13,5.37617e+13,3.26123e+12
6.77694e+00,5.66550e+13,5.37293e+13,3.34137e+12
6.85219e+00,5.66549e+13,5.36976e+13,3.42259e+12
6.92828e+00,5.66547e+13,5.36667e+13,3.50500e+12
7.00521e+00,5.66546e+13,5.36364e+13,3.58869e+12
7.08300e+00,5.66545e+13,5.36069e+13,3.67377e+12
7.16165e+00,5.66544e+13,5.35780e+13,3.76030e+12
7.24117e+00,5.66543e+13,5.35498e+13,3.84835e+12
7.32158e+00,5.66541e+13,5.35222e+13,3.93798e+12
7.40288e+00,5.66540e+13,5.34953e+13,4.02920e+12
7.48508e+00,5.66539e+13,5.34690e+13,4.12204e+12
7.56820e+00,5.66537e+13,5.34432e+13,4.21648e+12
7.65224e+00,5.66536e+13,5.34181e+13,4.31250e+12
7.73721e+00,5.66535e+13,5.33935e+13,4.41006e+12
7.82312e+00,5.66533e+13,5.33695e+13,4.50912e+12
7.90999e+00,5.66532e+13,5.33460e+13,4.60960e+12
7.99783e+00,5.66530e+13,5.33231e+13,4.71144e+12
8.08663e+00,5.66529e+13,5.33007e+13,4.81456e+12
8.17643e+00,5.66527e+13,5.32788e+13,4.91887e+12
8.26722e+00,5.66525e+13,5.32574e+13,5.02428e+12
8.35902e+00,5.66524e+13,5.32364e+13,5.13071e+12
8.45184e+00,5.66522e+13,5.32160e+13,5.23806e+12
8.54569e+00,5.66520e+13,5.31960e+13,5.34624e+12
8.64058e+00,5.66519e+13,5.31764e+13,5.45517e+12
8.73653e+00,5.66517e+13,5.31573e+13,5.56476e+12
8.83354e+00,5.66515e+13,5.31386e+13,5.67492e+12
8.93163e+00,5.66513e+13,5.31204e+13,5.78559e+12
9.03081e+00,5.66511e+13,5.31025e+13,5.89669e+12
9.13109e+00,5.66509e+13,5.30851e+13,6.00815e+12
9.23248e+00,5.66507e+13,5.30680e+13,6.11990e+12
9.33500e+00,5.66505e+13,5.30513e+13,6.23190e+12
9.43866e+00,5.66503e+13,5.30350e+13,6.34409e+12
9.54346e+00,5.66501e+13,5.30191e+13,6.45642e+12
9.64944e+00,5.66499e+13,5.30035e+13,6.56886e+12
9.75658e+00,5.66496e+13,5.29882e+13,6.68137e+12
9.86492e+00,5.66494e+13,5.29733e+13,6.79392e+12
9.97446e+00,5.66492e+13,5.29588e+13,6.90648e+12
1.00852e+01,5.66489e+13,5.29445e+13,7.01904e+12
1.01972e+01,5.66487e+13,5.29306e+13,7.13158e+12
1.03104e+01,5.66485e+13,5.29170e+13,7.24409e+12
1.04249e+01,5.66482e+13,5.29037e+13,7.35657e+12
1.05407e+01,5.66479e+13,5.28906e+13,7.46900e+12
1.06577e+01,5.66477e+13,5.28779e+13,7.58140e+12
1.07761e+01,5.66474e+13,5.28655e+13,7.69376e+12
1.08957e+01,5.66471e+13,5.28533e+13,7.80610e+12
1.10167e+01,5.66468e+13,5.28414e+13,7.91842e+12
1.11391e+01,5.66465e+13,5.28297e+13,8.03074e+12
1.12627e+01,5.66462e+13,5.28184e+13,8.14308e+12
1.13878e+01,5.66459e+13,5.28072e+13,8.25544e+12
1.15143e+01,5.66456e+13,5.27963e+13,8.36785e+12
1.16421e+01,5.66453e+13,5.27857e+13,8.48034e+12
1.17714e+01,5.66450e+13,5.27753e+13,8.59292e+12
1.19021e+01,5.66446e+13,5.27651e+13,8.70561e+12
1.20343e+01,5.66443e+13,5.27551e+13,8.81844e+12
1.21679e+01,5.66439e+13,5.27454e+13,8.93145e+12
1.23030e+01,5.66436e+13,5.27359e+13,9.04464e+12
1.24396e+01,5.66432e+13,5.27265e+13,9.15806e+12
1.25778e+01,5.66429e+13,5.27174e+13,9.27172e+12
1.27174e+01,5.66425e+13,5.27085e+13,9.38566e+12
1.28586e+01,5.66421e+13,5.26998e+13,9.49991e+12
1.30014e+01,5.66417e+13,5.26912e+13,9.61449e+12
1.31458e+01,5.66413e+13,5.26829e+13,9.72942e+12
1.32918e+01,5.66409e+13,5.26747e+13,9.84475e+12
1.34394e+01,5.66404e+13,5.26668e+13,9.96049e+12
1.35886e+01,5.66400e+13,5.26589e+13,1.00767e+13
1.37395e+01,5.66396e+13,5.26513e+13,1.01933e+13
1.38920e+01,5.66391e+13,5.26438e+13,1.03105e+13
1.40463e+01,5.66386e+13,5.26365e+13,1.04282e+13
1.42023e+01,5.66382e+13,5.26293e+13,1.05464e+13
1.43600e+01,5.66377e+13,5.26223e+13,1.06652e+13
1.45194e+01,5.66372e+13,5.26155e+13,1.07846e+13
1.46807e+01,5.66367e+13,5.26088e+13,1.09046e+13
1.48437e+01,5.66362e+13,5.26022e+13,1.10253e+13
1.50085e+01,5.66356e+13,5.25958e+13,1.11466e+13
1.51752e+01,5.66351e+13,5.25895e+13,1.12687e+13
1.53437e+01,5.66345e+13,5.25834e+13,1.13914e+13
1.55140e+01,5.66340e+13,5.25774e+13,1.15149e+13
1.56863e+01,5.66334e+13,5.25715e+13,1.16391e+13
1.58605e+01,5.66328e+13,5.25657e+13,1.17641e+13
1.60366e+01,5.66322e+13,5.25601e+13,1.18899e+13
1.62147e+01,5.66316e+13,5.25546e+13,1.20166e+13
1.63947e+01,5.66309e+13,5.25492e+13,1.21440e+13
1.65768e+01,5.66303e+13,5.25439e+13,1.22723e+13
1.67608e+01,5.66296e+13,5.25387e+13,1.24014e+13
1.69470e+01,5.66290e+13,5.25336e+13,1.25314e+13
1.71351e+01,5.66283e+13,5.25287e+13,1.26623e+13
1.73254e+01,5.66276e+13,5.25238e+13,1.27941e+13
1.75178e+01,5.66268e+13,5.25191e+13,1.29268e+13
1.77123e+01,5.66261e+13,5.25144e+13,1.30605e+13
1.79090e+01,5.66253e+13,5.25099e+13,1.31950e+13
1.81079e+01,5.66246e+13,5.25054e+13,1.33305e+13
1.83089e+01,5.66238e+13,5.25010e+13,1.34670e+13
1.85122e+01,5.66230e+13,5.24967e+13,1.36044e+13
1.87178e+01,5.66222e+13,5.24925e+13,1.37428e+13
1.89256e+01,5.66213e+13,5.24884e+13,1.38822e+13
1.91358e+01,5.66204e+13,5.24844e+13,1.40225e+13
1.93483e+01,5.66196e+13,5.24805e+13,1.41639e+13
1.95631e+01,5.66187e+13,5.24766e+13,1.43062e+13
1.97804e+01,5.66177e+13,5.24728e+13,1.44495e+13
2.00000e+01,5.66168e+13,5.24691e+13,1.45938e+13
2.02221e+01,5.66158e+13,5.24655e+13,1.47392e+13
2.04466e+01,5.66149e+13,5.24619e+13,1.48855e+13
2.06737e+01,5.66139e+13,5.24584e+13,1.50328e+13
2.09032e+01,5.66128e+13,5.24550e+13,1.51811e+13
2.11353e+01,5.66118e+13,5.24517e+13,1.53305e+13
2.13700e+01,5.66107e+13,5.24484e+13,1.54808e+13
2.16073e+01,5.66096e+13,5.24452e+13,1.56321e+13
2.18473e+01,5.66085e+13,5.24420e+13,1.57845e+13
2.20899e+01,5.66073e+13,5.24389e+13,1.59378e+13
2.23351e+01,5.66062e+13,5.24359e+13,1.60921e+13
