freq_aligo,strain_aligo,strain_baseline,strain_best
5.77350e+00,2.48734e-20,2.48734e-20,2.48734e-20
5.78620e+00,2.42635e-20,2.42634e-20,2.42634e-20
5.79893e+00,2.36684e-20,2.36684e-20,2.36684e-20
5.81169e+00,2.30880e-20,2.30880e-20,2.30880e-20
5.82447e+00,2.25218e-20,2.25218e-20,2.25218e-20
5.83728e+00,2.19695e-20,2.19695e-20,2.19695e-20
5.85012e+00,2.14308e-20,2.14308e-20,2.14308e-20
5.86299e+00,2.09052e-20,2.09052e-20,2.09052e-20
5.87589e+00,2.03926e-20,2.03926e-20,2.03926e-20
5.88881e+00,1.98925e-20,1.98925e-20,1.98925e-20
5.90176e+00,1.94047e-20,1.94047e-20,1.94047e-20
5.91475e+00,1.89288e-20,1.89288e-20,1.89288e-20
5.92776e+00,1.84646e-20,1.84646e-20,1.84646e-20
5.94079e+00,1.80118e-20,1.80118e-20,1.80118e-20
5.95386e+00,1.75701e-20,1.75701e-20,1.75701e-20
5.96696e+00,1.71393e-20,1.71392e-20,1.71392e-20
5.98008e+00,1.67189e-20,1.67189e-20,1.67189e-20
5.99324e+00,1.63090e-20,1.63089e-20,1.63089e-20
6.00642e+00,1.59090e-20,1.59090e-20,1.59090e-20
6.01963e+00,1.55189e-20,1.55189e-20,1.55188e-20
6.03287e+00,1.51383e-20,1.51383e-20,1.51383e-20
6.04614e+00,1.47671e-20,1.47671e-20,1.47670e-20
6.05944e+00,1.44049e-20,1.44049e-20,1.44049e-20
6.07277e+00,1.40517e-20,1.40517e-20,1.40517e-20
6.08613e+00,1.37071e-20,1.37071e-20,1.37071e-20
6.09952e+00,1.33710e-20,1.33709e-20,1.33709e-20
6.11293e+00,1.30431e-20,1.30431e-20,1.30430e-20
6.12638e+00,1.27232e-20,1.27232e-20,1.27232e-20
6.13986e+00,1.24112e-20,1.24112e-20,1.24112e-20
6.15336e+00,1.21069e-20,1.21068e-20,1.21068e-20
6.16690e+00,1.18100e-20,1.18099e-20,1.18099e-20
6.18046e+00,1.15203e-20,1.15203e-20,1.15203e-20
6.19406e+00,1.12378e-20,1.12378e-20,1.12378e-20
6.20768e+00,1.09623e-20,1.09622e-20,1.09622e-20
6.22134e+00,1.06934e-20,1.06934e-20,1.06934e-20
6.23502e+00,1.04312e-20,1.04312e-20,1.04312e-20
6.24873e+00,1.01754e-20,1.01754e-20,1.01754e-20
6.26248e+00,9.92587e-21,9.92584e-21,9.92583e-21
6.27626e+00,9.68246e-21,9.68243e-21,9.68242e-21
6.29006e+00,9.44502e-21,9.44499e-21,9.44498e-21
6.30390e+00,9.21340e-21,9.21337e-21,9.21336e-21
6.31776e+00,8.98746e-21,8.98743e-21,8.98742e-21
6.33166e+00,8.76706e-21,8.76703e-21,8.76703e-21
6.34559e+00,8.55207e-21,8.55204e-21,8.55203e-21
