freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
5.77350e+00,5.66563e+13,1.12732e+13,1.33443e+12
5.78620e+00,5.66563e+13,1.12701e+13,1.33955e+12
5.79893e+00,5.66563e+13,1.12671e+13,1.34469e+12
5.81169e+00,5.66563e+13,1.12641e+13,1.34985e+12
5.82447e+00,5.66563e+13,1.12612e+13,1.35503e+12
5.83728e+00,5.66562e+13,1.12582e+13,1.36024e+12
5.85012e+00,5.66562e+13,1.12553e+13,1.36547e+12
5.86299e+00,5.66562e+13,1.12525e+13,1.37072e+12
5.87589e+00,5.66562e+13,1.12496e+13,1.37599e+12
5.88881e+00,5.66562e+13,1.12468e+13,1.38129e+12
5.90176e+00,5.66562e+13,1.12440e+13,1.38661e+12
5.91475e+00,5.66561e+13,1.12413e+13,1.39195e+12
5.92776e+00,5.66561e+13,1.12385e+13,1.39731e+12
5.94079e+00,5.66561e+13,1.12358e+13,1.40270e+12
5.95386e+00,5.66561e+13,1.12331e+13,1.40811e+12
5.96696e+00,5.66561e+13,1.12305e+13,1.41354e+12
5.98008e+00,5.66561e+13,1.12279e+13,1.41900e+12
5.99324e+00,5.66560e+13,1.12252e+13,1.42448e+12
6.00642e+00,5.66560e+13,1.12227e+13,1.42998e+12
6.01963e+00,5.66560e+13,1.12201e+13,1.43551e+12
6.03287e+00,5.66560e+13,1.12176e+13,1.44106e+12
6.04614e+00,5.66560e+13,1.12151e+13,1.44664e+12
6.05944e+00,5.66560e+13,1.12126e+13,1.45224e+12
6.07277e+00,5.66559e+13,1.12102e+13,1.45786e+12
6.08613e+00,5.66559e+13,1.12078e+13,1.46351e+12
6.09952e+00,5.66559e+13,1.12054e+13,1.46918e+12
6.11293e+00,5.66559e+13,1.12030e+13,1.47487e+12
6.12638e+00,5.66559e+13,1.12007e+13,1.48059e+12
6.13986e+00,5.66559e+13,1.11984e+13,1.48634e+12
6.15336e+00,5.66558e+13,1.11961e+13,1.49211e+12
6.16690e+00,5.66558e+13,1.11938e+13,1.49790e+12
6.18046e+00,5.66558e+13,1.11916e+13,1.50372e+12
