freq_aligo,totalsignal_aligo,totalsignal_baseline,totalsignal_best
2.44224e+03,1.16201e+13,2.74928e+13,3.67381e+12
2.44322e+03,1.16156e+13,2.75331e+13,3.69765e+12
2.44420e+03,1.16111e+13,2.75735e+13,3.72166e+12
2.44518e+03,1.16066e+13,2.76141e+13,3.74586e+12
2.44617e+03,1.16021e+13,2.76548e+13,3.77024e+12
2.44715e+03,1.15977e+13,2.76957e+13,3.79480e+12
2.44813e+03,1.15932e+13,2.77367e+13,3.81954e+12
2.44911e+03,1.15887e+13,2.77778e+13,3.84447e+12
2.45010e+03,1.15843e+13,2.78192e+13,3.86959e+12
2.45108e+03,1.15798e+13,2.78606e+13,3.89490e+12
2.45206e+03,1.15753e+13,2.79022e+13,3.92040e+12
2.45305e+03,1.15709e+13,2.79440e+13,3.94609e+12
2.45403e+03,1.15664e+13,2.79859e+13,3.97198e+12
2.45502e+03,1.15620e+13,2.80280e+13,3.99807e+12
2.45600e+03,1.15575e+13,2.80702e+13,4.02435e+12
2.45699e+03,1.15530e+13,2.81126e+13,4.05084e+12
2.45798e+03,1.15486e+13,2.81551e+13,4.07753e+12
2.45896e+03,1.15441e+13,2.81978e+13,4.10443e+12
2.45995e+03,1.15397e+13,2.82407e+13,4.13153e+12
2.46094e+03,1.15352e+13,2.82837e+13,4.15884e+12
2.46192e+03,1.15308e+13,2.83269e+13,4.18637e+12
2.46291e+03,1.15263e+13,2.83702e+13,4.21411e+12
2.46390e+03,1.15219e+13,2.84137e+13,4.24207e+12
2.46489e+03,1.15174e+13,2.84574e+13,4.27024e+12
2.46588e+03,1.15130e+13,2.85012e+13,4.29864e+12
2.46687e+03,1.15086e+13,2.85452e+13,4.32725e+12
2.46786e+03,1.15041e+13,2.85893e+13,4.35610e+12
2.46885e+03,1.14997e+13,2.86336e+13,4.38516e+12
2.46984e+03,1.14952e+13,2.86781e+13,4.41446e+12
2.47083e+03,1.14908e+13,2.87228e+13,4.44400e+12
2.47182e+03,1.14864e+13,2.87676e+13,4.47376e+12
2.47282e+03,1.14819e+13,2.88126e+13,4.50377e+12
2.47381e+03,1.14775e+13,2.88577e+13,4.53401e+12
2.47480e+03,1.14731e+13,2.89030e+13,4.56449e+12
2.47580e+03,1.14687e+13,2.89485e+13,4.59522e+12
2.47679e+03,1.14642e+13,2.89942e+13,4.62620e+12
2.47778e+03,1.14598e+13,2.90401e+13,4.65742e+12
2.47878e+03,1.14554e+13,2.90861e+13,4.68890e+12
2.47977e+03,1.14510e+13,2.91323e+13,4.72063e+12
2.48077e+03,1.14466e+13,2.91786e+13,4.75262e+12
2.48177e+03,1.14421e+13,2.92252e+13,4.78487e+12
2.48276e+03,1.14377e+13,2.92719e+13,4.81738e+12
2.48376e+03,1.14333e+13,2.93188e+13,4.85016e+12
2.48476e+03,1.14289e+13,2.93659e+13,4.88321e+12
2.48575e+03,1.14245e+13,2.94132e+13,4.91653e+12
2.48675e+03,1.14201e+13,2.94606e+13,4.95012e+12
2.48775e+03,1.14157e+13,2.95083e+13,4.98399e+12
2.48875e+03,1.14113e+13,2.95561e+13,5.01814e+12
2.48975e+03,1.14068e+13,2.96041e+13,5.05257e+12
2.49075e+03,1.14024e+13,2.96523e+13,5.08729e+12
2.49175e+03,1.13980e+13,2.97006e+13,5.12230e+12
2.49275e+03,1.13936e+13,2.97492e+13,5.15760e+12
2.49375e+03,1.13892e+13,2.97980e+13,5.19320e+12
2.49475e+03,1.13848e+13,2.98469e+13,5.22910e+12
2.49575e+03,1.13805e+13,2.98960e+13,5.26529e+12
2.49675e+03,1.13761e+13,2.99454e+13,5.30180e+12
2.49775e+03,1.13717e+13,2.99949e+13,5.33861e+12
2.49876e+03,1.13673e+13,3.00446e+13,5.37574e+12
2.49976e+03,1.13629e+13,3.00945e+13,5.41318e+12
2.50076e+03,1.13585e+13,3.01446e+13,5.45094e+12
2.50177e+03,1.13541e+13,3.01950e+13,5.48902e+12
2.50277e+03,1.13497e+13,3.02455e+13,5.52743e+12
2.50377e+03,1.13453e+13,3.02962e+13,5.56617e+12
2.50478e+03,1.13410e+13,3.03471e+13,5.60524e+12
2.50579e+03,1.13366e+13,3.03982e+13,5.64465e+12
2.50679e+03,1.13322e+13,3.04495e+13,5.68440e+12
2.50780e+03,1.13278e+13,3.05010e+13,5.72449e+12
2.50880e+03,1.13234e+13,3.05528e+13,5.76494e+12
2.50981e+03,1.13191e+13,3.06047e+13,5.80573e+12
2.51082e+03,1.13147e+13,3.06568e+13,5.84689e+12
2.51183e+03,1.13103e+13,3.07092e+13,5.88840e+12
2.51284e+03,1.13060e+13,3.07618e+13,5.93028e+12
2.51384e+03,1.13016e+13,3.08145e+13,5.97252e+12
2.51485e+03,1.12972e+13,3.08675e+13,6.01515e+12
2.51586e+03,1.12929e+13,3.09207e+13,6.05814e+12
2.51687e+03,1.12885e+13,3.09742e+13,6.10152e+12
2.51788e+03,1.12841e+13,3.10278e+13,6.14529e+12
2.51889e+03,1.12798e+13,3.10816e+13,6.18944e+12
2.51990e+03,1.12754e+13,3.11357e+13,6.23399e+12
2.52092e+03,1.12711e+13,3.11900e+13,6.27894e+12
2.52193e+03,1.12667e+13,3.12445e+13,6.32430e+12
2.52294e+03,1.12623e+13,3.12993e+13,6.37006e+12
2.52395e+03,1.12580e+13,3.13542e+13,6.41624e+12
2.52497e+03,1.12536e+13,3.14094e+13,6.46283e+12
2.52598e+03,1.12493e+13,3.14648e+13,6.50985e+12
2.52699e+03,1.12449e+13,3.15205e+13,6.55730e+12
2.52801e+03,1.12406e+13,3.15764e+13,6.60518e+12
2.52902e+03,1.12362e+13,3.16325e+13,6.65350e+12
2.53004e+03,1.12319e+13,3.16888e+13,6.70226e+12
2.53105e+03,1.12276e+13,3.17454e+13,6.75147e+12
2.53207e+03,1.12232e+13,3.18022e+13,6.80113e+12
2.53309e+03,1.12189e+13,3.18592e+13,6.85125e+12
2.53410e+03,1.12145e+13,3.19165e+13,6.90184e+12
2.53512e+03,1.12102e+13,3.19740e+13,6.95290e+12
2.53614e+03,1.12059e+13,3.20318e+13,7.00443e+12
2.53716e+03,1.12015e+13,3.20898e+13,7.05645e+12
2.53817e+03,1.11972e+13,3.21481e+13,7.10895e+12
2.53919e+03,1.11929e+13,3.22066e+13,7.16195e+12
2.54021e+03,1.11886e+13,3.22653e+13,7.21544e+12
2.54123e+03,1.11842e+13,3.23243e+13,7.26944e+12
2.54225e+03,1.11799e+13,3.23835e+13,7.32395e+12
2.54327e+03,1.11756e+13,3.24430e+13,7.37898e+12
2.54429e+03,1.11713e+13,3.25028e+13,7.43453e+12
2.54532e+03,1.11669e+13,3.25628e+13,7.49061e+12
2.54634e+03,1.11626e+13,3.26230e+13,7.54723e+12
2.54736e+03,1.11583e+13,3.26835e+13,7.60439e+12
2.54838e+03,1.11540e+13,3.27443e+13,7.66210e+12
2.54940e+03,1.11497e+13,3.28053e+13,7.72036e+12
2.55043e+03,1.11454e+13,3.28666e+13,7.77919e+12
2.55145e+03,1.11410e+13,3.29281e+13,7.83859e+12
2.55248e+03,1.11367e+13,3.29900e+13,7.89856e+12
2.55350e+03,1.11324e+13,3.30520e+13,7.95912e+12
2.55453e+03,1.11281e+13,3.31144e+13,8.02027e+12
2.55555e+03,1.11238e+13,3.31770e+13,8.08202e+12
2.55658e+03,1.11195e+13,3.32399e+13,8.14437e+12
2.55760e+03,1.11152e+13,3.33031e+13,8.20734e+12
2.55863e+03,1.11109e+13,3.33665e+13,8.27093e+12
2.55966e+03,1.11066e+13,3.34302e+13,8.33514e+12
2.56068e+03,1.11023e+13,3.34942e+13,8.40000e+12
2.56171e+03,1.10980e+13,3.35585e+13,8.46549e+12
2.56274e+03,1.10937e+13,3.36230e+13,8.53164e+12
2.56377e+03,1.10894e+13,3.36879e+13,8.59845e+12
2.56480e+03,1.10851e+13,3.37530e+13,8.66592e+12
2.56583e+03,1.10808e+13,3.38184e+13,8.73408e+12
2.56686e+03,1.10766e+13,3.38841e+13,8.80292e+12
2.56789e+03,1.10723e+13,3.39501e+13,8.87245e+12
2.56892e+03,1.10680e+13,3.40163e+13,8.94268e+12
2.56995e+03,1.10637e+13,3.40829e+13,9.01363e+12
2.57098e+03,1.10594e+13,3.41498e+13,9.08530e+12
2.57201e+03,1.10551e+13,3.42169e+13,9.15769e+12
2.57305e+03,1.10509e+13,3.42844e+13,9.23083e+12
2.57408e+03,1.10466e+13,3.43522e+13,9.30471e+12
2.57511e+03,1.10423e+13,3.44202e+13,9.37935e+12
2.57615e+03,1.10380e+13,3.44886e+13,9.45475e+12
2.57718e+03,1.10337e+13,3.45573e+13,9.53094e+12
2.57822e+03,1.10295e+13,3.46263e+13,9.60791e+12
2.57925e+03,1.10252e+13,3.46956e+13,9.68567e+12
2.58029e+03,1.10209e+13,3.47652e+13,9.76424e+12
2.58132e+03,1.10167e+13,3.48351e+13,9.84363e+12
2.58236e+03,1.10124e+13,3.49053e+13,9.92385e+12
2.58339e+03,1.10081e+13,3.49759e+13,1.00049e+13
2.58443e+03,1.10039e+13,3.50467e+13,1.00868e+13
2.58547e+03,1.09996e+13,3.51179e+13,1.01696e+13
2.58651e+03,1.09954e+13,3.51895e+13,1.02532e+13
2.58755e+03,1.09911e+13,3.52613e+13,1.03377e+13
2.58858e+03,1.09868e+13,3.53335e+13,1.04231e+13
2.58962e+03,1.09826e+13,3.54060e+13,1.05094e+13
2.59066e+03,1.09783e+13,3.54788e+13,1.05966e+13
2.59170e+03,1.09741e+13,3.55520e+13,1.06848e+13
2.59274e+03,1.09698e+13,3.56255e+13,1.07738e+13
2.59378e+03,1.09656e+13,3.56994e+13,1.08639e+13
2.59482e+03,1.09613e+13,3.57736e+13,1.09549e+13
2.59587e+03,1.09571e+13,3.58481e+13,1.10468e+13
2.59691e+03,1.09528e+13,3.59230e+13,1.11398e+13
2.59795e+03,1.09486e+13,3.59982e+13,1.12337e+13
2.59899e+03,1.09444e+13,3.60738e+13,1.13287e+13
2.60004e+03,1.09401e+13,3.61497e+13,1.14247e+13
2.60108e+03,1.09359e+13,3.62260e+13,1.15217e+13
2.60212e+03,1.09316e+13,3.63026e+13,1.16198e+13
2.60317e+03,1.09274e+13,3.63796e+13,1.17189e+13
